SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,133,60155.0,8e-121,16039462,AT3G43630,0.0165,0.1646,10
al,at,79,62910.0,3e-121,16040982,AT3G25190,0.0225,0.1429,11
al,at,42,36370.0,5e-121,16038300,AT1G76800,0.0103,0.2541,2
al,at,0,57645.0,2e-132,16064730,AT1G21140,0.0044,0.1613,8
al,ar,47,326.0,3e-27,16038300,scaffold00022.106,0.4755,2.8468,2
al,fv,334,422.0,9e-39,16039462,mrna12986,0.4395,2.0453,10
at,br,356,16857.0,2e-107,AT3G25190,Brara.C03990,0.0599,0.3131,11
at,br,152,25329.0,3e-109,AT1G21140,Brara.H02295,0.1044,0.3546,8
at,br,132,646.0,5e-91,AT1G76800,Brara.G01117,0.1562,1.1524,2
at,br,104,11071.0,2e-107,AT1G76800,Brara.G03471,0.0456,0.5625,2
at,br,80,18036.0,1e-118,AT1G21140,Brara.F01515,0.0792,0.3468,8
at,br,25,1011.0,3e-105,AT1G76800,Brara.B02186,0.0452,0.566,2
at,fv,262,419.0,7e-39,AT3G43630,mrna12986,0.4464,2.3384,10
ar,at,112,367.0,9e-18,scaffold00022.106,AT1G76800,0.4831,2.3291,2
ar,br,95,285.0,4e-17,scaffold00022.106,Brara.G03471,0.5212,1.818,2
ar,cp,145,349.0,4e-23,scaffold00030.4,evm.TU.supercontig_21.183,0.2786,1.2151,1
ar,fv,251,441.0,2e-35,scaffold00059.188,mrna32625,0.4432,0.0,1
ar,fv,156,238.0,2e-22,scaffold00030.4,mrna32625,0.3121,1.2119,1
ar,pt,315,309.0,3e-21,scaffold00030.4,Potri.005G190800,0.3061,2.0836,1
ar,pt,313,349.0,1e-19,scaffold00030.4,Potri.002G069400,0.3233,1.8855,1
ar,st,162,221.0,1e-21,scaffold00030.4,PGSC0003DMC400006178,0.3204,3.2817,1
ar,ta,190,266.0,2e-22,scaffold00030.4,Thecc1EG035533,0.2907,1.761,1
br,br,684,704.0,8e-94,Brara.G01117,Brara.G03471,0.1499,1.023,2
br,br,622,7666.0,6e-122,Brara.F01515,Brara.H02295,0.0849,0.1613,8
br,br,254,695.0,7e-107,Brara.B02186,Brara.G03471,0.0199,0.2476,2
cp,gr,792,1087.0,4e-70,evm.TU.supercontig_6.366,Gorai.011G097600,0.3398,1.6515,12
cp,gr,428,268.0,4e-83,evm.TU.supercontig_21.183,Gorai.009G253300,0.154,1.5497,1
cp,mt,534,3092.0,7e-09,evm.TU.supercontig_6.365,Medtr8g072450,0.7524,1.4145,3
cp,mt,282,350.0,3e-88,evm.TU.supercontig_21.183,Medtr1g099010,0.1548,0.0,1
cp,mt,263,571.0,8e-68,evm.TU.supercontig_2.44,Medtr2g008110,0.2746,1.7106,4
cp,pt,440,755.0,7e-86,evm.TU.supercontig_21.183,Potri.005G190800,0.1309,2.2247,1
cp,pt,438,715.0,9e-88,evm.TU.supercontig_21.183,Potri.002G069400,0.1365,1.4473,1
cp,st,244,231.0,4e-86,evm.TU.supercontig_21.183,PGSC0003DMC400006178,0.182,5.5241,1
cp,st,225,511.0,1e-77,evm.TU.supercontig_2.44,PGSC0003DMC400051820,0.0,0.0,4
cp,ta,420,6106.0,4e-09,evm.TU.supercontig_6.365,Thecc1EG000013,0.7651,1.7373,3
cp,ta,245,700.0,6e-97,evm.TU.supercontig_21.183,Thecc1EG035533,0.1243,1.8445,1
fv,mt,137,215.0,2e-90,mrna32625,Medtr6g034975,0.1622,4.7026,1
fv,pt,156,608.0,2e-96,mrna32625,Potri.005G190800,0.1309,2.061,1
fv,pt,112,733.0,1e-97,mrna32625,Potri.002G069400,0.1199,1.2524,1
fv,st,87,375.0,1e-92,mrna32625,PGSC0003DMC400006178,0.1963,1.7533,1
fv,ta,106,865.0,9e-96,mrna32625,Thecc1EG035533,0.1454,1.5745,1
gm,gm,86,22032.0,3e-93,Glyma.01G160600,Glyma.11G083300,0.0909,0.1394,16
gm,gm,266,10678.0,1e-141,Glyma.02G082500,Glyma.16G168200,0.025,0.1068,18
gm,gm,570,21948.0,5e-60,Glyma.05G121200,Glyma.08G075900,0.1818,0.2376,5
gm,gm,570,21948.0,2e-86,Glyma.05G121400,Glyma.08G076000,0.0898,0.2399,6
gm,gm,572,821.0,5e-66,Glyma.05G121300,Glyma.08G181900,0.3107,2.6414,6
gm,gm,612,859.0,8e-43,Glyma.05G121300,Glyma.15G050400,0.4345,1.2674,6
gm,gm,897,934.0,2e-67,Glyma.08G076000,Glyma.08G181900,0.3171,2.2814,6
gm,gm,958,3106.0,3e-77,Glyma.08G181900,Glyma.15G050400,0.1448,0.3669,6
gm,gm,959,2682.0,2e-43,Glyma.08G076000,Glyma.15G050400,0.4135,1.7616,6
gm,gm,1157,35199.0,8e-105,Glyma.10G225900,Glyma.20G166100,0.0256,0.1248,17
gm,mt,533,737.0,3e-49,Glyma.09G195300,Medtr8g072450,0.2134,0.3742,3
gm,rc,701,316.0,4e-11,Glyma.09G195300,29682.m000582,0.563,1.8967,3
