SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,71,5784.0,0.0,16040135,AT2G17410,0.0551,0.1191,1
al,at,42,36370.0,0.0,16052525,AT1G76510,0.0288,0.123,6
al,at,0,57645.0,0.0,16062033,AT1G20910,0.0337,0.0865,3
al,ar,12,361.0,8e-114,16062033,scaffold00022.121,0.442,1.864,3
al,br,294,2258.0,0.0,16040135,Brara.I01023,0.1635,0.3801,1
al,br,270,1943.0,0.0,16040135,Brara.G00270,0.1529,0.4086,1
al,br,165,12726.0,0.0,16052525,Brara.G03449,0.0606,0.3099,6
al,br,97,32202.0,2e-172,16062033,Brara.H02305,0.1465,0.3338,3
al,br,82,1336.0,2e-169,16062033,Brara.G01081,0.1634,0.2848,3
al,br,52,17331.0,2e-153,16062033,Brara.F01493,0.1844,0.3432,3
al,fv,158,1864.0,1e-130,16040135,mrna12982,1.5972,2.2287,1
al,gm,612,236.0,6e-140,16040135,Glyma.16G114800,0.4173,1.8387,1
al,gm,548,1774.0,1e-158,16040135,Glyma.11G088400,0.3781,2.4323,1
al,gm,519,267.0,2e-141,16040135,Glyma.09G195700,0.4137,1.8493,1
al,gm,427,1711.0,4e-160,16040135,Glyma.01G156400,0.3468,3.8758,1
al,gr,317,1272.0,8e-146,16040135,Gorai.003G000800,0.3843,1.8925,1
al,mt,221,1705.0,1e-100,16040135,Medtr5g024920,0.7322,1.9201,1
al,ta,171,2849.0,1e-140,16040135,Thecc1EG000019,0.3916,1.4137,1
al,ta,100,463.0,1e-126,16062033,Thecc1EG034809,0.3261,1.4613,3
at,br,302,5362.0,0.0,AT2G17410,Brara.I01023,0.1784,0.3982,1
at,br,281,1922.0,0.0,AT2G17410,Brara.G00270,0.1967,0.4772,1
at,br,152,25329.0,2e-179,AT1G20910,Brara.H02305,0.1669,0.3611,3
at,br,129,1223.0,8e-174,AT1G20910,Brara.G01081,0.1791,0.3127,3
at,br,104,11071.0,0.0,AT1G76510,Brara.G03449,0.0618,0.3349,6
at,br,80,18036.0,1e-160,AT1G20910,Brara.F01493,0.2056,0.3346,3
at,fv,163,1794.0,6e-130,AT2G17410,mrna12982,0.4615,1.5432,1
at,gm,709,1225.0,5e-138,AT2G17410,Glyma.16G114800,0.4101,1.7362,1
at,gm,623,1701.0,8e-155,AT2G17410,Glyma.11G088400,0.3694,1.5113,1
at,gm,589,271.0,1e-138,AT2G17410,Glyma.09G195700,0.4282,1.6872,1
at,gm,469,1635.0,8e-156,AT2G17410,Glyma.01G156400,0.3827,1.9346,1
at,gr,325,1118.0,1e-146,AT2G17410,Gorai.003G000800,0.395,1.7024,1
at,mt,248,1590.0,7e-97,AT2G17410,Medtr5g024920,0.7147,1.6687,1
at,ta,179,1832.0,2e-138,AT2G17410,Thecc1EG000019,0.4036,1.3973,1
at,ta,156,466.0,3e-132,AT1G20910,Thecc1EG034809,0.3274,1.4026,3
ar,at,114,293.0,9e-118,scaffold00022.121,AT1G20910,0.4035,2.1065,3
ar,br,94,293.0,9e-98,scaffold00022.121,Brara.F01493,0.5098,1.7942,3
ar,ta,148,446.0,8e-116,scaffold00022.121,Thecc1EG034809,0.4895,1.481,3
br,br,734,1099.0,0.0,Brara.G00270,Brara.I01023,0.1892,0.3444,1
br,br,688,5732.0,0.0,Brara.G01081,Brara.H02305,0.1134,0.3007,3
