SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,22,593.0,0.0,16038765,16062544,0.1304,0.7985,23
al,al,63,2432.0,0.0,16062158,16065133,0.1692,0.8775,107
al,al,104,2171.0,5e-64,16035353,16054277,0.2272,0.7042,11
al,al,190,396.0,1e-158,16050972,16064024,0.2102,1.2338,53
al,al,191,511.0,0.0,16040514,16065319,0.1993,0.9569,34
al,at,223,5179.0,0.0,16050972,AT5G66770,0.0297,0.1582,53
al,at,223,5179.0,8e-115,16037261,AT5G67411,0.0219,0.2192,4
al,at,218,49010.0,0.0,16054008,AT5G52510,0.0491,0.201,27
al,at,218,49010.0,0.0,16061725,AT5G48150,0.0143,0.2023,108
al,at,207,1264.0,2e-169,16050972,AT3G50650,0.2044,1.3188,53
al,at,198,9330.0,0.0,16034767,AT5G41920,0.0239,0.1887,87
al,at,193,64683.0,0.0,16044668,AT4G17230,0.0161,0.1647,109
al,at,193,64683.0,0.0,16040776,AT4G36710,0.0082,0.2779,13
al,at,193,64683.0,0.0,16039736,AT4G37650,0.0033,0.127,54
al,at,159,8895.0,0.0,16053591,AT4G00150,0.0184,0.1145,88
al,at,156,8302.0,0.0,16044625,AT4G08250,0.0339,0.2198,110
al,at,139,1037.0,0.0,16064024,AT5G66770,0.1978,1.1591,53
al,at,133,60155.0,0.0,16042743,AT3G60630,0.018,0.1087,59
al,at,133,60155.0,0.0,16063797,AT3G54220,0.0128,0.1864,89
al,at,133,60155.0,0.0,16064024,AT3G50650,0.0281,0.1428,53
al,at,133,60155.0,0.0,16035005,AT3G49950,0.0339,0.2187,86
al,at,128,5934.0,1e-59,16035353,AT2G47360,0.2373,0.7174,11
al,at,107,54203.0,3e-174,16054277,AT2G47360,0.0134,0.1143,11
al,at,107,54203.0,0.0,16034795,AT2G45160,0.0226,0.1495,33
al,at,79,62910.0,0.0,16037092,AT3G13840,0.0329,0.0886,111
al,at,72,3942.0,0.0,16060413,AT2G04890,0.0137,0.1571,112
al,at,48,11363.0,0.0,16045307,AT1G63100,0.0148,0.1783,9
al,at,5,3124.0,0.0,16038020,AT1G55580,0.0104,0.1731,60
al,at,1,22006.0,0.0,16046276,AT1G50600,0.01,0.1773,113
al,at,1,22006.0,0.0,16053404,AT1G50420,0.0072,0.1209,61
al,at,0,57645.0,0.0,16052962,AT1G21450,0.0095,0.205,114
al,br,718,17351.0,0.0,16040514,Brara.J01321,0.1239,1.0283,34
al,br,718,17351.0,0.0,16054008,Brara.J00779,0.1205,0.5687,27
al,br,699,3046.0,0.0,16050972,Brara.G01229,0.1257,0.6805,53
al,br,699,3046.0,1e-41,16037261,Brara.G01161,0.3581,0.8613,4
al,br,661,1163.0,0.0,16054008,Brara.B01546,0.1183,0.564,27
al,br,640,1019.0,0.0,16039736,Brara.K01228,0.0296,0.3907,54
al,br,602,4943.0,0.0,16039736,Brara.H01728,0.0525,0.4072,54
al,br,587,1075.0,0.0,16040776,Brara.G00175,0.1499,0.9706,13
al,br,568,527.0,0.0,16034767,Brara.D01210,0.0877,0.6959,87
al,br,541,21725.0,0.0,16040776,Brara.A00200,0.0616,1.4582,13
al,br,541,21725.0,0.0,16039736,Brara.A00126,0.032,0.3501,54
al,br,512,671.0,0.0,16053591,Brara.I00017,0.1162,0.5322,88
al,br,450,524.0,0.0,16065319,Brara.J01321,0.2252,1.7664,34
al,br,449,227.0,0.0,16065319,Brara.J01321,0.2252,1.7664,34
al,br,447,488.0,0.0,16035005,Brara.I03330,0.1018,0.4832,86
al,br,432,900.0,0.0,16064024,Brara.G01229,0.2416,1.2016,53
al,br,416,1119.0,9e-55,16035353,Brara.E00057,0.2418,0.9296,11
al,br,409,15189.0,0.0,16042743,Brara.D00148,0.1309,0.6295,59
al,br,403,532.0,7e-55,16035353,Brara.C02362,0.2407,0.7494,11
al,br,387,386.0,0.0,16065319,Brara.A02424,0.1071,0.4969,34
al,br,354,812.0,0.0,16062422,Brara.G01416,0.1318,0.6975,47
al,br,347,4275.0,2e-141,16054277,Brara.E00057,0.0882,0.4076,11
al,br,328,27059.0,0.0,16062422,Brara.D01740,0.1631,0.7558,47
al,br,322,21403.0,3e-128,16054277,Brara.C02362,0.1056,0.3146,11
al,br,322,21403.0,0.0,16034795,Brara.C02285,0.106,0.5177,33
al,br,322,21403.0,0.0,16053089,Brara.C01893,0.1139,0.79,48
al,br,195,2219.0,0.0,16045307,Brara.I01213,0.0864,0.6609,9
al,br,185,5393.0,0.0,16045307,Brara.I01410,0.1101,0.7259,9
al,br,118,9969.0,0.0,16061767,Brara.I05353,0.1405,0.7052,52
al,br,98,5703.0,0.0,16053404,Brara.H00244,0.0357,0.5025,61
al,br,97,32202.0,0.0,16061767,Brara.H02920,0.1072,0.8571,52
al,br,59,7874.0,0.0,16038020,Brara.F00029,0.0579,0.4327,60
al,br,59,7874.0,0.0,16053404,Brara.F00311,0.0615,0.3677,61
al,cp,626,1132.0,1e-176,16037261,evm.TU.supercontig_6.40,0.2395,2.2211,4
al,cp,511,317.0,5e-163,16040776,evm.TU.supercontig_158.6,0.3112,1.6086,13
al,cp,354,962.0,0.0,16062544,evm.TU.supercontig_2.226,0.1936,2.3401,23
al,cp,160,314.0,0.0,16045307,evm.TU.supercontig_74.79,0.31,2.5229,9
al,cp,33,607.0,0.0,16038765,evm.TU.supercontig_2.226,0.1752,1.7482,23
al,fv,643,2650.0,4e-149,16054008,mrna13212,0.432,2.3789,27
al,fv,571,916.0,2e-162,16040776,mrna29558,0.3191,0.0,13
al,fv,296,2477.0,7e-78,16053089,mrna18433,0.5441,1.8493,48
al,fv,137,2338.0,0.0,16045307,mrna32389,0.3897,2.5816,9
al,gm,1712,1558.0,5e-161,16037261,Glyma.17G162800,0.2739,2.6091,4
al,gm,880,234.0,5e-102,16042743,Glyma.01G079500,0.4929,0.0,59
al,gm,698,1662.0,3e-102,16034795,Glyma.03G031800,0.4963,4.0793,33
al,gr,198,709.0,0.0,16045307,Gorai.003G162400,0.314,4.0707,9
al,gr,227,1449.0,0.0,16045307,Gorai.008G243900,0.2685,3.488,9
al,gr,444,389.0,1e-57,16054277,Gorai.004G050300,0.4985,2.3149,11
al,gr,474,4120.0,6e-49,16054277,Gorai.007G122400,0.4675,3.5857,11
al,gr,551,377.0,8e-36,16035353,Gorai.004G050300,0.4765,-1.0,11
al,gr,579,440.0,1e-25,16035353,Gorai.007G122400,0.5686,2.1409,11
al,gr,791,927.0,1e-152,16040776,Gorai.011G102400,0.4193,2.5801,13
al,gr,822,2925.0,1e-172,16040776,Gorai.003G016500,0.3159,1.9464,13
al,gr,973,750.0,7e-172,16054008,Gorai.007G012300,0.3539,2.1215,27
al,gr,977,1647.0,8e-166,16037261,Gorai.007G221900,0.248,2.4628,4
al,gr,978,1027.0,6e-169,16037261,Gorai.007G056200,0.2751,2.6391,4
al,lj,226,298.0,3e-132,16037261,chr4.CM0128.430.nc,0.2983,3.1203,4
al,mt,638,1193.0,1e-148,16037261,Medtr5g015950,0.3476,0.0,4
al,mt,626,869.0,2e-161,16037261,Medtr4g095500,0.298,0.0,4
al,mt,583,413.0,1e-148,16040514,Medtr2g097410,0.5787,0.0,34
al,mt,336,320.0,2e-160,16065319,Medtr2g097410,0.5061,3.0953,34
al,mt,124,355.0,0.0,16063456,Medtr3g065980,0.2505,2.1818,55
al,pt,927,1080.0,4e-172,16037261,Potri.007G053500,0.0,0.0,4
al,pt,910,874.0,2e-168,16037261,Potri.005G145600,0.0,0.0,4
al,pt,806,1831.0,2e-153,16040776,Potri.007G029200,0.0,0.0,13
al,pt,788,1897.0,5e-156,16040776,Potri.005G125800,0.0,0.0,13
al,pt,562,3413.0,2e-33,16035353,Potri.014G119900,0.4922,3.2936,11
al,pt,506,3356.0,3e-25,16035353,Potri.002G195400,0.5466,3.2711,11
al,pt,473,404.0,1e-110,16034795,Potri.014G060200,0.4417,2.3012,33
al,pt,471,4916.0,3e-58,16054277,Potri.014G119900,0.0,0.0,11
al,pt,401,4480.0,6e-46,16054277,Potri.002G195400,0.0,0.0,11
al,pt,401,4480.0,9e-107,16034795,Potri.002G144200,0.4882,2.4757,33
al,pt,182,2264.0,0.0,16045307,Potri.003G122400,0.2847,2.6248,9
al,pt,167,789.0,0.0,16045307,Potri.001G109400,0.2625,2.2707,9
al,rc,18,722.0,5e-169,16064604,29648.m001919,0.2626,-1.0,25
al,rc,195,3358.0,0.0,16045307,30190.m011131,0.2692,4.1471,9
al,rc,354,1946.0,2e-43,16054277,30076.m004650,0.4692,2.2565,11
al,rc,369,4121.0,2e-100,16034795,30174.m008828,0.444,-1.0,33
al,rc,394,351.0,0.0,16062544,29692.m000540,0.2566,1.9425,23
al,rc,429,1495.0,1e-26,16035353,30076.m004650,0.5191,2.5582,11
al,rc,575,438.0,2e-120,16040776,29646.m001070,0.3648,2.7847,13
al,rc,675,870.0,1e-140,16037261,29661.m000901,0.268,-1.0,4
al,sl,573,1458.0,5e-170,16037261,Solyc02g092570.1,0.0,0.0,4
al,sl,502,2022.0,7e-138,16040776,Solyc02g085600.1,0.3805,2.7138,13
al,sl,383,300.0,1e-15,16035353,Solyc06g009610.1,0.6295,1.7761,11
al,sl,294,342.0,4e-39,16054277,Solyc06g009610.1,0.5848,1.7874,11
al,st,272,584.0,4e-31,16054277,PGSC0003DMC400015914,0.5793,2.0372,11
al,st,299,340.0,4e-33,16054277,PGSC0003DMC400012906,0.5427,1.6855,11
al,st,324,800.0,3e-136,16053089,PGSC0003DMC400015661,0.4412,4.2057,48
al,st,334,660.0,9e-136,16053089,PGSC0003DMC400033354,0.4013,-1.0,48
al,st,352,700.0,1e-18,16035353,PGSC0003DMC400015914,0.6474,1.9606,11
al,st,395,337.0,8e-15,16035353,PGSC0003DMC400012906,0.5957,1.8329,11
al,st,528,424.0,7e-116,16040776,PGSC0003DMC400022481,0.3995,2.3688,13
al,st,603,1887.0,2e-136,16037261,PGSC0003DMC400043264,0.2701,-1.0,4
al,ta,584,3626.0,2e-174,16037261,Thecc1EG000764,0.254,3.3907,4
al,ta,335,4706.0,5e-37,16035353,Thecc1EG004819,0.4772,2.732,11
al,ta,263,8163.0,1e-61,16054277,Thecc1EG004819,0.4463,2.3304,11
al,ta,263,8163.0,3e-115,16034795,Thecc1EG005571,0.4295,2.3692,33
al,vv,10,1085.0,3e-129,16038765,GSVIVT01011710001,0.2902,-1.0,23
al,vv,188,268.0,9e-95,16045307,GSVIVT01019809001,0.3545,2.7345,9
al,vv,425,1967.0,2e-127,16062544,GSVIVT01011710001,0.2593,-1.0,23
al,vv,717,2644.0,2e-113,16040776,GSVIVT01019006001,0.3498,2.4411,13
al,vv,822,2015.0,8e-40,16037261,GSVIVT01000142001,0.3013,2.0542,4
at,at,248,2044.0,0.0,AT3G50650,AT5G66770,0.201,1.2985,53
at,at,241,413.0,0.0,AT3G46600,AT5G59450,0.2124,1.0019,28
at,at,234,3572.0,0.0,AT3G03450,AT5G17490,0.1919,0.8406,119
at,at,39,307.0,0.0,AT1G66350,AT2G01570,0.2921,2.0915,92
at,at,31,2286.0,0.0,AT1G14920,AT2G01570,0.1366,0.7532,92
at,at,30,4968.0,8e-159,AT1G07520,AT2G29060,0.5317,1.7599,90
at,br,752,17730.0,0.0,AT5G52510,Brara.J00779,0.1037,0.6013,27
at,br,722,2891.0,0.0,AT5G66770,Brara.G01229,0.1128,0.6656,53
at,br,685,470.0,0.0,AT5G41920,Brara.D01210,0.0982,0.8835,87
at,br,626,1252.0,0.0,AT5G52510,Brara.B01546,0.1188,0.6484,27
at,br,593,1020.0,0.0,AT4G37650,Brara.K01228,0.03,0.3865,54
at,br,567,547.0,0.0,AT4G00150,Brara.I00017,0.1089,0.6013,88
at,br,528,1992.0,0.0,AT4G37650,Brara.H01728,0.0548,0.3983,54
at,br,470,1543.0,0.0,AT4G37650,Brara.A00126,0.0325,0.3688,54
at,br,468,18954.0,0.0,AT4G36710,Brara.A00200,0.0658,1.3908,13
at,br,450,534.0,0.0,AT3G49950,Brara.I03330,0.083,0.4512,86
at,br,440,27087.0,0.0,AT3G54220,Brara.I03694,0.0816,0.803,89
at,br,423,863.0,0.0,AT3G50650,Brara.G01229,0.2466,1.2947,53
at,br,375,15959.0,0.0,AT3G60630,Brara.D00148,0.1295,0.6395,59
at,br,256,4441.0,4e-139,AT2G47360,Brara.E00057,0.0819,0.4184,11
at,br,232,22206.0,3e-127,AT2G47360,Brara.C02362,0.1029,0.3245,11
at,br,232,22206.0,0.0,AT2G45160,Brara.C02285,0.1094,0.4981,33
at,br,188,5572.0,0.0,AT1G63100,Brara.I01410,0.0956,0.7166,9
at,br,165,2488.0,0.0,AT1G63100,Brara.I01213,0.0783,0.6717,9
at,br,154,4089.0,0.0,AT1G50420,Brara.H00244,0.0336,0.4781,61
at,br,95,1206.0,0.0,AT1G55580,Brara.F00029,0.0601,0.4203,60
at,br,93,8524.0,0.0,AT1G50420,Brara.F00311,0.0594,0.3575,61
at,cp,642,1173.0,8e-74,AT5G67411,evm.TU.supercontig_6.40,0.2469,2.2456,4
at,cp,427,317.0,4e-163,AT4G36710,evm.TU.supercontig_158.6,0.3129,1.8269,13
at,cp,151,324.0,0.0,AT1G63100,evm.TU.supercontig_74.79,0.2718,3.2422,9
at,fv,645,2765.0,9e-144,AT5G52510,mrna13212,0.4146,3.1493,27
at,fv,503,859.0,3e-163,AT4G36710,mrna29558,0.3217,0.0,13
at,fv,220,2568.0,2e-75,AT2G37650,mrna18433,0.6101,1.8106,48
at,gm,1776,1306.0,3e-69,AT5G67411,Glyma.17G162800,0.2607,3.4347,4
at,gm,1695,502.0,9e-156,AT5G59450,Glyma.13G337600,0.5301,0.0,28
at,gm,1680,464.0,3e-156,AT5G59450,Glyma.12G061900,0.4804,0.0,28
at,gm,1663,502.0,3e-158,AT5G59450,Glyma.11G138000,0.4897,0.0,28
at,gm,994,1631.0,2e-160,AT3G46600,Glyma.13G337600,0.4833,0.0,28
at,gm,990,619.0,1e-159,AT3G46600,Glyma.12G061900,0.4393,0.0,28
at,gm,971,698.0,4e-160,AT3G46600,Glyma.11G138000,0.4416,0.0,28
at,gm,778,234.0,5e-101,AT3G60630,Glyma.01G079500,0.492,3.9211,59
at,gm,703,904.0,3e-162,AT2G29065,Glyma.15G037100,0.4298,0.0,62
at,gm,656,2197.0,0.0,AT2G29065,Glyma.13G337400,0.4059,0.0,62
at,gm,515,1663.0,4e-110,AT2G45160,Glyma.03G031800,0.4917,0.0,33
at,gr,1014,424.0,3e-69,AT5G67411,Gorai.007G056200,0.0,0.0,4
at,gr,1011,621.0,8e-177,AT5G52510,Gorai.007G012300,0.3421,2.6701,27
at,gr,1010,1086.0,1e-74,AT5G67411,Gorai.007G221900,0.2343,2.1555,4
at,gr,708,1909.0,2e-173,AT4G36710,Gorai.003G016500,0.3184,2.7729,13
at,gr,675,732.0,3e-153,AT4G36710,Gorai.011G102400,0.0,0.0,13
at,gr,372,4410.0,1e-49,AT2G47360,Gorai.007G122400,0.5082,3.0739,11
at,gr,336,427.0,1e-57,AT2G47360,Gorai.004G050300,0.5008,1.97,11
at,gr,183,1625.0,0.0,AT1G63100,Gorai.008G243900,0.2608,3.8941,9
at,gr,98,717.0,0.0,AT1G63100,Gorai.003G162400,0.312,4.1686,9
at,mt,647,342.0,7e-125,AT5G52510,Medtr6g047750,0.5272,2.0463,27
at,mt,634,1088.0,1e-65,AT5G67411,Medtr5g015950,0.289,0.0,4
at,mt,595,802.0,3e-70,AT5G67411,Medtr4g095500,0.2707,0.0,4
at,pt,1045,532.0,7e-152,AT5G52510,Potri.017G142400,0.0,0.0,27
at,pt,899,1188.0,2e-72,AT5G67411,Potri.007G053500,0.0,0.0,4
at,pt,858,874.0,9e-69,AT5G67411,Potri.005G145600,0.0,0.0,4
at,pt,844,277.0,4e-163,AT5G52510,Potri.004G078800,0.364,3.4105,27
at,pt,707,1747.0,3e-153,AT4G36710,Potri.007G029200,0.0,0.0,13
at,pt,685,1884.0,9e-156,AT4G36710,Potri.005G125800,0.0,0.0,13
at,pt,390,445.0,4e-124,AT2G45160,Potri.014G060200,0.4576,2.478,33
at,pt,389,5319.0,9e-58,AT2G47360,Potri.014G119900,0.4838,3.5295,11
at,pt,283,4534.0,4e-47,AT2G47360,Potri.002G195400,0.0,0.0,11
at,pt,283,4534.0,1e-116,AT2G45160,Potri.002G144200,0.4902,2.3627,33
at,pt,63,2691.0,0.0,AT1G63100,Potri.003G122400,0.0,0.0,9
at,pt,19,637.0,3e-163,AT1G07530,Potri.001G241900,0.487,5.4424,10
at,pt,13,2924.0,0.0,AT1G63100,Potri.001G109400,0.2728,4.2012,9
at,rc,481,713.0,4e-72,AT5G67411,29661.m000901,0.2617,0.0,4
at,rc,371,478.0,1e-146,AT4G36710,29646.m001070,0.3606,0.0,13
