SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,193,64683.0,0.0,16051631,AT4G32910,0.0264,0.1253,2
al,br,541,21725.0,0.0,16051631,Brara.A00500,0.0639,0.361,2
al,rc,588,1284.0,0.0,16051631,29794.m003385,0.2349,1.6796,2
at,br,468,18954.0,0.0,AT4G32910,Brara.A00500,0.0563,0.3722,2
at,rc,385,1124.0,0.0,AT4G32910,29794.m003385,0.2252,1.8523,2
ar,cp,212,608.0,1e-24,scaffold00056.32,evm.TU.supercontig_78.1,0.3551,2.3248,1
ar,pt,457,278.0,3e-35,scaffold00056.32,Potri.006G238100,0.5699,3.6362,1
ar,sl,255,277.0,0.0,scaffold00056.32,Solyc08g066580.2,0.2946,2.5632,1
ar,ta,278,237.0,0.0,scaffold00056.32,Thecc1EG037199,0.249,1.6253,1
ar,vv,252,278.0,0.0,scaffold00056.32,GSVIVT01035621001,0.2247,1.3591,1
br,rc,25,1083.0,0.0,Brara.A00500,29794.m003385,0.2399,1.563,2
cp,fv,453,299.0,4e-31,evm.TU.supercontig_78.1,mrna08984,0.2991,1.5817,1
cp,gr,932,216.0,8e-28,evm.TU.supercontig_78.1,Gorai.010G106300,0.3066,1.4398,1
cp,pt,936,375.0,5e-11,evm.TU.supercontig_78.1,Potri.006G238100,0.0,0.0,1
cp,sl,554,351.0,9e-24,evm.TU.supercontig_78.1,Solyc08g066580.2,0.355,1.736,1
cp,ta,484,458.0,5e-30,evm.TU.supercontig_78.1,Thecc1EG037199,0.3384,1.0645,1
cp,vv,509,235.0,6e-32,evm.TU.supercontig_78.1,GSVIVT01035621001,0.2493,1.0269,1
fv,gm,345,294.0,0.0,mrna08984,Glyma.17G193800,0.1838,1.1992,1
fv,gr,131,1107.0,0.0,mrna08984,Gorai.010G106300,0.1613,1.1771,1
fv,pt,226,1754.0,0.0,mrna08984,Potri.018G044300,0.177,1.0131,1
fv,pt,169,2243.0,2e-25,mrna08984,Potri.006G238100,0.4984,1.6437,1
fv,sl,107,1040.0,0.0,mrna08984,Solyc08g066580.2,0.1919,2.333,1
fv,ta,111,2367.0,0.0,mrna08984,Thecc1EG037199,0.147,1.1481,1
fv,vv,103,1751.0,0.0,mrna08984,GSVIVT01035621001,0.135,0.9347,1
gm,mt,779,2483.0,1e-09,Glyma.14G146000,Medtr1g006690,0.3717,1.0571,3
gm,pt,1484,247.0,1e-34,Glyma.17G193800,Potri.006G238100,0.5134,1.0903,1
gm,ta,1293,337.0,0.0,Glyma.17G193800,Thecc1EG037199,0.1701,1.2407,1
gm,vv,1341,265.0,0.0,Glyma.17G193800,GSVIVT01035621001,0.1655,1.1373,1
gr,pt,169,593.0,0.0,Gorai.010G106300,Potri.018G044300,0.1763,1.0126,1
gr,pt,126,2142.0,1e-43,Gorai.010G106300,Potri.006G238100,0.4717,1.8021,1
gr,sl,108,1408.0,0.0,Gorai.010G106300,Solyc08g066580.2,0.1995,1.5791,1
gr,ta,128,6626.0,0.0,Gorai.010G106300,Thecc1EG037199,0.058,0.3423,1
gr,vv,101,731.0,0.0,Gorai.010G106300,GSVIVT01035621001,0.1326,0.9038,1
os,zm,4,1138.0,0.0,LOC_Os01g54240,GRMZM2G409430,0.0882,0.5839,4
pt,pt,397,9310.0,7e-61,Potri.006G238100,Potri.018G044300,0.3315,0.5942,1
pt,sl,947,574.0,0.0,Potri.018G044300,Solyc08g066580.2,0.2247,1.6999,1
pt,sl,401,3026.0,3e-21,Potri.006G238100,Solyc08g066580.2,0.549,4.0286,1
pt,ta,849,2009.0,0.0,Potri.018G044300,Thecc1EG037199,0.1711,1.0422,1
pt,ta,389,6821.0,2e-29,Potri.006G238100,Thecc1EG037199,0.4885,1.7091,1
pt,vv,945,1603.0,0.0,Potri.018G044300,GSVIVT01035621001,0.1598,0.8388,1
pt,vv,391,4923.0,1e-30,Potri.006G238100,GSVIVT01035621001,0.4375,1.8384,1
sl,ta,446,3473.0,0.0,Solyc08g066580.2,Thecc1EG037199,0.1931,1.4648,1
sl,vv,442,708.0,0.0,Solyc08g066580.2,GSVIVT01035621001,0.1711,1.4155,1
ta,vv,476,1990.0,0.0,Thecc1EG037199,GSVIVT01035621001,0.1276,0.9303,1
