SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,107,54203.0,0.0,16037677,AT2G35110,0.0096,0.1031,3
al,br,346,14181.0,0.0,16037677,Brara.E00925,0.0191,0.3276,3
at,br,255,15208.0,0.0,AT2G35110,Brara.E00925,0.0232,0.3331,3
cp,fv,278,1390.0,0.0,evm.TU.supercontig_30.140,mrna20021,0.1018,1.012,1
cp,pt,585,227.0,4e-24,evm.TU.supercontig_30.140,Potri.015G123000,0.2242,0.8013,1
cp,rc,307,232.0,0.0,evm.TU.supercontig_30.140,29840.m000608,0.0616,0.9497,1
cp,sl,354,425.0,0.0,evm.TU.supercontig_30.140,Solyc02g068720.2,0.1229,1.5849,1
cp,ta,308,1368.0,0.0,evm.TU.supercontig_30.140,Thecc1EG006054,0.0729,0.8495,1
cp,vv,319,979.0,0.0,evm.TU.supercontig_30.140,GSVIVT01012103001,0.0937,0.8793,1
fv,pt,380,1228.0,1e-24,mrna20021,Potri.015G123000,0.1625,1.0142,1
fv,pt,364,1046.0,0.0,mrna20021,Potri.012G124400,0.0796,0.9525,1
fv,rc,185,265.0,0.0,mrna20021,29840.m000608,0.053,1.1193,1
fv,sl,152,1903.0,0.0,mrna20021,Solyc02g068720.2,0.1167,1.6104,1
fv,ta,136,1559.0,0.0,mrna20021,Thecc1EG006054,0.0778,1.0039,1
fv,vv,134,1245.0,0.0,mrna20021,GSVIVT01012103001,0.0793,0.8883,1
gm,gm,891,4019.0,0.0,Glyma.07G221000,Glyma.20G019300,0.0195,0.1081,2
gm,mt,1072,3559.0,0.0,Glyma.20G019300,Medtr4g084140,0.0325,0.3772,2
gm,mt,380,9964.0,0.0,Glyma.07G221000,Medtr4g084140,0.0736,0.4081,2
gm,pt,591,219.0,0.0,Glyma.07G221000,Potri.015G123900,0.1704,1.2446,2
pt,pt,536,21253.0,2e-26,Potri.012G124400,Potri.015G123000,0.2027,0.6233,1
pt,sl,810,1024.0,5e-26,Potri.015G123000,Solyc02g068720.2,0.2245,0.9854,1
pt,sl,686,918.0,0.0,Potri.012G124400,Solyc02g068720.2,0.1125,1.3063,1
pt,ta,754,309.0,2e-26,Potri.015G123000,Thecc1EG006054,0.2096,0.8398,1
pt,ta,640,269.0,0.0,Potri.012G124400,Thecc1EG006054,0.0629,0.7849,1
pt,vv,821,302.0,2e-26,Potri.015G123000,GSVIVT01012103001,0.1793,1.101,1
pt,vv,689,303.0,0.0,Potri.012G124400,GSVIVT01012103001,0.0752,0.8079,1
rc,sl,289,229.0,0.0,29840.m000608,Solyc02g068720.2,0.0882,1.6958,1
rc,ta,302,308.0,0.0,29840.m000608,Thecc1EG006054,0.0473,0.8096,1
rc,vv,314,269.0,0.0,29840.m000608,GSVIVT01012103001,0.056,0.7081,1
sl,ta,91,500.0,0.0,Solyc02g068720.2,Thecc1EG006054,0.1089,1.3735,1
sl,vv,75,538.0,0.0,Solyc02g068720.2,GSVIVT01012103001,0.1064,1.254,1
ta,vv,121,1044.0,0.0,Thecc1EG006054,GSVIVT01012103001,0.0738,0.8079,1
