SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
ar,ta,433,224.0,0.0,scaffold00140.4,Thecc1EG022348,0.5457,2.1745,1
cp,fv,346,703.0,8e-111,evm.TU.supercontig_5.131,mrna00962,0.3778,1.0789,1
cp,gm,1098,1790.0,1e-81,evm.TU.supercontig_5.131,Glyma.13G147300,0.4678,1.5052,1
cp,gr,736,1391.0,7e-124,evm.TU.supercontig_53.172,Gorai.011G233700,0.3297,1.1154,2
cp,pt,770,2546.0,4e-50,evm.TU.supercontig_53.172,Potri.010G231400,0.3449,0.9693,2
cp,pt,769,2263.0,2e-116,evm.TU.supercontig_53.172,Potri.008G029800,0.4974,1.3091,2
cp,rc,387,479.0,3e-117,evm.TU.supercontig_5.131,30078.m002220,0.3842,1.2388,1
cp,sl,465,937.0,5e-46,evm.TU.supercontig_53.172,Solyc11g007900.1,0.8417,1.7914,2
cp,sl,433,1942.0,1e-63,evm.TU.supercontig_5.131,Solyc09g008530.1,0.4947,1.669,1
cp,st,396,492.0,8e-65,evm.TU.supercontig_5.131,PGSC0003DMC400006954,0.4974,1.7359,1
cp,vv,416,1982.0,7e-98,evm.TU.supercontig_53.172,GSVIVT01016161001,0.564,1.2377,2
cp,vv,395,3400.0,8e-67,evm.TU.supercontig_5.131,GSVIVT01033709001,0.3106,1.1917,1
fv,gm,1143,434.0,0.0,mrna00962,Glyma.13G147300,0.3843,1.0467,1
fv,gm,1086,428.0,8e-124,mrna00962,Glyma.10G062800,0.3729,1.0235,1
fv,mt,405,346.0,5e-154,mrna00962,Medtr1g062200,0.3902,1.1213,1
fv,rc,440,2369.0,0.0,mrna00962,30078.m002220,0.3584,1.1579,1
fv,st,511,252.0,0.0,mrna00962,PGSC0003DMC400006954,0.5296,1.9839,1
fv,ta,382,3478.0,0.0,mrna00962,Thecc1EG022348,0.3416,1.1421,1
fv,vv,441,346.0,2e-165,mrna00962,GSVIVT01033709001,0.2946,0.9958,1
gm,gm,1102,9393.0,0.0,Glyma.10G062800,Glyma.13G147300,0.0354,0.0851,1
gm,gm,1157,35199.0,6e-58,Glyma.10G198700,Glyma.20G191300,0.0475,0.0337,3
gm,gr,1071,564.0,2e-144,Glyma.13G147300,Gorai.006G160300,0.4414,1.3047,1
gm,gr,792,1471.0,3e-94,Glyma.10G062800,Gorai.006G160300,0.4251,1.1739,1
gm,mt,1059,20317.0,1e-47,Glyma.20G191300,Medtr1g090807,0.146,0.5078,3
gm,mt,700,1325.0,0.0,Glyma.13G147300,Medtr1g062200,0.1359,0.3535,1
gm,mt,560,2886.0,0.0,Glyma.10G062800,Medtr1g062200,0.1303,0.3695,1
gm,mt,543,22949.0,0.0,Glyma.10G198700,Medtr1g090807,0.1702,0.3795,3
gm,rc,855,278.0,8e-95,Glyma.10G062800,30078.m002220,0.3806,1.292,1
gm,rc,856,1535.0,8e-95,Glyma.10G062800,30078.m002220,0.3806,1.292,1
gm,rc,1134,278.0,0.0,Glyma.13G147300,30078.m002220,0.3855,1.1895,1
gm,rc,1135,1506.0,0.0,Glyma.13G147300,30078.m002220,0.3855,1.1895,1
gm,sl,1119,2963.0,0.0,Glyma.13G147300,Solyc09g008530.1,0.5593,2.3243,1
gm,sl,845,3539.0,7e-77,Glyma.10G062800,Solyc09g008530.1,0.4947,2.2226,1
gm,st,518,433.0,6e-85,Glyma.10G062800,PGSC0003DMC400006954,0.696,4.6514,1
gm,st,706,475.0,8e-158,Glyma.13G147300,PGSC0003DMC400006954,0.5917,2.2495,1
gm,ta,984,4800.0,0.0,Glyma.13G147300,Thecc1EG022348,0.3794,0.9821,1
gm,ta,753,8203.0,3e-109,Glyma.10G062800,Thecc1EG022348,0.372,0.9789,1
gm,vv,831,3367.0,5e-116,Glyma.10G062800,GSVIVT01033709001,0.4242,1.12,1
gr,mt,486,1124.0,0.0,Gorai.006G160300,Medtr1g062200,0.4561,1.19,1
gr,pt,233,2052.0,4e-51,Gorai.011G233700,Potri.010G231400,0.3326,1.1289,2
gr,pt,214,2070.0,0.0,Gorai.011G233700,Potri.008G029800,0.3708,1.2785,2
gr,rc,706,1483.0,1e-155,Gorai.006G160300,30078.m002220,0.3936,1.0738,1
gr,sl,579,2317.0,2e-83,Gorai.006G160300,Solyc09g008530.1,0.5612,2.2896,1
gr,sl,191,953.0,5e-102,Gorai.011G233700,Solyc11g007900.1,0.53,1.8034,2
gr,st,368,1195.0,2e-50,Gorai.006G160300,PGSC0003DMC400006954,0.6262,2.4664,1
gr,ta,590,5595.0,0.0,Gorai.006G160300,Thecc1EG022348,0.1496,0.4046,1
gr,ta,147,4881.0,0.0,Gorai.011G233900,Thecc1EG043375,0.1752,0.3306,6
gr,ta,147,4881.0,0.0,Gorai.011G233700,Thecc1EG043387,0.0973,0.3255,2
gr,vv,148,376.0,0.0,Gorai.011G233700,GSVIVT01016161001,0.2982,1.0823,2
mt,rc,92,1685.0,7e-118,Medtr1g062200,30078.m002220,0.4485,1.2371,1
mt,sl,62,3295.0,6e-78,Medtr1g062200,Solyc09g008530.1,0.6061,1.915,1
mt,st,64,1510.0,3e-81,Medtr1g062200,PGSC0003DMC400006954,0.6488,2.1729,1
mt,ta,69,6274.0,2e-145,Medtr1g062200,Thecc1EG022348,0.4064,1.0276,1
mt,vv,93,2786.0,8e-107,Medtr1g062200,GSVIVT01033709001,0.4292,1.2058,1
os,zm,57,4472.0,6e-60,LOC_Os10g39950,GRMZM2G028033,0.2896,0.7813,5
os,zm,89,1767.0,0.0,LOC_Os10g39950,GRMZM2G336077,0.3174,0.8223,5
os,zm,223,11487.0,0.0,LOC_Os03g01710,GRMZM2G329177,0.1055,0.6683,4
pt,pt,442,49820.0,9e-75,Potri.008G029800,Potri.010G231400,0.1269,0.2931,2
pt,pt,372,1217.0,9e-30,Potri.006G120400,Potri.010G231400,0.4792,1.5421,2
pt,pt,361,1298.0,2e-153,Potri.006G120400,Potri.008G029800,0.454,1.797,2
pt,sl,643,3202.0,8e-24,Potri.010G231400,Solyc11g007900.1,0.5344,1.505,2
pt,sl,536,2577.0,1e-99,Potri.008G029800,Solyc11g007900.1,0.6319,1.6172,2
pt,ta,548,12496.0,7e-45,Potri.010G231400,Thecc1EG043387,0.2997,1.0569,2
pt,vv,591,5052.0,5e-45,Potri.010G231400,GSVIVT01016161001,0.2852,0.9378,2
pt,vv,490,4156.0,0.0,Potri.008G029800,GSVIVT01016161001,0.3418,0.9702,2
pt,vv,386,697.0,3e-174,Potri.006G120400,GSVIVT01016161001,0.5052,1.4885,2
rc,sl,475,1671.0,6e-86,30078.m002220,Solyc09g008530.1,0.5201,1.7719,1
rc,ta,464,2578.0,0.0,30078.m002220,Thecc1EG022348,0.3162,0.9205,1
rc,vv,506,273.0,3e-123,30078.m002220,GSVIVT01033709001,0.3117,0.9922,1
sl,st,427,3556.0,0.0,Solyc09g008530.1,PGSC0003DMC400006954,0.0375,0.0944,1
sl,ta,478,5756.0,0.0,Solyc09g008530.1,Thecc1EG022348,0.5135,2.0331,1
sl,vv,562,2206.0,0.0,Solyc11g007900.1,GSVIVT01016161001,0.4788,1.6126,2
st,ta,531,3201.0,1e-164,PGSC0003DMC400006954,Thecc1EG022348,0.5449,2.2445,1
ta,vv,350,5453.0,1e-155,Thecc1EG022348,GSVIVT01033709001,0.2942,0.8952,1
zm,zm,54,395.0,4e-98,GRMZM2G028033,GRMZM2G336077,0.1614,0.3035,5
zm,zm,399,670.0,0.0,GRMZM2G113163,GRMZM2G329177,0.039,0.176,4
