SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,8,2011.0,2e-31,16036931,16045197,0.2648,1.1807,41
al,al,38,545.0,9e-72,16046571,16049179,0.1609,0.7168,19
al,at,218,49010.0,9e-103,16059380,AT5G52020,0.0215,0.1092,24
al,at,218,49010.0,4e-122,16041832,AT5G51990,0.0346,0.1495,29
al,at,193,64683.0,1e-112,16034482,AT4G16750,0.0135,0.1543,45
al,at,193,64683.0,8e-133,16037737,AT4G25470,0.0376,0.2822,44
al,at,193,64683.0,2e-120,16037484,AT4G31060,0.0315,0.0753,46
al,at,193,64683.0,2e-103,16065900,AT4G32800,0.0718,0.1872,32
al,at,162,65180.0,3e-119,16035984,AT5G21960,0.0237,0.1582,37
al,at,162,65180.0,9e-141,16047360,AT5G11590,0.021,0.1892,36
al,at,133,60155.0,2e-117,16047735,AT3G60490,0.0312,0.1441,43
al,at,108,16780.0,1e-116,16041185,AT2G25820,0.0505,0.2425,68
al,at,107,54203.0,9e-124,16052872,AT2G44940,0.0407,0.1809,33
al,at,107,54203.0,2e-100,16057751,AT2G36450,0.0312,0.129,30
al,at,107,54203.0,1e-96,16059580,AT2G35700,0.014,0.14,35
al,at,79,62910.0,2e-78,16045256,AT3G16280,0.0433,0.1714,70
al,at,53,671.0,3e-97,16046571,AT1G12610,0.1615,0.923,19
al,at,48,11363.0,6e-129,16046571,AT1G63030,0.0207,0.1811,19
al,at,42,36370.0,1e-93,16037711,AT1G77640,0.0401,0.085,64
al,at,42,36370.0,4e-98,16065833,AT1G77200,0.0279,0.1706,71
al,at,42,36370.0,3e-89,16066091,AT1G71520,0.0534,0.2854,28
al,at,42,36370.0,3e-125,16049170,AT1G71450,0.0265,0.0921,38
al,at,12,3258.0,1e-108,16044741,AT1G01250,0.0192,0.0944,47
al,at,6,2284.0,5e-92,16049179,AT1G63030,0.1551,0.8267,19
al,at,4,4600.0,3e-58,16047249,AT1G74930,0.2971,0.8638,20
al,at,3,5475.0,1e-97,16058590,AT1G33760,0.0787,0.4548,48
al,at,1,22006.0,3e-94,16053556,AT1G44830,0.0127,0.2061,72
al,at,0,57645.0,7e-93,16051489,AT1G22810,0.0549,0.2711,42
al,at,0,57645.0,6e-106,16046387,AT1G21910,0.0308,0.1095,65
al,at,0,57645.0,8e-116,16047249,AT1G19210,0.0276,0.1715,20
al,at,0,57645.0,3e-123,16049179,AT1G12610,0.0258,0.2211,19
al,ar,63,392.0,1e-20,16066091,scaffold00099.14,0.0,0.0,28
al,br,718,17351.0,1e-109,16041832,Brara.J00757,0.1138,0.6641,29
al,br,718,17351.0,4e-82,16059380,Brara.J00758,0.0952,0.5252,24
al,br,708,8480.0,1e-88,16065538,Brara.I00861,0.0674,0.3136,69
al,br,699,3046.0,4e-88,16065538,Brara.G01190,0.0686,0.4312,69
al,br,683,6318.0,6e-67,16059380,Brara.C01453,0.1234,0.5728,24
al,br,661,1163.0,1e-69,16059380,Brara.B01523,0.0889,0.5182,24
al,br,636,1935.0,5e-92,16065900,Brara.K00687,0.1498,0.7314,32
al,br,630,5075.0,5e-106,16037737,Brara.K00197,0.1317,0.5583,44
al,br,596,11713.0,1e-89,16037737,Brara.H01574,0.1481,0.713,44
al,br,596,11713.0,6e-73,16037484,Brara.H01375,0.1351,0.2763,46
al,br,596,11713.0,1e-90,16065900,Brara.H01292,0.2241,0.6038,32
al,br,561,3490.0,2e-91,16034482,Brara.C04525,0.0843,0.3074,45
al,br,542,5344.0,7e-93,16034482,Brara.A01860,0.0674,0.4018,45
al,br,541,21725.0,2e-101,16037484,Brara.A00653,0.099,0.2663,46
al,br,541,21725.0,1e-82,16065900,Brara.A00511,0.287,0.5307,32
al,br,541,21725.0,1e-81,16059518,Brara.A00159,0.0616,0.4003,67
al,br,536,28286.0,7e-75,16035984,Brara.J01502,0.1972,0.5322,37
al,br,536,28286.0,3e-121,16047360,Brara.J02216,0.0865,0.5008,36
al,br,477,27039.0,5e-82,16035984,Brara.C00977,0.1638,0.557,37
al,br,462,27490.0,3e-89,16035984,Brara.B00943,0.1261,0.5458,37
al,br,462,27490.0,1e-110,16047360,Brara.B00415,0.0999,0.4382,36
al,br,438,25946.0,7e-98,16047735,Brara.I04175,0.0939,0.4542,43
al,br,438,25946.0,2e-76,16040140,Brara.I03383,0.0966,0.4921,34
al,br,431,11476.0,7e-83,16047735,Brara.G01887,0.1107,0.4645,43
al,br,346,14181.0,3e-83,16059580,Brara.E00876,0.1242,0.5786,35
al,br,342,9533.0,2e-103,16052872,Brara.E00471,0.1475,0.4016,33
al,br,330,1593.0,1e-91,16041185,Brara.D01564,0.1616,0.5024,68
al,br,329,4823.0,3e-82,16054119,Brara.D01390,0.0464,0.5303,66
al,br,328,27059.0,9e-97,16052872,Brara.D02719,0.1804,0.461,33
al,br,328,27059.0,6e-85,16057751,Brara.D02223,0.0993,0.3947,30
al,br,328,27059.0,2e-84,16059580,Brara.D02156,0.1044,0.5543,35
al,br,322,21403.0,1e-102,16052872,Brara.C02274,0.1457,0.3842,33
al,br,322,21403.0,7e-86,16057751,Brara.C01833,0.0832,0.3437,30
al,br,322,21403.0,3e-76,16059580,Brara.C01790,0.1421,0.787,35
al,br,245,34121.0,1e-66,16045256,Brara.E02527,0.1307,0.3978,70
al,br,195,2219.0,2e-116,16046571,Brara.I01206,0.0589,0.5584,19
al,br,195,2219.0,5e-49,16045197,Brara.I01208,0.0881,0.4521,41
al,br,189,510.0,4e-96,16046571,Brara.I05105,0.1631,0.8411,19
al,br,185,5393.0,3e-52,16045197,Brara.I01413,0.2378,0.6162,41
al,br,179,679.0,4e-90,16046571,Brara.H02647,0.175,0.9065,19
al,br,170,11305.0,2e-65,16037367,Brara.G02253,0.1355,0.5046,20
al,br,170,11305.0,5e-30,16049170,Brara.G02403,0.2729,0.614,38
al,br,166,12574.0,2e-75,16066091,Brara.G03053,0.1352,0.6523,28
al,br,165,12726.0,2e-76,16037711,Brara.G03526,0.0916,0.39,64
al,br,165,12726.0,8e-83,16065833,Brara.G03500,0.1118,0.4281,71
al,br,165,12726.0,1e-63,16037367,Brara.G03313,0.1424,0.5716,20
al,br,159,789.0,6e-96,16046571,Brara.F00844,0.1573,0.6019,19
al,br,152,315.0,6e-100,16049170,Brara.B01961,0.1359,0.2822,38
al,br,143,9464.0,4e-71,16066091,Brara.B01960,0.13,0.6634,28
al,br,131,462.0,1e-68,16053556,Brara.J00642,0.0954,0.4269,72
al,br,130,12450.0,4e-97,16044741,Brara.J00058,0.0583,0.3327,47
al,br,123,618.0,3e-84,16058590,Brara.I02582,0.1016,0.7085,48
al,br,120,2399.0,6e-101,16049179,Brara.I05105,0.0928,0.4479,19
al,br,119,7781.0,1e-86,16047249,Brara.I04750,0.1508,0.5509,20
al,br,118,9969.0,3e-97,16044741,Brara.I05601,0.0783,0.354,47
