SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,167,1063.0,6e-71,16042121,16060222,0.2502,0.9515,65
al,al,173,1583.0,3e-54,16041216,16057422,0.2758,0.9742,66
al,at,223,5179.0,6e-39,16052548,AT5G67000,0.2717,0.5405,190
al,at,222,14739.0,4e-08,16051550,AT5G43410,0.0381,0.2709,140
al,at,222,14739.0,3e-105,16037964,AT5G44210,0.0501,0.1262,188
al,at,222,14739.0,1e-124,16058934,AT5G47220,0.0261,0.1415,109
al,at,222,14739.0,2e-122,16041796,AT5G47230,0.0357,0.2018,81
al,at,218,49010.0,7e-138,16059079,AT5G65130,0.0552,0.1588,141
al,at,218,49010.0,0.0,16051749,AT5G64750,0.0222,0.159,113
al,at,218,49010.0,2e-123,16054384,AT5G61890,0.0398,0.2095,106
al,at,218,49010.0,3e-102,16039277,AT5G61590,0.0135,0.1935,110
al,at,218,49010.0,1e-122,16065087,AT5G61600,0.0434,0.169,139
al,at,218,49010.0,8e-172,16053234,AT5G53290,0.0442,0.1633,111
al,at,218,49010.0,3e-141,16054370,AT5G51190,0.0468,0.2395,142
al,at,218,49010.0,2e-93,16043623,AT5G50080,0.0501,0.179,244
al,at,193,64683.0,0.0,16037074,AT4G13620,0.0232,0.1776,191
al,at,193,64683.0,5e-25,16057906,AT4G17490,0.7244,2.3086,33
al,at,193,64683.0,7e-178,16064096,AT4G18450,0.0758,0.1724,143
al,at,193,64683.0,4e-168,16041216,AT4G23750,0.0351,0.2243,66
al,at,193,64683.0,3e-178,16058360,AT4G27950,0.0406,0.1181,112
al,at,193,64683.0,3e-175,16042407,AT4G28140,0.0226,0.1874,108
al,at,193,64683.0,2e-105,16035789,AT4G34410,0.0179,0.1668,114
al,at,190,1191.0,9e-58,16041216,AT4G11140,0.3047,1.0025,66
al,at,188,5074.0,3e-144,16042121,AT4G39780,0.0274,0.1912,65
al,at,178,2003.0,3e-68,16042121,AT2G22200,0.2098,0.9398,65
al,at,162,65180.0,1e-130,16064565,AT5G25390,0.0401,0.0885,104
al,at,162,65180.0,3e-93,16058833,AT5G25190,0.0171,0.1751,144
al,at,162,65180.0,9e-130,16054235,AT5G19790,0.014,0.1328,82
al,at,162,65180.0,6e-161,16058295,AT5G18560,0.0259,0.0968,145
al,at,162,65180.0,2e-155,16066385,AT5G18450,0.0458,0.1183,115
al,at,162,65180.0,4e-98,16044381,AT5G13910,0.0124,0.1373,34
al,at,162,65180.0,1e-69,16041864,AT5G13330,0.0273,0.2319,83
al,at,162,65180.0,3e-111,16050196,AT5G11190,0.014,0.2369,186
al,at,162,65180.0,3e-111,16063224,AT5G07580,0.0213,0.1389,107
al,at,162,65180.0,2e-97,16046948,AT5G07310,0.0381,0.1104,105
al,at,162,65180.0,0.0,16046851,AT5G05410,0.0459,0.2148,102
al,at,160,2246.0,7e-68,16057422,AT4G23750,0.2855,1.1348,66
al,at,156,8302.0,2e-113,16057422,AT4G11140,0.0686,0.2011,66
al,at,133,60155.0,5e-144,16050786,AT3G61630,0.0465,0.1268,138
al,at,133,60155.0,2e-176,16038241,AT3G57600,0.0156,0.1587,146
al,at,133,60155.0,5e-162,16056804,AT3G25890,0.0402,0.1038,147
al,at,116,1315.0,6e-88,16060222,AT4G39780,0.251,0.8475,65
al,at,108,16780.0,2e-136,16060222,AT2G22200,0.0793,0.1818,65
al,at,107,54203.0,3e-79,16063451,AT2G47520,0.0393,0.1223,2
al,at,107,54203.0,0.0,16052108,AT2G46310,0.0397,0.2204,51
al,at,107,54203.0,8e-136,16060134,AT2G44840,0.0146,0.1055,23
al,at,107,54203.0,0.0,16065084,AT2G40340,0.0477,0.1474,192
al,at,107,54203.0,1e-79,16058034,AT2G40220,0.1142,0.2531,148
al,at,107,54203.0,3e-131,16045650,AT2G38340,0.0474,0.1813,149
al,at,107,54203.0,4e-90,16042591,AT2G33710,0.0728,0.1791,150
al,at,107,54203.0,5e-108,16046046,AT2G31230,0.0218,0.1806,80
al,at,79,62910.0,1e-19,16034060,AT3G23220,0.5032,1.4463,56
al,at,79,62910.0,5e-109,16055111,AT3G20310,0.0173,0.1265,96
al,at,79,62910.0,4e-142,16064098,AT3G16770,0.0398,0.2045,116
al,at,79,62910.0,9e-111,16039009,AT3G15210,0.0206,0.2245,50
al,at,79,62910.0,1e-177,16058993,AT3G14230,0.0476,0.203,63
al,at,79,62910.0,4e-153,16056127,AT3G11020,0.1244,0.1686,103
al,at,74,2024.0,1e-172,16064443,AT2G20880,0.069,0.2497,187
al,at,74,2024.0,9e-78,16059069,AT2G20350,0.0549,0.1156,245
al,at,49,3783.0,1e-99,16050904,AT1G80580,0.1005,0.203,193
al,at,48,11363.0,3e-155,16046837,AT1G64380,0.0337,0.1925,3
al,at,42,36370.0,2e-145,16055412,AT1G78080,0.0213,0.1309,97
al,at,42,36370.0,2e-128,16046025,AT1G75490,0.0135,0.1157,84
al,at,42,36370.0,3e-99,16049306,AT1G72360,0.1581,0.2944,151
al,at,42,36370.0,2e-66,16039336,AT1G71130,0.0308,0.1832,136
al,at,42,36370.0,8e-168,16040660,AT1G68550,0.0572,0.1525,79
al,at,11,4656.0,3e-175,16049546,AT1G24590,0.0263,0.1025,152
al,at,11,4656.0,5e-134,16051596,AT1G25470,0.0557,0.0938,185
al,at,2,9189.0,3e-104,16050412,AT1G28360,0.0403,0.175,67
al,at,2,9189.0,2e-74,16060145,AT1G28370,0.0467,0.1202,246
al,at,2,9189.0,4e-121,16064617,AT1G28160,0.0198,0.1205,117
al,at,1,22006.0,0.0,16050440,AT1G53910,0.032,0.1634,135
al,at,1,22006.0,6e-87,16055963,AT1G53170,0.0443,0.0768,100
al,at,1,22006.0,2e-106,16050903,AT1G50640,0.033,0.1545,183
al,at,1,22006.0,0.0,16034002,AT1G49120,0.0504,0.1843,195
al,at,1,22006.0,4e-165,16063618,AT1G36060,0.0283,0.2491,194
al,at,0,57645.0,6e-57,16053776,AT1G22985,0.059,0.1464,98
al,at,0,57645.0,3e-141,16057317,AT1G22190,0.0362,0.1583,184
al,at,0,57645.0,1e-90,16038809,AT1G15360,0.0298,0.1208,85
al,at,0,57645.0,4e-143,16050588,AT1G12980,0.0596,0.2255,153
al,at,0,57645.0,5e-113,16035053,AT1G12890,0.0525,0.1346,196
al,at,0,57645.0,8e-89,16057440,AT1G06160,0.0223,0.1317,137
al,at,0,57645.0,1e-58,16060035,AT1G04370,0.0301,0.1934,99
al,at,0,57645.0,5e-95,16051247,AT1G03800,0.1274,0.2121,189
al,ar,117,365.0,1e-20,16058993,scaffold00129.96,0.0,0.0,63
al,ar,60,252.0,1e-15,16040660,scaffold00079.2,1.1664,1.5829,79
al,ar,4,244.0,2e-12,16053776,scaffold00010.54,0.6916,3.2514,98
al,br,719,575.0,3e-125,16054370,Brara.J00612,0.0778,0.4582,142
al,br,718,17351.0,1e-127,16053234,Brara.J00833,0.1201,0.4003,111
al,br,711,2507.0,8e-34,16052934,Brara.I01789,0.0579,0.4557,140
al,br,710,3084.0,1e-83,16041796,Brara.I01985,0.1266,0.5506,81
al,br,710,3084.0,7e-78,16058934,Brara.I01983,0.1301,0.4841,109
al,br,708,8480.0,1e-124,16051749,Brara.I00797,0.1376,0.5759,113
al,br,708,8480.0,4e-92,16039277,Brara.I00667,0.0628,0.3481,110
al,br,699,3046.0,1e-44,16052548,Brara.G01204,0.2424,0.5911,190
al,br,696,876.0,3e-74,16054384,Brara.F02040,0.1036,0.3668,106
al,br,691,4673.0,4e-87,16058934,Brara.F03560,0.1123,0.4834,109
al,br,691,4673.0,5e-79,16041796,Brara.F03559,0.1434,0.5861,81
al,br,690,8747.0,1e-47,16059079,Brara.F02385,0.2044,0.425,141
al,br,690,8747.0,4e-144,16051749,Brara.F02347,0.0923,0.5094,113
al,br,683,6318.0,4e-111,16053234,Brara.C01398,0.1734,0.459,111
al,br,676,2384.0,2e-111,16065087,Brara.C04275,0.0773,0.5093,139
al,br,676,2384.0,2e-91,16039277,Brara.C04274,0.0563,0.3144,110
al,br,673,1356.0,3e-139,16053234,Brara.B01460,0.1488,0.4474,111
al,br,671,3760.0,2e-70,16037964,Brara.B02774,0.1635,0.4763,188
al,br,671,3760.0,5e-93,16058934,Brara.B02952,0.1168,0.4998,109
al,br,666,433.0,9e-79,16041796,Brara.B02931,0.151,0.5782,81
al,br,659,5878.0,6e-90,16059079,Brara.B03934,0.1473,0.3937,141
al,br,659,5878.0,1e-92,16054384,Brara.B03778,0.1014,0.454,106
al,br,637,1105.0,1e-114,16041216,Brara.K00718,0.1793,0.704,66
al,br,632,1049.0,3e-83,16035789,Brara.K00347,0.1608,0.5647,114
al,br,630,5075.0,4e-108,16058360,Brara.K00056,0.1308,0.4215,112
al,br,630,5075.0,1e-123,16042407,Brara.K00042,0.104,0.6736,108
al,br,603,2529.0,8e-115,16058319,Brara.H00929,0.1306,0.5233,33
al,br,603,2529.0,5e-62,16057906,Brara.H00930,0.1054,0.419,33
al,br,602,4943.0,9e-92,16042121,Brara.H01777,0.1173,0.2788,65
al,br,596,11713.0,5e-126,16058360,Brara.H01502,0.1437,0.437,112
al,br,596,11713.0,4e-136,16042407,Brara.H01496,0.0942,0.7354,108
al,br,596,11713.0,7e-71,16035789,Brara.H01206,0.1009,0.5323,114
al,br,566,1515.0,1e-169,16037074,Brara.D00707,0.0873,0.4126,191
al,br,557,643.0,3e-68,16041216,Brara.C02660,0.2675,1.0933,66
al,br,548,578.0,2e-124,16042121,Brara.A00041,0.0904,0.36,65
al,br,545,21871.0,2e-107,16058319,Brara.A00880,0.117,0.5044,33
al,br,545,21871.0,1e-59,16057906,Brara.A00881,0.0893,0.5055,33
al,br,545,21871.0,2e-130,16041216,Brara.A01384,0.1421,0.5565,66
al,br,545,21871.0,5e-121,16058360,Brara.A01769,0.1416,0.4685,112
al,br,545,21871.0,2e-127,16042407,Brara.A01788,0.1125,0.671,108
al,br,543,658.0,5e-150,16064096,Brara.A00943,0.1493,0.4105,143
al,br,541,21725.0,8e-76,16035789,Brara.A00380,0.1232,0.6977,114
al,br,537,10196.0,3e-105,16046851,Brara.J02660,0.1962,0.7194,102
al,br,536,28286.0,4e-120,16054235,Brara.J01611,0.0528,0.511,82
al,br,536,28286.0,2e-121,16058295,Brara.J01713,0.0945,0.3125,145
al,br,536,28286.0,7e-132,16066385,Brara.J01724,0.1035,0.4174,115
al,br,536,28286.0,4e-70,16044381,Brara.J02053,0.0368,0.4128,34
al,br,536,28286.0,3e-61,16041864,Brara.J02098,0.0934,0.4366,83
al,br,536,28286.0,2e-99,16050196,Brara.J02251,0.0484,0.5186,186
al,br,531,1665.0,4e-104,16063224,Brara.J02528,0.0862,0.4703,107
al,br,531,1665.0,7e-84,16046948,Brara.J02507,0.0828,0.2534,105
al,br,521,4095.0,1e-106,16064565,Brara.I00546,0.0938,0.3847,104
al,br,503,8976.0,2e-113,16064565,Brara.F02737,0.1039,0.3705,104
al,br,503,8976.0,7e-80,16058833,Brara.F02721,0.0727,0.5214,144
al,br,479,2103.0,7e-97,16057422,Brara.C02660,0.1342,0.5563,66
al,br,477,27039.0,1e-104,16054235,Brara.C00893,0.0931,0.4497,82
al,br,477,27039.0,4e-123,16058295,Brara.C00832,0.0987,0.3228,145
al,br,477,27039.0,3e-118,16066385,Brara.C00826,0.1011,0.3415,115
al,br,477,27039.0,9e-72,16044381,Brara.C00589,0.083,0.3669,34
al,br,477,27039.0,6e-59,16041864,Brara.C00560,0.0884,0.4047,83
al,br,477,27039.0,3e-83,16046948,Brara.C00289,0.085,0.3484,105
al,br,477,27039.0,2e-100,16046851,Brara.C00211,0.1697,0.669,102
al,br,462,27490.0,2e-105,16054235,Brara.B00844,0.0785,0.4604,82
al,br,462,27490.0,7e-123,16066385,Brara.B00770,0.095,0.3865,115
al,br,462,27490.0,1e-66,16044381,Brara.B00526,0.0554,0.4334,34
al,br,462,27490.0,4e-54,16041864,Brara.B00486,0.0987,0.3439,83
al,br,462,27490.0,2e-80,16063224,Brara.B00253,0.0989,0.536,107
al,br,462,27490.0,3e-79,16046948,Brara.B00239,0.1045,0.3895,105
al,br,462,27490.0,3e-108,16046851,Brara.B00174,0.1764,0.6736,102
al,br,454,2012.0,1e-66,16057422,Brara.A01384,0.3329,1.0575,66
al,br,438,25946.0,4e-88,16050786,Brara.I04252,0.1919,0.5524,138
al,br,438,25946.0,3e-116,16038241,Brara.I03979,0.0978,0.5369,146
al,br,438,25946.0,2e-76,16040140,Brara.I03383,0.0966,0.4921,101
al,br,431,11476.0,1e-81,16050786,Brara.G01933,0.2472,0.7455,138
al,br,424,11528.0,3e-142,16056804,Brara.F03308,0.1055,0.3606,147
al,br,409,15189.0,2e-123,16038241,Brara.D00278,0.1021,0.429,146
al,br,393,8921.0,3e-109,16056804,Brara.B03207,0.1604,0.3724,147
al,br,365,1197.0,1e-79,16060222,Brara.H01777,0.2386,0.7194,65
al,br,348,4178.0,2e-94,16046046,Brara.E01243,0.0627,0.4357,80
al,br,347,4275.0,2e-90,16052108,Brara.E00145,0.1935,0.9268,51
al,br,346,14181.0,8e-65,16058034,Brara.E00562,0.2154,0.3883,148
al,br,346,14181.0,5e-82,16045650,Brara.E00692,0.171,0.4681,149
al,br,346,14181.0,3e-86,16042591,Brara.E01035,0.1016,0.3703,150
al,br,345,276.0,2e-94,16046046,Brara.E01243,0.0627,0.4357,80
al,br,342,9533.0,3e-106,16060134,Brara.E00465,0.0959,0.4642,23
al,br,328,27059.0,3e-57,16060134,Brara.D02714,0.1001,0.5868,23
al,br,328,27059.0,1e-89,16065084,Brara.D02449,0.1907,0.385,192
al,br,328,27059.0,7e-78,16042591,Brara.D02051,0.1363,0.3605,150
al,br,328,27059.0,7e-88,16046046,Brara.D01886,0.0558,0.3999,80
al,br,322,21403.0,1e-69,16058034,Brara.C02064,0.1694,0.399,148
al,br,322,21403.0,5e-93,16046046,Brara.C01595,0.0438,0.5096,80
al,br,317,907.0,3e-88,16060222,Brara.A00041,0.239,0.8588,65
al,br,302,892.0,5e-111,16064443,Brara.I04678,0.1904,0.703,187
