SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,191,511.0,1e-19,16039313,16039690,0.3921,1.2575,37
al,at,225,455.0,8e-10,16062168,AT5G59660,0.5371,0.8916,75
al,at,218,49010.0,2e-164,16057830,AT5G59650,0.1526,0.6385,25
al,at,209,909.0,4e-159,16057830,AT3G46340,0.2312,1.2251,25
al,at,193,64683.0,3e-54,16039128,AT4G20450,0.104,0.1922,76
al,at,193,64683.0,1e-54,16043179,AT4G29450,0.0312,0.1174,48
al,at,179,1438.0,2e-47,16055458,AT2G19190,0.1726,1.0051,38
al,at,162,65180.0,0.0,16046560,AT5G15730,0.0171,0.069,49
al,at,156,8302.0,0.0,16039699,AT4G10390,0.0244,0.2745,36
al,at,133,60155.0,0.0,16037215,AT3G46330,0.0346,0.1399,74
al,at,133,60155.0,3e-25,16041391,AT3G46270,0.2441,0.7858,39
al,at,107,54203.0,2e-25,16045201,AT2G29000,0.303,0.771,50
al,at,107,54203.0,1e-36,16052140,AT2G28990,0.1119,0.7673,51
al,at,104,2491.0,6e-32,16041432,AT1G07560,0.4569,1.5446,26
al,at,76,2608.0,4e-18,16047898,AT2G19190,0.3893,1.1753,38
al,at,73,3405.0,7e-30,16047590,AT2G14440,0.1653,0.2008,77
al,at,72,3942.0,2e-121,16062762,AT2G04300,0.1531,0.2938,78
al,at,3,5475.0,0.0,16055154,AT1G33260,0.0365,0.2062,47
al,at,1,22006.0,1e-103,16059956,AT1G51790,0.1785,0.3611,11
al,at,1,22006.0,3e-69,16045336,AT1G51800,0.1108,0.187,52
al,at,1,22006.0,5e-100,16035127,AT1G51810,0.0823,0.6005,40
al,at,1,22006.0,6e-175,16061095,AT1G51620,0.0694,0.1687,53
al,at,1,22006.0,1e-74,16060288,AT1G49100,0.0713,0.1752,79
al,at,0,57645.0,5e-106,16034757,AT1G07550,0.1214,0.1649,15
al,br,718,17351.0,4e-28,16039313,Brara.J01338,0.3004,0.7062,37
al,br,670,8333.0,3e-158,16057830,Brara.B01082,0.2002,0.6349,25
al,br,670,8333.0,2e-11,16055433,Brara.B01078,1.2454,1.374,22
al,br,541,21725.0,1e-41,16043179,Brara.A00785,0.2853,0.7276,48
al,br,536,28286.0,0.0,16046560,Brara.J01938,0.0416,0.4154,49
al,br,425,5912.0,6e-97,16064528,Brara.F01812,0.417,1.2801,55
al,br,328,27059.0,8e-32,16041432,Brara.D01737,0.4432,1.209,26
al,br,104,1226.0,0.0,16055154,Brara.I02706,0.0693,0.5562,47
al,br,97,32202.0,1e-52,16034757,Brara.H02917,0.2827,0.8697,15
al,br,59,7874.0,1e-86,16035127,Brara.F00227,0.2153,0.0,40
al,br,59,7874.0,2e-145,16061095,Brara.F00242,0.1336,0.3285,53
al,br,40,3863.0,2e-84,16035127,Brara.E01607,0.2399,0.0,40
al,br,40,3863.0,9e-78,16059956,Brara.E01612,0.306,0.7299,11
al,fv,321,251.0,8e-08,16044547,mrna20950,1.0142,2.944,80
al,mt,97,381.0,4e-36,16056758,Medtr8g015190,0.6733,2.191,28
al,mt,24,551.0,8e-36,16056758,Medtr2g100470,0.7892,2.117,28
al,rc,101,957.0,1e-46,16056758,30146.m003447,0.5529,1.4995,28
al,vv,132,214.0,2e-43,16056722,GSVIVT01016910001,0.7466,2.3169,12
al,vv,581,1763.0,6e-76,16039699,GSVIVT01019727001,0.3582,-1.0,36
at,at,249,1607.0,0.0,AT3G46350,AT5G59650,0.2954,1.0872,25
at,at,191,615.0,0.0,AT2G28990,AT5G59680,0.3587,1.0709,51
at,at,164,2571.0,0.0,AT2G19190,AT4G29990,0.2181,0.8499,38
at,at,132,397.0,0.0,AT2G28960,AT3G46400,0.3675,1.3676,26
at,at,132,397.0,0.0,AT2G29000,AT3G46420,0.3649,1.379,50
at,at,45,4242.0,0.0,AT1G51790,AT3G21340,0.5344,2.0589,11
at,at,30,4968.0,0.0,AT1G07560,AT2G28960,0.3244,1.1513,26
at,br,756,29254.0,0.0,AT5G15730,Brara.J01938,0.0437,0.4023,49
at,br,752,17730.0,1e-61,AT5G59616,Brara.J01338,0.2316,0.7782,37
at,br,711,3842.0,0.0,AT5G48740,Brara.F02983,0.0564,0.2954,4
at,br,590,1913.0,0.0,AT4G29180,Brara.K00905,0.0745,0.5196,58
at,br,480,406.0,0.0,AT4G10390,Brara.B02730,0.0714,0.5945,36
at,br,468,18954.0,0.0,AT4G29450,Brara.A00785,0.1621,0.5497,48
at,br,413,6150.0,4e-89,AT3G46240,Brara.F01812,0.4595,1.3475,55
at,br,389,38891.0,0.0,AT3G19230,Brara.E02281,0.0884,0.44,82
at,br,389,38891.0,0.0,AT3G05990,Brara.E03320,0.0955,0.5217,59
at,br,352,467.0,2e-32,AT3G46270,Brara.B01086,0.884,0.0,39
at,br,341,7728.0,0.0,AT3G05990,Brara.A03678,0.1042,0.5388,59
at,br,332,552.0,6e-32,AT3G46270,Brara.A02412,1.097,4.4102,39
at,br,255,15208.0,0.0,AT2G37050,Brara.E00792,0.0745,0.8306,60
at,br,240,37626.0,0.0,AT2G28960,Brara.D01737,0.3173,1.3541,26
at,br,232,22206.0,0.0,AT2G37050,Brara.C01855,0.0757,0.5929,60
at,br,187,6761.0,0.0,AT1G28340,Brara.I02952,0.0589,0.8289,1
at,br,167,1395.0,0.0,AT1G33260,Brara.I02706,0.0831,0.5466,47
at,br,164,3695.0,0.0,AT1G25570,Brara.I03100,0.0546,0.6692,3
at,br,138,277.0,9e-169,AT1G24485,Brara.G00909,0.1995,0.5048,83
at,br,103,14649.0,0.0,AT1G67720,Brara.G02729,0.0491,0.3945,61
at,br,93,8524.0,9e-166,AT1G51620,Brara.F00242,0.1642,0.4006,53
at,br,67,4140.0,0.0,AT1G51790,Brara.E01612,0.0913,0.517,11
at,cp,655,1419.0,0.0,AT5G48740,evm.TU.supercontig_8.144,0.2145,1.4168,4
at,cp,77,374.0,1e-84,AT1G28340,evm.TU.supercontig_27.18,0.1836,1.5465,1
at,cp,0,768.0,0.0,AT1G25570,evm.TU.supercontig_1.213,0.1769,1.4712,3
at,fv,56,1163.0,0.0,AT1G25570,mrna03872,0.2746,1.9984,3
at,fv,30,1126.0,0.0,AT1G28340,mrna29734,0.2871,1.6352,1
at,gm,349,732.0,0.0,AT1G28340,Glyma.15G076900,0.223,1.3094,1
at,gm,319,399.0,0.0,AT1G28340,Glyma.13G176900,0.2255,1.6544,1
at,gm,312,849.0,0.0,AT1G28340,Glyma.13G236700,0.2172,1.3579,1
at,gm,155,321.0,0.0,AT1G28340,Glyma.07G199500,0.2246,1.4774,1
at,gm,29,428.0,0.0,AT1G25570,Glyma.02G099800,0.2646,1.5516,3
at,gm,4,581.0,0.0,AT1G25570,Glyma.01G087700,0.2658,1.4656,3
at,gr,852,293.0,0.0,AT5G48740,Gorai.001G186800,0.2236,1.7399,4
at,gr,36,292.0,0.0,AT1G28340,Gorai.011G029600,0.1691,1.419,1
at,mt,490,357.0,0.0,AT4G29180,Medtr6g090615,0.4314,2.2551,58
at,mt,405,297.0,0.0,AT3G21340,Medtr8g015340,0.4644,3.0562,11
at,mt,169,340.0,0.0,AT1G51790,Medtr8g015340,0.4475,2.327,11
at,mt,169,340.0,4e-179,AT1G51870,Medtr8g015190,0.5682,2.4873,28
at,mt,129,463.0,0.0,AT1G25570,Medtr5g053610,0.2678,1.4911,3
at,mt,64,954.0,0.0,AT1G67720,Medtr3g086120,0.2271,1.7969,61
at,mt,32,774.0,0.0,AT1G28340,Medtr2g014290,0.2334,1.4175,1
at,pt,824,993.0,0.0,AT5G48740,Potri.002G242700,0.2291,1.5184,4
at,pt,200,1308.0,0.0,AT1G28340,Potri.011G056800,0.1849,1.1978,1
at,pt,171,928.0,0.0,AT1G25570,Potri.010G129300,0.216,1.7751,3
at,pt,151,832.0,0.0,AT1G25570,Potri.008G117000,0.2251,1.7653,3
at,pt,89,1050.0,0.0,AT1G28340,Potri.004G047300,0.1758,1.1624,1
at,rc,599,496.0,0.0,AT5G48740,30204.m001755,0.2275,1.8261,4
at,rc,157,506.0,0.0,AT1G28340,30190.m011324,0.1763,1.3806,1
at,rc,40,274.0,0.0,AT1G25570,29738.m001049,0.2525,1.3946,3
at,sl,645,250.0,0.0,AT5G48740,Solyc09g060110.2,0.2595,1.9574,4
at,sl,353,345.0,3e-40,AT3G45920,Solyc06g005230.1,0.0,0.0,10
at,sl,94,782.0,0.0,AT1G25570,Solyc05g009800.2,0.2659,1.7268,3
at,sl,53,328.0,0.0,AT1G28340,Solyc03g006330.2,0.2408,1.7695,1
at,sl,24,786.0,0.0,AT1G28340,Solyc02g077850.2,0.2396,1.9862,1
at,st,75,731.0,0.0,AT1G25570,PGSC0003DMC400001546,0.2635,1.667,3
at,st,49,213.0,0.0,AT1G28340,PGSC0003DMC400022695,0.2442,1.6019,1
at,st,26,207.0,0.0,AT1G28340,PGSC0003DMC400051759,0.2418,2.0092,1
at,ta,120,879.0,1e-39,AT1G51840,Thecc1EG028952,0.5218,0.0,65
at,ta,115,1348.0,0.0,AT1G28340,Thecc1EG029824,0.1682,1.4332,1
at,ta,26,568.0,0.0,AT1G25570,Thecc1EG011864,0.1999,1.4544,3
at,vv,454,1117.0,6e-91,AT4G10390,GSVIVT01019727001,0.0,0.0,36
at,vv,29,1046.0,0.0,AT1G28340,GSVIVT01021096001,0.2036,1.3816,1
at,vv,14,941.0,0.0,AT1G25570,GSVIVT01011948001,0.2452,1.6583,3
ar,cp,326,336.0,7e-167,scaffold00126.66,evm.TU.supercontig_62.14,0.0,0.0,7
ar,fv,354,292.0,2e-170,scaffold00126.66,mrna28580,0.4237,2.896,7
ar,fv,139,228.0,0.0,scaffold00025.383,mrna05892,0.393,2.6307,5
ar,fv,126,418.0,0.0,scaffold00023.238,mrna18098,0.2154,1.5601,2
ar,gm,640,719.0,2e-126,scaffold00056.191,Glyma.13G353000,0.4981,1.7976,90
ar,gm,638,954.0,4e-36,scaffold00056.185,Glyma.08G198800,0.7225,0.0,91
ar,gm,638,954.0,2e-19,scaffold00056.193,Glyma.08G198000,1.1761,2.5569,8
ar,gm,638,954.0,2e-58,scaffold00056.183,Glyma.08G199400,0.3433,1.3597,13
ar,gm,637,213.0,4e-36,scaffold00056.185,Glyma.08G198800,0.7225,0.0,91
ar,gm,578,337.0,0.0,scaffold00046.162,Glyma.09G202300,0.4288,2.3535,20
ar,gm,576,297.0,0.0,scaffold00046.162,Glyma.01G020100,0.4203,2.3686,20
ar,gm,340,336.0,0.0,scaffold00023.238,Glyma.13G136700,0.2015,1.4194,2
ar,gm,336,377.0,0.0,scaffold00023.238,Glyma.10G048800,0.2082,1.4566,2
ar,gr,357,348.0,9e-26,scaffold00056.186,Gorai.001G012000,0.5712,2.8398,27
ar,lj,69,257.0,0.0,scaffold00046.162,chr2.CM0177.340.nc,0.4253,2.3641,20
