SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,162,65180.0,2e-167,16054357,AT5G12840,0.0131,0.1687,10
al,at,162,65180.0,0.0,16036379,AT5G06510,0.0357,0.0861,19
al,at,107,54203.0,1e-127,16063118,AT2G34720,0.0178,0.124,18
al,at,79,62910.0,0.0,16053115,AT3G20910,0.0245,0.1127,12
al,at,79,62910.0,0.0,16053141,AT3G14020,0.0475,0.135,16
al,at,79,62910.0,0.0,16062663,AT3G05690,0.0134,0.0929,13
al,at,42,36370.0,0.0,16055954,AT1G72830,0.0493,0.1429,9
al,at,2,9189.0,6e-117,16048392,AT1G30500,0.0481,0.1183,17
al,at,1,22006.0,2e-173,16045191,AT1G54160,0.0358,0.0502,8
al,at,0,57645.0,0.0,16054922,AT1G17590,0.0869,0.1299,15
al,br,537,10196.0,9e-117,16036379,Brara.J02572,0.1519,0.3136,19
al,br,536,28286.0,5e-128,16054357,Brara.J02142,0.0764,0.4567,10
al,br,477,27039.0,3e-105,16054357,Brara.C00532,0.112,0.3802,10
al,br,462,27490.0,2e-84,16054357,Brara.B00459,0.1196,0.3704,10
al,br,346,14181.0,1e-109,16063118,Brara.E00954,0.074,0.359,18
al,br,247,3111.0,1e-137,16053115,Brara.E02111,0.1338,0.3108,12
al,br,225,9452.0,2e-154,16062663,Brara.C03118,0.0867,0.2391,13
al,br,224,14707.0,3e-150,16053115,Brara.C03810,0.1166,0.371,12
al,br,211,22402.0,1e-133,16053141,Brara.A03216,0.1086,0.3104,16
al,br,206,394.0,4e-150,16062663,Brara.A03708,0.0857,0.2661,13
al,br,170,11305.0,2e-143,16055954,Brara.G02344,0.1031,0.3165,9
al,br,166,12574.0,8e-145,16055954,Brara.G03156,0.0868,0.3092,9
al,br,143,9464.0,1e-153,16055954,Brara.B02046,0.092,0.3931,9
al,br,119,7781.0,1e-72,16054922,Brara.I04819,0.2604,0.4793,15
al,br,117,13016.0,4e-86,16048392,Brara.I02806,0.1125,0.2832,17
al,br,98,5703.0,8e-101,16045191,Brara.H00096,0.0678,0.2525,8
al,br,59,7874.0,2e-118,16045191,Brara.F00066,0.092,0.2925,8
al,br,42,1834.0,6e-94,16045191,Brara.E01518,0.093,0.3254,8
at,br,757,10805.0,5e-117,AT5G06510,Brara.J02572,0.1623,0.3419,19
at,br,756,29254.0,3e-122,AT5G12840,Brara.J02142,0.0797,0.4186,10
at,br,654,26769.0,4e-100,AT5G12840,Brara.C00532,0.1034,0.414,10
at,br,622,27175.0,7e-80,AT5G12840,Brara.B00459,0.134,0.3966,10
at,br,389,38891.0,1e-142,AT3G20910,Brara.E02111,0.1367,0.3214,12
at,br,357,8025.0,3e-155,AT3G05690,Brara.C03118,0.0831,0.2258,13
at,br,356,16857.0,7e-150,AT3G20910,Brara.C03810,0.1192,0.344,12
at,br,340,22367.0,2e-111,AT3G14020,Brara.A03216,0.1282,0.4008,16
at,br,333,511.0,2e-150,AT3G05690,Brara.A03708,0.0838,0.2449,13
at,br,255,15208.0,5e-121,AT2G34720,Brara.E00954,0.0695,0.3726,18
at,br,187,6761.0,5e-81,AT1G30500,Brara.I02806,0.1051,0.4089,17
at,br,186,8002.0,5e-78,AT1G17590,Brara.I04819,0.2357,0.4625,15
at,br,155,3061.0,5e-99,AT1G54160,Brara.H00096,0.0845,0.2681,8
at,br,120,11868.0,5e-158,AT1G72830,Brara.G02344,0.0908,0.3391,9
at,br,103,14649.0,4e-159,AT1G72830,Brara.G03156,0.0863,0.3614,9
