SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,2,281.0,7e-140,16034118,16048850,0.2565,2.699,2
al,al,6,3824.0,1e-166,16048567,16054136,0.1703,1.102,116
al,al,6,3824.0,0.0,16036807,16062453,0.1754,0.7138,117
al,al,7,2088.0,2e-162,16047024,16050069,0.1798,0.8063,31
al,al,7,2088.0,3e-174,16034118,16040867,0.1355,0.9349,2
al,al,12,1470.0,4e-167,16043538,16051115,0.0814,0.4841,157
al,al,14,2945.0,0.0,16045737,16047547,0.1225,0.7528,139
al,al,14,2945.0,0.0,16050557,16058395,0.1383,0.8155,77
al,al,35,325.0,9e-143,16040867,16048850,0.2301,-1.0,2
al,al,58,868.0,5e-177,16055427,16056791,0.269,1.2984,118
al,al,63,2432.0,3e-175,16050029,16052894,0.1952,0.7778,119
al,al,65,436.0,0.0,16034393,16041904,0.1005,0.7963,185
al,al,74,319.0,5e-39,16038622,16061236,0.274,1.7169,7
al,al,80,1589.0,2e-173,16063991,16065157,0.1994,0.8858,92
al,al,80,1589.0,0.0,16049425,16061876,0.0949,0.8437,120
al,al,97,638.0,0.0,16035855,16048850,0.0903,0.7949,2
al,al,104,2171.0,7e-162,16038919,16039750,0.1027,0.7096,14
al,al,107,823.0,0.0,16035775,16055079,0.0917,0.6722,388
al,al,154,310.0,0.0,16040258,16064218,0.1256,0.8688,47
al,al,161,1383.0,1e-155,16045623,16065530,0.1745,0.7186,122
al,al,205,214.0,6e-146,16049211,16058272,0.2027,0.8111,94
al,at,222,14739.0,0.0,16041010,AT5G42440,0.0267,0.2549,389
al,at,222,14739.0,0.0,16057159,AT5G46080,0.0197,0.1277,223
al,at,218,49010.0,0.0,16059825,AT5G60080,0.1162,0.1353,224
al,at,218,49010.0,0.0,16035094,AT5G56890,0.0336,0.1436,225
al,at,218,49010.0,0.0,16059582,AT5G56790,0.0092,0.1229,158
al,at,218,49010.0,0.0,16056576,AT5G54590,0.0118,0.2076,78
al,at,195,3580.0,0.0,16040258,AT5G37790,0.0168,0.1784,47
al,at,193,64683.0,0.0,16061146,AT4G17660,0.0491,0.223,289
al,at,193,64683.0,1e-27,16039844,AT4G29735,0.0061,0.1208,162
al,at,193,64683.0,0.0,16044423,AT4G32000,0.0183,0.1227,62
al,at,174,320.0,0.0,16040258,AT1G66460,0.1284,0.8445,47
al,at,162,65180.0,2e-49,16066205,AT5G25440,0.296,0.5732,290
al,at,162,65180.0,2e-176,16049105,AT5G23170,0.0457,0.1729,291
al,at,162,65180.0,0.0,16049315,AT5G22050,0.0085,0.1263,63
al,at,162,65180.0,1e-142,16037339,AT5G11400,0.1846,0.2371,292
al,at,162,65180.0,2e-115,16039913,AT5G11360,0.0808,0.1053,390
al,at,162,65180.0,0.0,16039223,AT5G11020,0.0276,0.0871,286
al,at,162,65180.0,0.0,16063151,AT5G06820,0.0118,0.0873,391
al,at,133,60155.0,0.0,16050947,AT3G51990,0.0111,0.1098,293
al,at,133,60155.0,0.0,16045194,AT3G26940,0.1161,0.1351,20
al,at,133,60155.0,0.0,16043333,AT3G26700,0.0035,0.0962,64
al,at,109,2412.0,0.0,16039002,AT2G28250,0.0176,0.1507,8
al,at,108,16780.0,0.0,16066218,AT2G25220,0.0171,0.1834,288
al,at,108,16780.0,0.0,16035963,AT2G23770,0.0384,0.2101,226
al,at,107,54203.0,0.0,16060354,AT2G48010,0.0276,0.1492,32
al,at,107,54203.0,0.0,16045348,AT2G33580,0.03,0.2007,227
al,at,107,54203.0,0.0,16043209,AT2G30940,0.0622,0.1658,294
al,at,80,2980.0,0.0,16050136,AT3G01840,0.0562,0.1467,21
al,at,79,62910.0,2e-52,16062414,AT3G23650,0.2877,0.4276,295
al,at,79,62910.0,0.0,16046997,AT3G21630,0.0295,0.1981,284
al,at,79,62910.0,2e-128,16058084,AT3G21450,0.1596,0.1824,392
al,at,79,62910.0,0.0,16040926,AT3G19300,0.0236,0.1097,216
al,at,79,62910.0,0.0,16045335,AT3G15890,0.0261,0.1711,219
al,at,79,62910.0,0.0,16058395,AT3G13690,0.0135,0.1028,77
al,at,79,62910.0,0.0,16047401,AT3G09780,0.0197,0.1611,296
al,at,79,62910.0,0.0,16036700,AT3G08760,0.0072,0.1707,228
al,at,74,2024.0,0.0,16060915,AT2G20300,0.005,0.0909,163
al,at,71,5784.0,0.0,16049586,AT2G17570,0.0386,0.1417,39
al,at,69,784.0,0.0,16058395,AT1G55200,0.1466,0.8111,77
al,at,62,574.0,0.0,16064218,AT5G37790,0.1199,0.7463,47
al,at,49,3783.0,0.0,16049035,AT1G80640,0.0178,0.1235,79
al,at,42,36370.0,0.0,16064218,AT1G66460,0.0346,0.1853,47
al,at,31,3121.0,0.0,16050557,AT3G13690,0.1342,0.8828,77
al,at,7,1689.0,0.0,16037620,AT1G54820,0.0307,0.1677,15
al,at,5,3124.0,0.0,16050557,AT1G55200,0.0359,0.1448,77
al,at,2,9189.0,0.0,16059686,AT1G28390,0.0684,0.2331,297
al,at,1,22006.0,0.0,16059658,AT1G52540,0.0187,0.1541,220
al,at,1,22006.0,0.0,16043205,AT1G52310,0.0225,0.2099,298
al,at,1,22006.0,0.0,16065582,AT1G51940,0.0171,0.1369,217
al,at,1,22006.0,0.0,16059047,AT1G49730,0.0283,0.1449,283
al,at,0,57645.0,0.0,16037045,AT1G24030,0.1632,0.2412,10
al,ar,244,366.0,0.0,16048807,scaffold00077.219,0.0,0.0,49
al,ar,231,282.0,0.0,16052603,scaffold00045.179,0.283,2.1699,6
al,ar,214,268.0,0.0,16050989,scaffold00023.153,0.0,0.0,19
al,ar,173,484.0,6e-129,16045194,scaffold00016.170,0.0,0.0,20
al,ar,157,377.0,1e-146,16039002,scaffold00148.43,0.3982,2.3176,8
al,ar,116,308.0,4e-133,16056810,scaffold00109.26,0.4051,2.7276,5
al,ar,98,301.0,0.0,16048190,scaffold00045.70,0.2998,2.9049,22
al,ar,96,354.0,2e-107,16049586,scaffold00044.186,0.0,0.0,39
al,ar,86,264.0,0.0,16048685,scaffold00025.283,0.0,0.0,142
al,ar,84,446.0,0.0,16056476,scaffold00024.287,0.0,0.0,4
al,ar,50,289.0,0.0,16050476,scaffold00025.294,0.0,0.0,50
al,ar,41,560.0,8e-175,16040867,scaffold00010.360,0.0,0.0,2
al,ar,34,266.0,0.0,16050993,scaffold00109.26,0.0,0.0,5
al,ar,32,314.0,2e-91,16037045,scaffold00088.71,0.0,0.0,10
al,ar,5,924.0,0.0,16048850,scaffold00010.360,0.0,0.0,2
al,ar,2,571.0,2e-168,16034118,scaffold00010.360,0.0,0.0,2
al,br,718,17351.0,3e-112,16059825,Brara.J01368,0.4473,0.6375,224
al,br,718,17351.0,0.0,16048556,Brara.J01177,0.0659,0.4106,302
al,br,718,17351.0,0.0,16035094,Brara.J01111,0.0718,0.4477,225
al,br,718,17351.0,0.0,16059582,Brara.J01104,0.0374,0.3751,158
al,br,718,17351.0,0.0,16065672,Brara.J01076,0.0249,0.4591,230
al,br,718,17351.0,0.0,16056576,Brara.J00928,0.0591,0.4402,78
al,br,710,3084.0,3e-179,16057159,Brara.I01918,0.0993,0.7157,223
al,br,710,3084.0,0.0,16044745,Brara.I01971,0.0743,0.4105,161
al,br,691,4673.0,1e-177,16057159,Brara.F03645,0.1071,0.7677,223
al,br,691,4673.0,0.0,16044745,Brara.F03571,0.0825,0.4192,161
al,br,690,8747.0,0.0,16058028,Brara.F02422,0.0544,0.5944,222
al,br,690,8747.0,0.0,16050258,Brara.F02274,0.0654,0.4138,231
al,br,683,6318.0,0.0,16056576,Brara.C01344,0.0551,0.5055,78
al,br,671,3760.0,0.0,16044745,Brara.B02935,0.0863,0.3764,161
al,br,670,8333.0,1e-110,16059825,Brara.B01046,0.3975,0.6674,224
al,br,670,8333.0,0.0,16035094,Brara.B01248,0.0933,0.4724,225
al,br,670,8333.0,0.0,16059582,Brara.B01255,0.0513,0.3425,158
al,br,670,8333.0,0.0,16065672,Brara.B01268,0.0309,0.4089,230
al,br,659,5878.0,0.0,16058028,Brara.B03960,0.0628,0.5151,222
al,br,659,5878.0,0.0,16050258,Brara.B03873,0.0585,0.4347,231
al,br,638,1827.0,8e-29,16039844,Brara.K00881,0.0371,0.3638,162
al,br,631,788.0,0.0,16054290,Brara.K00279,0.1583,0.4855,123
al,br,622,997.0,0.0,16045623,Brara.I01005,0.1972,0.7488,122
al,br,608,511.0,0.0,16034096,Brara.H00620,0.0791,0.4866,232
al,br,599,530.0,0.0,16061146,Brara.H00916,0.1303,0.4074,289
al,br,598,849.0,2e-175,16054290,Brara.H01643,0.1744,0.4207,123
al,br,587,1075.0,0.0,16045623,Brara.G00311,0.1804,0.8513,122
al,br,573,446.0,0.0,16040258,Brara.D00833,0.0713,0.5831,47
al,br,572,888.0,0.0,16034096,Brara.D00797,0.0612,0.5128,232
al,br,572,888.0,0.0,16053328,Brara.D00816,0.0643,0.4728,299
al,br,541,21725.0,4e-28,16039844,Brara.A00764,0.0563,0.3414,162
al,br,541,21725.0,0.0,16044423,Brara.A00584,0.0721,0.3549,62
al,br,541,21725.0,0.0,16043105,Brara.A00522,0.1003,0.4293,233
al,br,541,21725.0,0.0,16045623,Brara.A00327,0.1022,0.3906,122
al,br,541,21725.0,0.0,16054290,Brara.A00277,0.1054,0.5031,123
al,br,536,28286.0,0.0,16052894,Brara.J01880,0.112,0.4947,119
al,br,536,28286.0,3e-137,16049572,Brara.J01977,0.0382,0.2352,140
al,br,536,28286.0,0.0,16041134,Brara.J01985,0.0639,0.4964,160
al,br,536,28286.0,2e-79,16037339,Brara.J02232,0.2783,0.3832,292
al,br,536,28286.0,0.0,16039223,Brara.J02263,0.0761,0.3571,286
al,br,521,4095.0,2e-47,16066205,Brara.I00542,0.3054,0.6677,290
al,br,502,2213.0,0.0,16052894,Brara.E03558,0.2116,0.9189,119
al,br,489,675.0,4e-151,16049105,Brara.C04186,0.136,0.7509,291
al,br,484,283.0,9e-60,16034518,Brara.C00459,0.5178,1.5929,234
al,br,481,983.0,0.0,16052894,Brara.C03009,0.2571,0.9092,119
al,br,478,4714.0,0.0,16052603,Brara.C02832,0.0497,0.2712,6
al,br,477,27039.0,0.0,16049315,Brara.C00984,0.0589,0.5231,63
al,br,477,27039.0,0.0,16048758,Brara.C00857,0.0687,0.3741,235
al,br,477,27039.0,0.0,16052894,Brara.C00727,0.107,0.4332,119
al,br,477,27039.0,7e-140,16049572,Brara.C00651,0.044,0.2921,140
al,br,477,27039.0,0.0,16041134,Brara.C00646,0.0642,0.5296,160
al,br,477,27039.0,2e-140,16035212,Brara.C00459,0.216,0.4999,234
al,br,462,27490.0,0.0,16048758,Brara.B00794,0.0542,0.3358,235
al,br,462,27490.0,1e-139,16049572,Brara.B00590,0.0391,0.264,140
al,br,462,27490.0,0.0,16037107,Brara.B00361,0.0715,0.4009,287
al,br,462,27490.0,0.0,16041904,Brara.B00091,0.0766,0.5052,185
al,br,441,1443.0,0.0,16043333,Brara.I00260,0.0609,0.3792,64
al,br,438,25946.0,0.0,16056617,Brara.I03794,0.0633,0.5679,186
al,br,438,25946.0,0.0,16050947,Brara.I03523,0.0709,0.972,293
al,br,424,11528.0,8e-129,16045194,Brara.F03242,0.2871,0.7062,20
al,br,424,11528.0,0.0,16043333,Brara.F03258,0.0305,0.4392,64
al,br,424,11528.0,0.0,16048820,Brara.F03452,0.1206,0.8234,236
al,br,409,15189.0,0.0,16056617,Brara.D00396,0.0729,0.6149,186
al,br,393,8921.0,0.0,16042576,Brara.B03333,0.0529,0.5129,237
al,br,393,8921.0,2e-124,16045194,Brara.B03259,0.3882,0.6302,20
al,br,393,8921.0,0.0,16043333,Brara.B03243,0.0546,0.3494,64
al,br,393,8921.0,0.0,16048820,Brara.B03072,0.128,1.0481,236
al,br,359,1565.0,0.0,16039002,Brara.G01359,0.0578,0.4449,8
al,br,354,812.0,0.0,16049425,Brara.G01409,0.065,0.4518,120
al,br,351,245.0,1e-148,16063991,Brara.F00480,0.1554,0.9018,92
al,br,348,4178.0,0.0,16043209,Brara.E01264,0.1183,0.3694,294
al,br,342,9533.0,0.0,16052391,Brara.E00261,0.0321,0.3452,303
al,br,330,1593.0,0.0,16047955,Brara.D01593,0.054,0.4258,238
al,br,330,1593.0,0.0,16066218,Brara.D01534,0.0801,0.3828,288
al,br,329,4823.0,0.0,16035963,Brara.D01416,0.1256,0.6264,226
al,br,328,27059.0,0.0,16062968,Brara.D02402,0.0789,0.46,93
al,br,328,27059.0,0.0,16045348,Brara.D02042,0.1147,0.6697,227
al,br,328,27059.0,0.0,16049425,Brara.D01733,0.0561,0.5018,120
al,br,325,348.0,0.0,16049425,Brara.C02394,0.1268,0.46,120
al,br,325,348.0,0.0,16063991,Brara.C02402,0.1397,0.5739,92
al,br,322,21403.0,0.0,16062968,Brara.C02024,0.0474,0.5152,93
al,br,310,2800.0,0.0,16050029,Brara.J01880,0.2601,0.9287,119
al,br,302,892.0,0.0,16060915,Brara.I04707,0.0502,0.3439,163
al,br,297,529.0,0.0,16060915,Brara.I01153,0.0478,0.3569,163
