SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,7,2088.0,0.0,16033945,16050059,0.1385,0.7648,32
al,al,8,2011.0,0.0,16038260,16050883,0.1223,0.6898,13
al,al,34,3831.0,0.0,16035359,16063706,0.2427,0.7796,116
al,al,60,2389.0,0.0,16052805,16065169,0.1048,0.8345,273
al,al,149,811.0,0.0,16039368,16046486,0.0787,0.8038,79
al,al,176,1562.0,0.0,16033749,16053991,0.1277,0.8611,5
al,al,188,721.0,0.0,16034638,16062494,0.0827,0.8728,14
al,al,202,320.0,0.0,16036973,16049757,0.1543,0.6843,63
al,at,223,5179.0,1e-42,16043054,AT5G66330,0.131,0.3222,64
al,at,222,14739.0,0.0,16035385,AT5G45800,0.0272,0.1945,186
al,at,218,49010.0,0.0,16042983,AT5G61240,0.0041,0.107,119
al,at,218,49010.0,0.0,16052815,AT5G51350,0.0227,0.1219,74
al,at,193,64683.0,0.0,16037643,AT4G20940,0.0119,0.1233,103
al,at,193,64683.0,0.0,16051816,AT4G28560,0.0459,0.208,187
al,at,193,64683.0,0.0,16042144,AT4G36180,0.0132,0.1555,94
al,at,188,5074.0,0.0,16039031,AT4G39270,0.0344,0.1506,2
al,at,162,65180.0,0.0,16057759,AT5G13290,0.0121,0.1602,120
al,at,162,65180.0,0.0,16061564,AT5G10020,0.0147,0.1195,135
al,at,162,65180.0,0.0,16059355,AT5G06940,0.0296,0.1373,188
al,at,162,65180.0,0.0,16048120,AT5G06860,0.0399,0.2336,117
al,at,133,60155.0,0.0,16048781,AT3G59510,0.014,0.127,274
al,at,133,60155.0,0.0,16041164,AT3G28760,0.0328,0.1948,21
al,at,133,60155.0,0.0,16051973,AT3G25670,0.039,0.1187,184
al,at,108,16780.0,0.0,16040764,AT2G27060,0.0292,0.1377,136
al,at,108,16780.0,0.0,16064460,AT2G25790,0.0424,0.1685,137
al,at,108,16780.0,0.0,16038852,AT2G24230,0.0256,0.153,189
al,at,107,54203.0,0.0,16056346,AT2G42800,0.0204,0.1716,95
al,at,107,54203.0,0.0,16055795,AT2G41820,0.0109,0.1223,121
al,at,107,54203.0,0.0,16061081,AT2G35620,0.0184,0.0973,96
al,at,107,54203.0,0.0,16040666,AT2G31880,0.0214,0.0866,138
al,at,105,466.0,0.0,16061081,AT1G31420,0.1037,0.5643,96
al,at,79,62910.0,3e-144,16061223,AT3G12145,0.1466,0.3474,78
al,at,79,62910.0,0.0,16056688,AT3G02130,0.0152,0.1783,8
al,at,75,586.0,0.0,16044161,AT2G16250,0.0245,0.1621,2
al,at,73,3405.0,0.0,16052342,AT2G15320,0.0191,0.1637,27
al,at,49,3783.0,0.0,16046727,AT1G80080,0.0334,0.1417,65
al,at,48,11363.0,0.0,16050883,AT1G62950,0.0273,0.1253,13
al,at,42,36370.0,0.0,16058471,AT1G78530,0.0124,0.17,190
al,at,42,36370.0,0.0,16064290,AT1G75640,0.029,0.2294,134
al,at,42,36370.0,0.0,16049328,AT1G72300,0.031,0.1431,115
al,at,42,36370.0,0.0,16044905,AT1G69270,0.0148,0.2125,75
al,at,42,36370.0,0.0,16035597,AT1G68780,0.0311,0.1435,185
al,at,42,36370.0,0.0,16064589,AT1G65380,0.0219,0.218,275
al,at,6,2284.0,0.0,16038260,AT1G62950,0.1255,0.6938,13
al,at,3,5475.0,0.0,16062440,AT1G34420,0.0573,0.1622,191
al,at,0,57645.0,0.0,16036674,AT1G17240,0.054,0.1593,133
al,at,0,57645.0,0.0,16048094,AT1G13910,0.0332,0.1531,139
al,at,0,57645.0,0.0,16036341,AT1G13230,0.0286,0.2021,183
al,ar,291,249.0,0.0,16049757,scaffold00092.78,0.0,0.0,63
al,ar,83,232.0,6e-160,16059683,scaffold00022.311,0.0,0.0,28
al,ar,30,558.0,0.0,16038260,scaffold00069.219,0.4173,2.8704,13
al,br,718,17351.0,0.0,16050527,Brara.J00880,0.0859,0.5614,122
al,br,708,8480.0,0.0,16042983,Brara.I00652,0.0234,0.413,119
al,br,691,4673.0,0.0,16035385,Brara.F03658,0.07,0.4994,186
al,br,676,2384.0,0.0,16042983,Brara.C04239,0.0206,0.3423,119
al,br,671,3760.0,0.0,16050410,Brara.B02886,0.1123,0.3947,141
al,br,662,938.0,0.0,16050527,Brara.B01401,0.0844,0.7189,122
al,br,597,1012.0,0.0,16037643,Brara.H01084,0.0444,0.3945,103
al,br,582,1277.0,0.0,16039031,Brara.F03870,0.0958,0.4922,2
al,br,545,21871.0,0.0,16037643,Brara.A01138,0.0419,0.3715,103
al,br,541,21725.0,0.0,16051816,Brara.A00864,0.1263,0.8844,187
al,br,541,21725.0,0.0,16042144,Brara.A00234,0.0581,0.7464,94
al,br,537,10196.0,0.0,16059355,Brara.J02537,0.1198,0.7424,188
al,br,537,10196.0,1e-170,16048120,Brara.J02539,0.1695,0.5609,117
al,br,536,28286.0,0.0,16057759,Brara.J02102,0.0641,0.4225,120
al,br,536,28286.0,0.0,16047095,Brara.J02132,0.1056,0.4839,123
al,br,536,28286.0,0.0,16061564,Brara.J02343,0.0747,0.5085,135
al,br,521,4095.0,0.0,16045358,Brara.I00620,0.0949,0.3808,142
al,br,503,8976.0,0.0,16045358,Brara.F02582,0.0828,0.3727,142
al,br,477,27039.0,0.0,16057759,Brara.C00556,0.0661,0.432,120
al,br,477,27039.0,0.0,16061564,Brara.C00403,0.0997,0.6346,135
al,br,477,27039.0,1e-166,16048120,Brara.C00269,0.191,0.5308,117
al,br,462,27490.0,0.0,16057759,Brara.B00484,0.0893,0.6337,120
al,br,462,27490.0,0.0,16047095,Brara.B00464,0.1467,0.6886,123
al,br,462,27490.0,1e-111,16048120,Brara.B00225,0.3825,2.066,117
al,br,462,27490.0,0.0,16053670,Brara.B00006,0.0809,0.5105,118
al,br,444,762.0,0.0,16041357,Brara.I04983,0.2876,1.2763,84
al,br,441,1443.0,0.0,16043651,Brara.I00307,0.0853,0.4639,143
al,br,438,25946.0,0.0,16046709,Brara.I03878,0.0648,0.6826,20
al,br,424,11528.0,0.0,16041164,Brara.F03130,0.0977,0.4232,21
al,br,424,11528.0,0.0,16043651,Brara.F03165,0.0695,0.4468,143
al,br,424,11528.0,0.0,16051973,Brara.F03331,0.0979,0.3524,184
al,br,424,11528.0,0.0,16041357,Brara.F03427,0.1032,0.96,84
al,br,393,8921.0,0.0,16041357,Brara.B03093,0.1079,0.8651,84
al,br,353,1127.0,0.0,16040764,Brara.G01297,0.1139,0.5756,136
al,br,346,14181.0,0.0,16061081,Brara.E00881,0.0812,0.3557,96
al,br,342,9533.0,0.0,16056346,Brara.E00311,0.0865,0.6865,95
al,br,342,9533.0,0.0,16055795,Brara.E00245,0.0465,0.38,121
al,br,329,4823.0,0.0,16038852,Brara.D01448,0.0593,0.4827,189
al,br,328,27059.0,0.0,16055795,Brara.D02542,0.0539,0.4363,121
al,br,328,27059.0,0.0,16061081,Brara.D02151,0.0758,0.391,96
al,br,328,27059.0,0.0,16040666,Brara.D01934,0.1144,0.5391,138
al,br,322,21403.0,0.0,16061081,Brara.C01782,0.0847,0.3241,96
al,br,322,21403.0,0.0,16040666,Brara.C01630,0.0981,0.5071,138
al,br,311,2418.0,1e-109,16041463,Brara.J02543,0.3731,1.6356,78
al,br,296,599.0,0.0,16052342,Brara.I00974,0.0816,0.5273,27
al,br,281,223.0,0.0,16044161,Brara.G00335,0.11,0.7029,2
al,br,245,34121.0,3e-125,16061223,Brara.E02867,0.2282,0.4921,78
al,br,225,9452.0,2e-19,16039804,Brara.C03039,0.1303,0.2505,277
al,br,225,9452.0,0.0,16056688,Brara.C02971,0.0688,0.8005,8
al,br,211,22402.0,0.0,16037132,Brara.A03327,0.0672,0.4144,276
al,br,211,22402.0,5e-147,16061223,Brara.A03363,0.1384,0.4992,78
al,br,204,433.0,0.0,16056688,Brara.A03920,0.0523,0.456,8
al,br,171,3722.0,0.0,16035359,Brara.G03291,0.0885,0.4198,116
al,br,166,12574.0,0.0,16049328,Brara.G03116,0.0891,0.5022,115
al,br,166,12574.0,0.0,16035597,Brara.G02821,0.0723,0.3631,185
al,br,165,12726.0,0.0,16058471,Brara.G03592,0.0385,0.2929,190
al,br,165,12726.0,0.0,16064290,Brara.G03365,0.0828,0.6552,134
al,br,159,789.0,0.0,16050883,Brara.F00853,0.1527,0.9489,13
al,br,143,9464.0,0.0,16049328,Brara.B02020,0.1147,0.6092,115
al,br,143,9464.0,0.0,16044905,Brara.B01847,0.101,0.9828,75
al,br,123,618.0,0.0,16037792,Brara.I02585,0.0838,0.8094,59
al,br,97,32202.0,0.0,16036674,Brara.H02478,0.1696,0.5421,133
al,br,90,533.0,0.0,16062440,Brara.H00567,0.1343,0.419,191
al,br,84,424.0,0.0,16063706,Brara.G03291,0.2636,0.8942,116
al,br,60,2708.0,0.0,16036341,Brara.F00804,0.0763,0.3521,183
al,br,60,2708.0,0.0,16038260,Brara.F00853,0.0857,0.5671,13
al,br,52,17331.0,0.0,16036674,Brara.F01214,0.1337,0.4129,133
al,br,47,454.0,0.0,16037792,Brara.E01879,0.184,0.676,59
al,cp,639,489.0,8e-113,16042983,evm.TU.supercontig_94.5,0.1439,1.7499,119
al,cp,630,1204.0,4e-129,16055243,evm.TU.supercontig_8.32,0.2012,1.4665,33
al,cp,625,1422.0,3e-25,16043054,evm.TU.supercontig_6.200,0.3329,1.7585,64
al,cp,606,492.0,0.0,16046486,evm.TU.supercontig_3.262,0.1254,1.7056,79
al,cp,558,231.0,0.0,16039031,evm.TU.supercontig_62.151,0.3482,2.8115,2
al,cp,482,335.0,0.0,16053670,evm.TU.supercontig_86.53,0.0,0.0,118
al,cp,480,228.0,3e-158,16047095,evm.TU.supercontig_84.87,0.0,0.0,123
al,cp,354,962.0,0.0,16038591,evm.TU.supercontig_2.108,0.0,0.0,68
al,cp,352,1921.0,0.0,16046709,evm.TU.supercontig_19.57,0.1775,1.5363,20
al,cp,347,639.0,1e-180,16041164,evm.TU.supercontig_14.20,0.2804,1.6154,21
al,cp,347,639.0,3e-153,16048474,evm.TU.supercontig_14.65,0.2254,1.6502,7
al,cp,235,240.0,0.0,16044161,evm.TU.supercontig_62.151,0.2806,1.1951,2
al,cp,203,202.0,1e-169,16064224,evm.TU.supercontig_21.89,0.0,0.0,59
al,cp,186,793.0,0.0,16056688,evm.TU.supercontig_14.180,0.1609,1.8928,8
al,cp,170,345.0,2e-177,16052342,evm.TU.supercontig_106.77,0.2477,1.5334,27
al,cp,150,682.0,0.0,16050059,evm.TU.supercontig_5.307,0.2416,2.6595,32
al,cp,136,748.0,0.0,16050883,evm.TU.supercontig_29.55,0.2425,2.1199,13
al,cp,121,562.0,4e-103,16038262,evm.TU.supercontig_170.31,0.4072,1.7327,50
al,cp,69,597.0,0.0,16033945,evm.TU.supercontig_5.307,0.2075,2.2393,32
al,cp,48,993.0,0.0,16038260,evm.TU.supercontig_29.55,0.2268,1.6722,13
al,cp,38,219.0,0.0,16037792,evm.TU.supercontig_21.89,0.2336,2.9295,59
al,cp,34,559.0,0.0,16065605,evm.TU.supercontig_2.253,0.2477,1.371,15
al,fv,587,1009.0,3e-57,16045195,mrna17481,0.5888,3.047,33
al,fv,579,1313.0,7e-23,16043054,mrna14894,0.4153,1.5753,64
al,fv,378,480.0,0.0,16041164,mrna01251,0.2341,2.2484,21
al,fv,378,480.0,0.0,16048474,mrna01316,0.252,1.7941,7
al,fv,348,449.0,0.0,16041357,mrna33830,0.3628,0.0,84
al,fv,268,334.0,0.0,16064460,mrna08998,0.3883,3.3156,137
al,fv,239,399.0,1e-160,16052342,mrna26269,0.2941,1.5113,27
al,fv,231,1363.0,0.0,16056688,mrna04272,0.2443,3.2134,8
al,fv,153,407.0,0.0,16046727,mrna15734,0.2972,0.0,65
al,fv,139,507.0,0.0,16036853,mrna26068,0.2635,1.967,23
al,fv,126,829.0,0.0,16050059,mrna00740,0.2668,2.8366,32
al,fv,109,938.0,0.0,16064290,mrna15228,0.3034,2.7498,134
al,fv,69,278.0,0.0,16051713,mrna30004,0.4674,2.9385,278
al,fv,43,935.0,0.0,16033945,mrna00740,0.2362,1.8571,32
al,gm,1731,1770.0,0.0,16053991,Glyma.18G073600,0.2507,0.0,5
al,gm,1712,1558.0,0.0,16034638,Glyma.17G156300,0.1565,3.5431,14
al,gm,1702,263.0,0.0,16036973,Glyma.15G155600,0.3269,2.3511,63
al,gm,1644,1611.0,0.0,16034638,Glyma.11G043800,0.145,0.0,14
al,gm,1635,299.0,0.0,16036973,Glyma.09G048300,0.3274,2.0277,63
al,gm,1611,1565.0,0.0,16053991,Glyma.08G333200,0.2571,0.0,5
al,gm,1575,1057.0,0.0,16034638,Glyma.05G110400,0.1551,5.4486,14
al,gm,1548,833.0,7e-22,16043054,Glyma.02G051300,0.3337,0.0,64
al,gm,1535,1650.0,0.0,16034638,Glyma.01G197800,0.1447,0.0,14
al,gm,1518,429.0,0.0,16033749,Glyma.18G073600,0.2545,0.0,5
al,gm,1470,336.0,0.0,16049757,Glyma.15G155600,0.2902,2.4102,63
al,gm,1437,695.0,0.0,16059684,Glyma.12G206800,0.357,2.2337,24
al,gm,1391,411.0,0.0,16049757,Glyma.09G048300,0.2878,2.0183,63
al,gm,1376,907.0,0.0,16033749,Glyma.08G333200,0.2599,0.0,5
al,gm,1259,861.0,0.0,16053670,Glyma.18G213600,0.3052,0.0,118
al,gm,1047,430.0,0.0,16063973,Glyma.20G120700,0.2395,2.9753,50
