SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,79,62910.0,0.0,16038506,AT3G06880,0.0593,0.168,6
al,br,225,9452.0,0.0,16038506,Brara.C03182,0.152,0.439,6
at,br,357,8025.0,0.0,AT3G06880,Brara.C03182,0.084,0.3583,6
ar,cp,313,882.0,0.0,scaffold00109.97,evm.TU.supercontig_23.56,0.4255,1.8606,2
ar,cp,182,484.0,1e-38,scaffold00045.337,evm.TU.supercontig_16.189,0.0,0.0,1
ar,fv,338,485.0,0.0,scaffold00109.97,mrna11846,0.445,2.4331,2
ar,fv,201,636.0,0.0,scaffold00045.337,mrna06823,0.5737,1.7799,1
ar,gm,566,443.0,0.0,scaffold00045.337,Glyma.15G149200,0.5705,1.8238,1
ar,gm,560,486.0,0.0,scaffold00045.337,Glyma.09G043900,0.5986,1.9264,1
ar,gr,526,698.0,0.0,scaffold00109.97,Gorai.009G026500,0.4242,2.358,2
ar,gr,329,400.0,0.0,scaffold00045.337,Gorai.006G261800,0.5487,2.2373,1
ar,mt,252,483.0,0.0,scaffold00045.337,Medtr2g436530,0.5331,1.755,1
ar,os,216,230.0,0.0,scaffold00045.337,LOC_Os05g30010,0.6191,0.0,1
ar,pt,673,1228.0,0.0,scaffold00109.97,Potri.018G083600,0.3621,2.0633,2
ar,pt,404,414.0,0.0,scaffold00045.337,Potri.008G220800,0.5708,1.8341,1
ar,rc,344,1469.0,3e-139,scaffold00109.97,29912.m005488,0.4605,2.0088,2
ar,rc,200,688.0,0.0,scaffold00045.337,29726.m004059,0.5232,1.7331,1
ar,sl,370,301.0,0.0,scaffold00109.97,Solyc07g020870.1,0.4374,1.7671,2
ar,sl,227,229.0,0.0,scaffold00045.337,Solyc01g066740.2,0.5985,2.2141,1
ar,ta,403,1466.0,0.0,scaffold00109.97,Thecc1EG037843,0.392,2.1208,2
ar,ta,239,606.0,0.0,scaffold00045.337,Thecc1EG021226,0.4952,1.7631,1
ar,vv,367,1512.0,0.0,scaffold00109.97,GSVIVT01015355001,0.3443,1.9172,2
cp,fv,244,743.0,0.0,evm.TU.supercontig_26.53,mrna08532,0.2103,1.1477,3
cp,fv,233,230.0,0.0,evm.TU.supercontig_23.56,mrna11846,0.2529,1.1552,2
cp,fv,132,2391.0,3e-77,evm.TU.supercontig_16.189,mrna06823,0.3393,1.4671,1
cp,gm,435,549.0,1e-71,evm.TU.supercontig_16.189,Glyma.15G149200,0.3472,1.9467,1
cp,gm,432,825.0,3e-77,evm.TU.supercontig_16.189,Glyma.09G043900,0.3301,1.8775,1
cp,gr,445,1234.0,0.0,evm.TU.supercontig_23.56,Gorai.009G026500,0.2205,1.0761,2
cp,gr,273,691.0,9e-69,evm.TU.supercontig_16.189,Gorai.006G261800,0.4323,2.178,1
cp,mt,189,790.0,6e-61,evm.TU.supercontig_16.189,Medtr2g436530,0.4402,1.6269,1
cp,pt,502,989.0,0.0,evm.TU.supercontig_26.53,Potri.005G240100,0.2037,0.9153,3
cp,pt,498,982.0,0.0,evm.TU.supercontig_26.53,Potri.002G021600,0.2102,0.8791,3
cp,pt,477,963.0,0.0,evm.TU.supercontig_23.56,Potri.018G083600,0.2108,1.0458,2
cp,pt,284,508.0,1e-81,evm.TU.supercontig_16.189,Potri.008G220800,0.3242,2.8189,1
cp,rc,263,905.0,0.0,evm.TU.supercontig_26.53,30170.m014192,0.1857,0.9059,3
cp,rc,246,1298.0,0.0,evm.TU.supercontig_23.56,29912.m005488,0.2466,1.1546,2
cp,rc,152,3429.0,4e-90,evm.TU.supercontig_16.189,29726.m004059,0.3187,1.7343,1
cp,sl,284,248.0,0.0,evm.TU.supercontig_23.56,Solyc07g020870.1,0.297,1.7547,2
cp,sl,177,1026.0,5e-72,evm.TU.supercontig_16.189,Solyc01g066740.2,0.4288,1.5641,1
cp,st,256,211.0,0.0,evm.TU.supercontig_23.56,PGSC0003DMC400009060,0.3172,2.0987,2
cp,st,157,948.0,4e-152,evm.TU.supercontig_16.191,PGSC0003DMC400020071,0.2469,1.4085,1
cp,st,157,948.0,1e-72,evm.TU.supercontig_16.189,PGSC0003DMC400020069,0.4081,1.6997,1
cp,ta,256,2047.0,0.0,evm.TU.supercontig_23.56,Thecc1EG037843,0.1956,0.9308,2
