SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,83,5078.0,0.0,16034329,16046628,0.0689,0.6078,15
al,al,167,1063.0,0.0,16051662,16062865,0.0385,0.8189,6
al,al,201,338.0,0.0,16041525,16056702,0.193,1.8862,31
al,at,159,8895.0,0.0,16050466,AT4G00900,0.011,0.1807,32
al,at,0,57645.0,0.0,16043152,AT1G10130,0.004,0.0708,23
al,at,0,57645.0,0.0,16043120,AT1G07810,0.0139,0.2189,33
al,at,0,57645.0,0.0,16052078,AT1G07670,0.0071,0.1576,49
al,br,524,665.0,0.0,16050466,Brara.I00085,0.0442,0.56,32
al,br,247,3111.0,0.0,16060780,Brara.E01969,0.0632,0.5919,1
al,br,211,22402.0,0.0,16060780,Brara.A02693,0.048,0.5557,1
al,br,118,9969.0,0.0,16043152,Brara.I05236,0.0224,0.2602,23
al,br,118,9969.0,0.0,16043120,Brara.I05339,0.0429,0.7714,33
al,br,53,8199.0,0.0,16043152,Brara.F00666,0.0195,0.2701,23
al,gm,904,520.0,0.0,16045888,Glyma.03G157700,0.1875,2.8128,16
al,lj,110,229.0,0.0,16045888,chr1.CM0322.10.nc,0.1998,-1.0,16
al,rc,236,1836.0,0.0,16060780,29844.m003207,0.2101,2.3087,1
al,sl,239,1692.0,9e-133,16060780,Solyc09g082890.1,0.3405,2.3794,1
al,st,52,219.0,0.0,16059060,PGSC0003DMC400037277,0.1635,1.8871,6
al,st,250,266.0,0.0,16060780,PGSC0003DMC400065611,0.2618,3.0246,1
al,st,278,916.0,0.0,16062865,PGSC0003DMC400037126,0.1268,2.6389,6
al,st,279,512.0,0.0,16062865,PGSC0003DMC400023079,0.1254,2.3576,6
al,st,290,395.0,0.0,16062865,PGSC0003DMC400037277,0.158,2.2268,6
al,st,416,354.0,0.0,16046628,PGSC0003DMC400014319,0.2169,1.9253,15
al,st,420,309.0,0.0,16046628,PGSC0003DMC400014319,0.2169,1.9253,15
al,st,514,2114.0,0.0,16051662,PGSC0003DMC400037126,0.1236,2.5659,6
al,st,517,608.0,0.0,16051662,PGSC0003DMC400023079,0.1164,2.2569,6
al,vv,72,309.0,0.0,16059060,GSVIVT01009350001,0.1235,1.3071,6
al,vv,277,2578.0,0.0,16060780,GSVIVT01018059001,0.2325,-1.0,1
al,vv,322,291.0,0.0,16060545,GSVIVT01016158001,0.1901,1.0551,36
al,vv,356,755.0,0.0,16062865,GSVIVT01009350001,0.1414,2.0002,6
al,vv,417,779.0,0.0,16034329,GSVIVT01033238001,0.1909,1.4292,15
al,vv,508,1001.0,0.0,16046628,GSVIVT01033238001,0.1921,1.6323,15
al,vv,650,453.0,0.0,16056702,GSVIVT01029283001,0.1746,1.4859,31
al,vv,682,1000.0,0.0,16051662,GSVIVT01009350001,0.1433,2.0502,6
al,vv,754,789.0,0.0,16041525,GSVIVT01029283001,0.1773,1.5063,31
at,at,275,902.0,0.0,AT4G29900,AT5G57110,0.1841,1.9366,50
at,at,165,1093.0,0.0,AT2G22950,AT4G37640,0.0408,0.8566,7
at,at,131,11047.0,0.0,AT2G41560,AT3G57330,0.068,0.5762,51
at,br,603,1316.0,1e-144,AT5G53010,Brara.A01596,0.3872,1.0998,25
at,br,551,502.0,0.0,AT4G00900,Brara.I00085,0.0355,0.5669,32
at,br,389,38891.0,0.0,AT3G22910,Brara.E01969,0.0661,0.5656,1
at,br,340,22367.0,0.0,AT3G22910,Brara.A02693,0.0535,0.5022,1
