SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,6,3824.0,0.0,16042336,16055696,0.0737,0.6881,50
al,al,12,1470.0,0.0,16043331,16055648,0.0888,0.68,5
al,al,12,1470.0,0.0,16051830,16063037,0.0708,0.741,94
al,al,51,224.0,0.0,16060279,16062092,0.2175,-1.0,9
al,al,72,1751.0,0.0,16035482,16038647,0.0801,0.7882,11
al,al,72,1751.0,0.0,16045794,16058834,0.1132,0.938,10
al,al,105,1584.0,0.0,16040899,16043230,0.1038,0.8565,40
al,al,130,2350.0,0.0,16049721,16055074,0.0688,0.7082,95
al,al,144,1992.0,0.0,16044746,16064028,0.1901,0.8422,67
al,al,173,1583.0,0.0,16043046,16056251,0.0645,0.6453,96
al,al,174,453.0,0.0,16033774,16038647,0.0942,1.8429,11
al,at,157,3051.0,0.0,16044746,AT4G04700,0.091,0.1774,67
al,at,108,16780.0,0.0,16041787,AT2G25880,0.0152,0.1921,66
al,at,79,62910.0,0.0,16040022,AT3G04530,0.0143,0.1955,6
al,at,42,36370.0,0.0,16056991,AT1G76050,0.0334,0.1691,53
al,at,0,57645.0,0.0,16063746,AT1G12680,0.0123,0.0804,54
al,at,0,57645.0,0.0,16063637,AT1G12580,0.0211,0.1539,55
al,at,0,57645.0,0.0,16063018,AT1G08650,0.0124,0.1515,56
al,br,708,8480.0,0.0,16066102,Brara.I00917,0.0342,0.4884,41
al,br,699,3046.0,0.0,16066102,Brara.G01274,0.041,0.4916,41
al,br,641,2152.0,0.0,16058834,Brara.K01328,0.0522,0.3996,10
al,br,522,3837.0,0.0,16042640,Brara.I02207,0.1344,0.4984,26
al,br,521,4095.0,0.0,16040738,Brara.I00574,0.0347,0.5405,51
al,br,521,4095.0,0.0,16038314,Brara.I00608,0.0622,0.463,31
al,br,503,8976.0,0.0,16040738,Brara.F02663,0.0514,0.5194,51
al,br,503,8976.0,0.0,16038314,Brara.F02597,0.0394,0.4228,31
al,br,471,2186.0,0.0,16038314,Brara.B03710,0.0813,0.3374,31
al,br,426,1032.0,0.0,16041963,Brara.F02066,0.0521,0.437,52
al,br,425,5912.0,0.0,16041963,Brara.F01607,0.0614,0.4507,52
al,br,348,4178.0,0.0,16039546,Brara.E01210,0.0402,0.4163,32
al,br,328,27059.0,0.0,16057787,Brara.D02508,0.1015,0.5368,13
al,br,328,27059.0,0.0,16053152,Brara.D02174,0.078,0.4044,27
al,br,328,27059.0,0.0,16039546,Brara.D01902,0.0483,0.4265,32
al,br,322,21403.0,0.0,16039546,Brara.C01607,0.0444,0.4255,32
al,br,316,748.0,0.0,16045794,Brara.K01328,0.1338,1.0289,10
al,br,245,34121.0,0.0,16040022,Brara.E03439,0.0718,0.7426,6
al,br,165,12726.0,0.0,16056991,Brara.G03398,0.1094,0.5468,53
al,br,120,2399.0,0.0,16063746,Brara.I05099,0.0393,0.3568,54
al,br,120,2399.0,0.0,16063637,Brara.I05106,0.0576,0.59,55
al,br,98,5703.0,0.0,16042430,Brara.H00108,0.1111,0.4887,42
al,br,97,32202.0,0.0,16063637,Brara.H02649,0.0683,0.6657,55
al,br,97,32202.0,0.0,16063746,Brara.H02644,0.0614,0.4603,54
al,br,97,32202.0,0.0,16063018,Brara.H02863,0.0519,0.9034,56
al,br,59,7874.0,0.0,16042430,Brara.F00078,0.1003,0.4842,42
al,br,53,8199.0,0.0,16063018,Brara.F00543,0.0445,0.8742,56
al,br,42,1834.0,0.0,16042430,Brara.E01522,0.1006,0.4594,42
al,br,38,250.0,0.0,16063137,Brara.E01819,0.0105,0.6397,97
al,cp,386,313.0,0.0,16055404,evm.TU.supercontig_92.82,0.1304,1.8462,13
al,cp,322,312.0,0.0,16057787,evm.TU.supercontig_92.82,0.1296,1.4817,13
al,cp,268,319.0,1e-129,16057936,evm.TU.supercontig_144.4,0.1389,1.9799,1
al,cp,236,952.0,0.0,16055648,evm.TU.supercontig_62.39,0.153,1.8071,5
al,cp,77,820.0,0.0,16043331,evm.TU.supercontig_62.39,0.1519,1.4164,5
al,fv,323,952.0,0.0,16057936,mrna18654,0.1678,2.1411,1
al,fv,233,978.0,4e-117,16040022,mrna16634,0.307,3.1231,6
al,fv,184,206.0,0.0,16055648,mrna31882,0.1869,2.0624,5
al,gm,1487,1820.0,0.0,16058834,Glyma.16G128600,0.1717,1.7488,10
al,gm,1419,3776.0,0.0,16058834,Glyma.11G077300,0.1662,2.4,10
al,gm,1310,1919.0,0.0,16058834,Glyma.02G048300,0.1873,1.9322,10
al,gm,1295,3682.0,0.0,16058834,Glyma.01G166100,0.1678,2.3057,10
al,gm,604,1174.0,0.0,16045794,Glyma.16G128600,0.1454,1.773,10
al,gm,548,1774.0,0.0,16045794,Glyma.11G077300,0.1876,2.0254,10
al,gm,435,1159.0,0.0,16045794,Glyma.02G048300,0.1583,1.8905,10
al,gm,427,1711.0,0.0,16045794,Glyma.01G166100,0.1617,1.9236,10
al,gr,356,519.0,4e-123,16040022,Gorai.007G276600,0.3025,-1.0,6
al,lj,74,342.0,0.0,16045794,chr4.CM0119.200.nc,0.1413,1.6974,10
al,lj,88,572.0,0.0,16057936,chr1.CM0105.380.nd,0.139,-1.0,1
al,lj,140,270.0,0.0,16048068,chr2.CM0308.290.nc,0.1278,-1.0,3
al,lj,187,308.0,0.0,16058834,chr4.CM0119.200.nc,0.1765,2.0497,10
al,pt,391,1581.0,3e-133,16040022,Potri.019G018100,0.0,0.0,6
al,pt,362,2689.0,2e-128,16040022,Potri.013G046100,0.0,0.0,6
al,rc,105,522.0,0.0,16042336,30147.m014057,0.1219,2.2387,50
al,rc,160,1498.0,0.0,16060279,29842.m003597,0.2507,-1.0,9
al,rc,184,798.0,0.0,16055696,30147.m014057,0.1176,2.4793,50
al,rc,214,1052.0,2e-61,16040022,29680.m001684,0.2821,3.3442,6
al,rc,298,272.0,0.0,16057936,27964.m000350,0.1165,1.8127,1
al,rc,329,271.0,0.0,16043230,29761.m000421,0.143,-1.0,40
al,rc,406,276.0,0.0,16040899,29761.m000421,0.1228,1.6204,40
al,rc,479,303.0,0.0,16042698,29728.m000812,0.1174,1.3055,14
al,st,333,1289.0,1e-158,16053152,PGSC0003DMC400049071,0.3622,-1.0,27
al,st,339,235.0,0.0,16057787,PGSC0003DMC400014703,0.1523,2.9861,13
al,st,366,277.0,0.0,16044109,PGSC0003DMC400017808,0.135,2.4361,24
al,st,416,354.0,0.0,16055404,PGSC0003DMC400014703,0.1526,2.3325,13
al,ta,214,1871.0,7e-127,16040022,Thecc1EG026198,0.2814,0.0,6
al,vv,56,671.0,0.0,16042336,GSVIVT01008077001,0.1018,1.9517,50
al,vv,97,792.0,0.0,16043331,GSVIVT01031789001,0.185,3.2103,5
al,vv,147,374.0,0.0,16060279,GSVIVT01012730001,0.196,-1.0,9
al,vv,169,1039.0,0.0,16055696,GSVIVT01008077001,0.0957,1.9543,50
al,vv,239,1212.0,2e-83,16040022,GSVIVT01023539001,0.2921,2.3987,6
al,vv,262,1156.0,0.0,16035482,GSVIVT01023866001,0.0971,1.6031,11
al,vv,266,1044.0,0.0,16055648,GSVIVT01031789001,0.1779,1.8992,5
al,vv,352,2902.0,0.0,16057936,GSVIVT01027409001,0.1452,2.284,1
al,vv,381,361.0,0.0,16039546,GSVIVT01010743001,0.2616,3.1601,32
al,vv,411,458.0,0.0,16057787,GSVIVT01025745001,0.1278,1.7795,13
al,vv,417,779.0,0.0,16043230,GSVIVT01033306001,0.1303,2.6762,40
al,vv,508,1001.0,0.0,16040899,GSVIVT01033306001,0.0931,1.9557,40
al,vv,509,580.0,0.0,16049138,GSVIVT01011167001,0.0618,1.4838,68
al,vv,603,275.0,0.0,16056442,GSVIVT01037295001,0.1186,2.2931,3
al,vv,614,230.0,0.0,16055476,GSVIVT01025249001,0.1347,1.9395,99
al,vv,697,1713.0,0.0,16059168,GSVIVT01019446001,0.1117,2.5488,33
al,vv,712,2199.0,0.0,16033774,GSVIVT01023866001,0.1762,1.8594,11
al,vv,715,422.0,0.0,16038647,GSVIVT01023866001,0.1235,2.0889,11
at,at,306,252.0,0.0,AT5G12480,AT5G19360,0.4046,2.1108,100
at,at,270,730.0,0.0,AT4G35310,AT4G38230,0.1061,1.7378,69
at,at,269,1340.0,0.0,AT4G04695,AT4G21940,0.2155,0.9004,26
at,at,233,4198.0,0.0,AT3G10660,AT5G04870,0.0806,0.7454,101
at,at,160,261.0,0.0,AT2G17290,AT4G38230,0.1002,2.3912,69
at,at,151,3901.0,0.0,AT2G17890,AT4G36070,0.1216,1.0135,10
at,at,151,3901.0,0.0,AT2G17290,AT4G35310,0.0544,0.6749,69
at,at,142,399.0,0.0,AT2G41140,AT3G56760,0.0457,0.7683,13
at,at,131,11047.0,0.0,AT2G41860,AT3G57530,0.1052,0.8589,102
at,at,99,283.0,0.0,AT1G61950,AT4G04695,0.2856,0.0,26
at,at,82,402.0,0.0,AT1G35670,AT4G09570,0.0242,0.6938,70
at,at,77,530.0,0.0,AT1G61950,AT4G21940,0.2428,3.1302,26
at,at,45,4242.0,0.0,AT1G50700,AT3G20410,0.0752,0.7811,103
at,at,45,4242.0,0.0,AT1G49580,AT3G19100,0.0895,0.709,104
at,at,0,7500.0,0.0,AT1G18890,AT1G74740,0.0762,0.6213,105
at,br,743,2835.0,0.0,AT5G66210,Brara.I00917,0.0467,0.5269,41
at,br,742,5439.0,0.0,AT5G24430,Brara.I00574,0.0342,0.5124,51
at,br,742,5439.0,0.0,AT5G23580,Brara.I00608,0.0627,0.5252,31
at,br,722,2891.0,0.0,AT5G66210,Brara.G01274,0.0427,0.5366,41
at,br,701,7427.0,0.0,AT5G24430,Brara.F02663,0.0473,0.5378,51
at,br,701,7427.0,0.0,AT5G23580,Brara.F02597,0.0405,0.4357,31
at,br,640,2528.0,0.0,AT5G23580,Brara.B03710,0.0813,0.3819,31
at,br,595,1761.0,0.0,AT4G36070,Brara.K01328,0.0635,0.4806,10
at,br,558,2438.0,4e-178,AT4G04695,Brara.I02207,0.2557,0.7598,26
at,br,489,3290.0,0.0,AT4G09570,Brara.C02607,0.0182,0.7108,70
at,br,416,967.0,0.0,AT3G49370,Brara.F02066,0.0531,0.4611,52
at,br,413,6150.0,0.0,AT3G49370,Brara.F01607,0.0572,0.5013,52
