SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,71,5784.0,0.0,16044040,AT2G17370,0.0283,0.141,6
al,at,42,36370.0,0.0,16053844,AT1G76490,0.0218,0.1877,3
al,br,270,1943.0,0.0,16044040,Brara.G00273,0.0915,0.5427,6
al,br,165,12726.0,0.0,16053844,Brara.G03447,0.066,0.817,3
al,br,146,1102.0,0.0,16053844,Brara.B02270,0.0578,0.702,3
al,cp,134,236.0,0.0,16053844,evm.TU.supercontig_26.7,0.1194,2.0885,3
al,fv,138,698.0,0.0,16053844,mrna29194,0.2259,4.7475,3
al,ta,166,752.0,0.0,16053844,Thecc1EG034814,0.1712,2.9914,3
at,br,281,1922.0,0.0,AT2G17370,Brara.G00273,0.0966,0.5315,6
at,br,104,11071.0,0.0,AT1G76490,Brara.G03447,0.067,0.8748,3
at,br,19,1024.0,0.0,AT1G76490,Brara.B02270,0.0625,0.7225,3
at,cp,74,236.0,0.0,AT1G76490,evm.TU.supercontig_26.7,0.1203,1.9905,3
at,fv,92,778.0,0.0,AT1G76490,mrna29194,0.2199,0.0,3
at,ta,154,630.0,0.0,AT1G76490,Thecc1EG034814,0.1741,2.1547,3
ar,zm,111,702.0,0.0,scaffold00022.125,GRMZM2G001645,0.3025,2.09,4
ar,zm,108,523.0,0.0,scaffold00022.125,GRMZM2G058095,0.2874,2.344,4
br,br,242,1036.0,0.0,Brara.B02270,Brara.G03447,0.0529,0.4714,3
br,cp,632,317.0,0.0,Brara.G03447,evm.TU.supercontig_26.7,0.1364,1.4847,3
br,cp,159,363.0,0.0,Brara.B02270,evm.TU.supercontig_26.7,0.1547,1.4257,3
br,fv,691,698.0,0.0,Brara.G03447,mrna29194,0.2112,1.4497,3
br,fv,180,204.0,0.0,Brara.B02270,mrna29194,0.2317,1.6046,3
br,ta,863,785.0,0.0,Brara.G03447,Thecc1EG034814,0.1826,2.3358,3
br,ta,240,250.0,0.0,Brara.B02270,Thecc1EG034814,0.1862,2.1094,3
cp,fv,393,230.0,0.0,evm.TU.supercontig_6.339,mrna13004,0.2098,1.4018,1
cp,gm,1254,302.0,0.0,evm.TU.supercontig_6.339,Glyma.16G113000,0.2203,1.249,1
