SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
ar,fv,213,422.0,3e-110,scaffold00048.167,mrna13507,0.4521,1.8318,1
ar,gm,600,464.0,2e-106,scaffold00048.167,Glyma.09G213700,0.4151,1.4763,1
ar,gr,348,306.0,2e-160,scaffold00048.167,Gorai.008G220100,0.3366,2.0477,1
ar,pt,430,533.0,6e-136,scaffold00048.167,Potri.003G103100,0.3328,1.2658,1
ar,pt,426,495.0,6e-131,scaffold00048.167,Potri.001G130800,0.2867,1.459,1
ar,rc,219,317.0,1e-124,scaffold00048.167,29827.m002598,0.4735,1.3291,1
ar,sl,238,564.0,2e-115,scaffold00048.167,Solyc08g075760.2,0.3473,1.8111,1
ar,st,219,342.0,3e-114,scaffold00048.167,PGSC0003DMC400053746,0.3348,1.8305,1
ar,ta,254,384.0,2e-160,scaffold00048.167,Thecc1EG016677,0.353,1.7132,1
ar,vv,232,418.0,1e-170,scaffold00048.167,GSVIVT01022787001,0.2497,1.19,1
cp,gm,1537,335.0,3e-26,evm.TU.supercontig_90.35,Glyma.01G149500,0.2044,2.5545,2
fv,gm,845,1491.0,2e-82,mrna13507,Glyma.09G213700,0.3042,0.9178,1
fv,gr,617,1035.0,3e-133,mrna13507,Gorai.008G220100,0.2216,1.1952,1
fv,pt,532,1574.0,4e-129,mrna13507,Potri.003G103100,0.2041,0.8696,1
fv,pt,502,1653.0,1e-121,mrna13507,Potri.001G130800,0.2291,1.0095,1
fv,rc,300,308.0,1e-132,mrna13507,29827.m002598,0.2117,0.9049,1
fv,sl,364,889.0,1e-96,mrna13507,Solyc08g075760.2,0.3056,1.5372,1
fv,st,382,344.0,6e-89,mrna13507,PGSC0003DMC400053746,0.3416,1.5671,1
fv,ta,298,1690.0,1e-129,mrna13507,Thecc1EG016677,0.1931,1.0498,1
fv,vv,335,971.0,8e-134,mrna13507,GSVIVT01022787001,0.2133,0.7617,1
gm,gr,732,638.0,3e-163,Glyma.09G213700,Gorai.008G220100,0.2847,1.4851,1
gm,lj,30,1128.0,0.0,Glyma.01G149500,chr2.CM0803.150.nc,0.1193,0.3606,2
gm,mt,34,16992.0,0.0,Glyma.01G149500,Medtr5g026850,0.1063,0.3791,2
gm,pt,742,2108.0,8e-137,Glyma.09G213700,Potri.003G103100,0.36,1.1796,1
gm,pt,736,2379.0,1e-145,Glyma.09G213700,Potri.001G130800,0.2777,0.9904,1
gm,rc,720,391.0,5e-117,Glyma.09G213700,29827.m002598,0.337,1.0329,1
gm,sl,769,1370.0,7e-125,Glyma.09G213700,Solyc08g075760.2,0.3557,1.7287,1
gm,st,473,527.0,1e-118,Glyma.09G213700,PGSC0003DMC400053746,0.416,1.9012,1
gm,ta,642,1938.0,1e-155,Glyma.09G213700,Thecc1EG016677,0.2806,1.3277,1
gm,vv,713,2698.0,3e-165,Glyma.09G213700,GSVIVT01022787001,0.2619,0.9059,1
gr,pt,992,2865.0,0.0,Gorai.008G220100,Potri.003G103100,0.1896,1.1558,1
gr,pt,966,2756.0,0.0,Gorai.008G220100,Potri.001G130800,0.1674,1.219,1
gr,rc,888,250.0,1e-178,Gorai.008G220100,29827.m002598,0.2115,1.108,1
gr,sl,771,6901.0,7e-176,Gorai.008G220100,Solyc08g075760.2,0.2823,2.0494,1
gr,st,506,516.0,2e-167,Gorai.008G220100,PGSC0003DMC400053746,0.2788,1.9443,1
gr,ta,730,2320.0,0.0,Gorai.008G220100,Thecc1EG016677,0.0637,0.4912,1
lj,mt,179,1272.0,0.0,chr2.CM0803.150.nc,Medtr5g026850,0.125,0.4037,2
os,zm,397,9356.0,0.0,LOC_Os06g02520,GRMZM2G042323,0.1036,0.6001,3
os,zm,382,3130.0,0.0,LOC_Os06g02520,GRMZM2G098319,0.1341,0.7903,3
pt,pt,21,42231.0,0.0,Potri.001G130800,Potri.003G103100,0.0822,0.3562,1
pt,rc,236,312.0,0.0,Potri.003G103100,29827.m002598,0.1998,0.6712,1
pt,rc,62,319.0,0.0,Potri.001G130800,29827.m002598,0.205,0.7931,1
pt,sl,230,3465.0,9e-155,Potri.003G103100,Solyc08g075760.2,0.3607,1.8299,1
pt,sl,76,3829.0,5e-159,Potri.001G130800,Solyc08g075760.2,0.2783,1.6546,1
pt,st,209,219.0,2e-146,Potri.003G103100,PGSC0003DMC400053746,0.3746,2.1772,1
pt,st,72,343.0,2e-156,Potri.001G130800,PGSC0003DMC400053746,0.2761,1.9628,1
pt,ta,39,2176.0,0.0,Potri.001G130800,Thecc1EG016677,0.1418,1.0032,1
pt,ta,185,1951.0,0.0,Potri.003G103100,Thecc1EG016677,0.1672,1.0572,1
pt,vv,214,3520.0,0.0,Potri.003G103100,GSVIVT01022787001,0.2304,0.9608,1
pt,vv,72,620.0,0.0,Potri.001G130800,GSVIVT01022787001,0.1495,0.8296,1
rc,sl,278,438.0,2e-119,29827.m002598,Solyc08g075760.2,0.3085,1.711,1
rc,st,284,352.0,9e-98,29827.m002598,PGSC0003DMC400053746,0.3291,1.6383,1
rc,ta,292,353.0,9e-166,29827.m002598,Thecc1EG016677,0.1752,1.0051,1
rc,vv,305,391.0,3e-134,29827.m002598,GSVIVT01022787001,0.214,0.916,1
sl,st,372,2321.0,0.0,Solyc08g075760.2,PGSC0003DMC400053746,0.0298,0.0863,1
sl,ta,431,1949.0,2e-177,Solyc08g075760.2,Thecc1EG016677,0.2794,1.5351,1
sl,vv,440,562.0,0.0,Solyc08g075760.2,GSVIVT01022787001,0.2507,1.2618,1
st,ta,457,1014.0,1e-169,PGSC0003DMC400053746,Thecc1EG016677,0.2658,1.624,1
st,vv,515,329.0,2e-151,PGSC0003DMC400053746,GSVIVT01022787001,0.2425,1.254,1
ta,vv,234,1192.0,0.0,Thecc1EG016677,GSVIVT01022787001,0.1402,1.0746,1
zm,zm,417,1526.0,0.0,GRMZM2G042323,GRMZM2G098319,0.064,0.2518,3
