SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,218,49010.0,4e-140,16056662,AT5G52270,0.0518,0.2535,4
al,at,162,65180.0,1e-60,16045170,AT5G23750,0.0262,0.1668,6
al,at,133,60155.0,4e-75,16064260,AT3G61260,0.0368,0.1444,8
al,at,133,60155.0,3e-91,16057173,AT3G48940,0.0378,0.1493,9
al,at,107,54203.0,3e-83,16054921,AT2G45820,0.0091,0.1279,1
al,at,48,11363.0,5e-66,16060690,AT1G63295,0.0256,0.1627,2
al,ar,39,561.0,6e-18,16060690,scaffold00009.296,0.0,0.0,2
al,br,683,6318.0,1e-118,16056662,Brara.C01435,0.0668,0.3519,4
al,br,521,4095.0,2e-54,16045170,Brara.I00598,0.0798,0.4352,6
al,br,503,8976.0,3e-58,16045170,Brara.F02608,0.0489,0.3657,6
al,br,438,25946.0,5e-52,16064260,Brara.I04219,0.1061,0.4042,8
al,br,425,5912.0,2e-73,16057173,Brara.F01641,0.1049,0.4703,9
al,br,342,9533.0,1e-65,16054921,Brara.E00531,0.0475,0.3968,1
al,br,328,27059.0,3e-68,16054921,Brara.D02769,0.0588,0.3284,1
al,br,195,2219.0,2e-53,16060690,Brara.I01224,0.0938,0.2568,2
al,cp,274,1105.0,5e-42,16054921,evm.TU.supercontig_18.227,0.2442,1.682,1
al,gm,738,2540.0,4e-37,16054921,Glyma.07G073100,0.2929,2.0065,1
al,gm,698,1662.0,8e-34,16054921,Glyma.03G013400,0.3055,4.7924,1
al,gr,227,1449.0,6e-13,16060690,Gorai.008G245400,0.4694,3.0791,2
al,gr,474,4120.0,2e-34,16054921,Gorai.007G097700,0.2419,1.768,1
al,gr,482,694.0,2e-43,16054921,Gorai.008G118300,0.2283,1.5752,1
al,gr,996,1665.0,5e-68,16056662,Gorai.008G277800,0.3958,3.8685,4
al,lj,34,665.0,9e-12,16060690,chr2.CM0304.820.nc,0.5051,1.876,2
al,lj,47,372.0,1e-11,16060690,chr4.CM0558.480.nd,0.6046,2.5516,2
al,md,3,277.0,5e-57,16056662,MDP0000152574,0.4544,1.7817,4
al,mt,317,1557.0,9e-33,16054921,Medtr8g031370,0.3594,3.82,1
al,pt,951,1165.0,9e-68,16056662,Potri.012G140600,0.4285,2.2007,4
al,pt,471,4916.0,5e-42,16054921,Potri.014G081300,0.0,0.0,1
al,pt,401,4480.0,3e-41,16054921,Potri.002G157700,0.0,0.0,1
al,pt,182,2264.0,2e-13,16060690,Potri.003G124400,0.4526,2.8197,2
al,pt,165,1779.0,8e-10,16060690,Potri.001G107000,0.4505,2.9721,2
al,rc,195,3358.0,4e-09,16060690,30190.m011183,0.5429,1.672,2
al,rc,369,4121.0,1e-35,16054921,30174.m009002,0.268,5.6735,1
al,sl,324,710.0,9e-20,16054921,Solyc10g017540.2,0.4879,2.521,1
al,sl,288,331.0,7e-28,16054921,Solyc05g048820.2,0.3255,2.7645,1
al,sl,266,1383.0,2e-28,16054921,Solyc01g094370.2,0.3077,1.9146,1
al,st,172,737.0,2e-12,16060690,PGSC0003DMC400005502,0.4948,1.8781,2
al,st,271,1781.0,4e-22,16054921,PGSC0003DMC400000352,0.3086,1.7826,1
al,ta,594,5561.0,5e-71,16056662,Thecc1EG015158,0.4018,2.4845,4
al,ta,263,8163.0,2e-41,16054921,Thecc1EG005370,0.2328,1.9818,1
al,ta,134,2989.0,7e-17,16060690,Thecc1EG016219,0.4687,2.6725,2
al,vv,185,1227.0,8e-08,16060690,GSVIVT01019785001,0.5122,-1.0,2
al,vv,352,2902.0,9e-32,16054921,GSVIVT01026869001,0.2715,-1.0,1
al,vv,772,3721.0,6e-54,16056662,GSVIVT01028983001,0.3006,-1.0,4
at,br,742,5439.0,8e-58,AT5G23750,Brara.I00598,0.0938,0.5391,6
at,br,701,7427.0,7e-61,AT5G23750,Brara.F02608,0.0419,0.3596,6
at,br,665,11785.0,6e-103,AT5G52270,Brara.C01435,0.0829,0.4039,4
at,br,546,3771.0,3e-28,AT4G00670,Brara.I00039,0.1479,0.4145,13
at,br,498,811.0,8e-29,AT4G00670,Brara.C02899,0.1634,0.48,13
at,br,440,27087.0,1e-49,AT3G61260,Brara.I04219,0.1073,0.4391,8
at,br,413,6150.0,2e-77,AT3G48940,Brara.F01641,0.1136,0.454,9
at,br,250,9774.0,7e-81,AT2G45820,Brara.E00531,0.0401,0.4439,1
at,br,240,37626.0,1e-81,AT2G45820,Brara.D02769,0.0538,0.3201,1
at,br,165,2488.0,2e-47,AT1G63295,Brara.I01224,0.1081,0.3503,2
at,cp,201,1186.0,1e-47,AT2G45820,evm.TU.supercontig_18.227,0.2439,2.3077,1
at,fv,248,2416.0,2e-39,AT2G45820,mrna19064,0.2772,0.0,1
