SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,48,11363.0,0.0,16054018,AT1G64350,0.0244,0.1187,1
al,br,185,5393.0,9e-98,16054018,Brara.I01328,0.0463,0.3513,1
al,cp,163,421.0,5e-162,16054018,evm.TU.supercontig_79.56,0.1873,1.4797,1
al,fv,137,2338.0,4e-121,16054018,mrna32062,0.3497,0.0,1
al,gr,227,1449.0,8e-154,16054018,Gorai.008G253100,0.2249,1.7549,1
al,lj,33,260.0,4e-121,16054018,chr2.CM0060.340.nd,0.2452,2.7187,1
al,pt,182,2264.0,5e-159,16054018,Potri.003G138300,0.21,1.6524,1
al,rc,195,3358.0,3e-127,16054018,30190.m010810,0.2039,2.5066,1
al,sl,174,2314.0,3e-156,16054018,Solyc08g082100.2,0.2306,2.1398,1
al,st,170,2018.0,2e-119,16054018,PGSC0003DMC400021759,0.2251,2.0824,1
al,ta,134,2989.0,2e-143,16054018,Thecc1EG016422,0.2069,1.4779,1
al,vv,187,2062.0,1e-129,16054018,GSVIVT01019509001,0.1977,2.5802,1
at,br,165,2488.0,8e-99,AT1G64350,Brara.I01328,0.0432,0.3838,1
at,cp,156,459.0,4e-165,AT1G64350,evm.TU.supercontig_79.56,0.1949,1.5128,1
at,fv,75,2875.0,8e-123,AT1G64350,mrna32062,0.3434,0.0,1
at,gr,183,1625.0,2e-156,AT1G64350,Gorai.008G253100,0.2309,1.8048,1
at,pt,63,2691.0,1e-163,AT1G64350,Potri.003G138300,0.2129,1.685,1
at,rc,154,2444.0,6e-163,AT1G64350,30190.m010810,0.2107,2.092,1
at,sl,145,2612.0,2e-158,AT1G64350,Solyc08g082100.2,0.2376,1.8094,1
at,st,118,1703.0,4e-153,AT1G64350,PGSC0003DMC400021759,0.2321,1.9275,1
at,ta,54,3120.0,2e-147,AT1G64350,Thecc1EG016422,0.2049,1.4032,1
at,vv,112,1662.0,3e-167,AT1G64350,GSVIVT01019509001,0.1986,2.2451,1
br,cp,909,297.0,1e-79,Brara.I01328,evm.TU.supercontig_79.56,0.1541,1.6844,1
br,fv,878,1518.0,4e-10,Brara.I01328,mrna32056,0.8361,1.9461,1
br,gr,521,719.0,1e-74,Brara.I01328,Gorai.008G253100,0.1961,1.6398,1
br,lj,143,225.0,3e-76,Brara.I01328,chr2.CM0060.340.nd,0.0,0.0,1
br,pt,963,1124.0,5e-73,Brara.I01328,Potri.003G138300,0.1886,1.3495,1
br,rc,867,1909.0,9e-76,Brara.I01328,30190.m010810,0.1902,0.0,1
br,sl,815,1622.0,1e-72,Brara.I01328,Solyc08g082100.2,0.0,0.0,1
br,st,340,674.0,1e-72,Brara.I01328,PGSC0003DMC400021759,0.2161,2.4614,1
br,vv,978,1106.0,1e-76,Brara.I01328,GSVIVT01019509001,0.1821,2.2038,1
cp,fv,456,832.0,1e-14,evm.TU.supercontig_79.56,mrna32056,1.0642,1.9438,1
cp,gr,942,568.0,9e-161,evm.TU.supercontig_79.56,Gorai.008G253100,0.2007,1.0029,1
cp,pt,941,777.0,8e-171,evm.TU.supercontig_79.56,Potri.003G138300,0.1784,0.9131,1
cp,pt,940,977.0,1e-11,evm.TU.supercontig_79.56,Potri.001G093400,0.347,0.8703,1
cp,rc,494,818.0,0.0,evm.TU.supercontig_79.56,30190.m010810,0.1538,1.0312,1
cp,sl,557,891.0,8e-159,evm.TU.supercontig_79.56,Solyc08g082100.2,0.2183,1.4334,1
cp,st,512,877.0,3e-160,evm.TU.supercontig_79.56,PGSC0003DMC400021760,0.2164,1.4695,1
cp,ta,487,1009.0,2e-154,evm.TU.supercontig_79.56,Thecc1EG016422,0.1647,0.9156,1
cp,vv,510,969.0,0.0,evm.TU.supercontig_79.56,GSVIVT01019509001,0.1509,1.0017,1
fv,gr,614,4308.0,1e-120,mrna32062,Gorai.008G253100,0.2959,1.459,1
fv,lj,145,470.0,8e-127,mrna32062,chr2.CM0060.340.nd,0.3002,1.4363,1
fv,pt,527,7447.0,8e-125,mrna32062,Potri.003G138300,0.3064,1.5519,1
fv,rc,337,7093.0,2e-130,mrna32062,30190.m010810,0.2961,1.3902,1
fv,sl,361,6637.0,1e-119,mrna32062,Solyc08g082100.2,0.3117,1.1549,1
fv,st,385,3501.0,3e-119,mrna32062,PGSC0003DMC400021760,0.309,1.1874,1
fv,vv,327,2786.0,7e-137,mrna32062,GSVIVT01019509001,0.2524,1.0308,1
gm,gm,86,22032.0,0.0,Glyma.01G224700,Glyma.11G018300,0.0108,0.0963,2
gr,lj,269,257.0,5e-157,Gorai.008G253100,chr2.CM0060.340.nd,0.196,1.481,1
gr,pt,987,3502.0,7e-165,Gorai.008G253100,Potri.003G138300,0.1919,1.002,1
gr,pt,972,3798.0,3e-11,Gorai.008G253100,Potri.001G093400,0.2691,1.1271,1
gr,rc,953,4653.0,2e-165,Gorai.008G253100,30190.m010810,0.1843,1.0787,1
gr,sl,771,6901.0,3e-161,Gorai.008G253100,Solyc08g082100.2,0.2058,1.3977,1
gr,st,511,1454.0,6e-154,Gorai.008G253100,PGSC0003DMC400021759,0.1984,1.5,1
gr,ta,719,8671.0,2e-180,Gorai.008G253100,Thecc1EG016422,0.0837,0.2926,1
gr,vv,841,993.0,2e-173,Gorai.008G253100,GSVIVT01019509001,0.1636,0.8341,1
lj,pt,146,331.0,1e-161,chr2.CM0060.340.nd,Potri.003G138300,0.194,1.2283,1
lj,rc,123,570.0,1e-129,chr2.CM0060.340.nd,30190.m010810,0.1807,1.344,1
lj,sl,60,488.0,2e-158,chr2.CM0060.340.nd,Solyc08g082100.2,0.1958,1.4779,1
lj,st,68,439.0,2e-126,chr2.CM0060.340.nd,PGSC0003DMC400021760,0.1939,1.5167,1
lj,ta,95,442.0,9e-148,chr2.CM0060.340.nd,Thecc1EG016422,0.1726,1.4263,1
lj,vv,133,574.0,5e-143,chr2.CM0060.340.nd,GSVIVT01019509001,0.1411,1.1618,1
os,zm,9,9896.0,0.0,LOC_Os01g43250,GRMZM2G057853,0.0721,0.5738,3
pt,pt,21,42231.0,2e-17,Potri.001G093400,Potri.003G138300,0.2368,0.5437,1
pt,rc,271,6945.0,0.0,Potri.003G138300,30190.m010810,0.121,0.7227,1
pt,rc,132,7549.0,1e-16,Potri.001G093400,30190.m010810,0.3088,1.4331,1
pt,sl,224,5693.0,5e-168,Potri.003G138300,Solyc08g082100.2,0.2052,1.5058,1
pt,sl,79,6242.0,4e-09,Potri.001G093400,Solyc08g082100.2,0.5095,1.48,1
pt,st,203,3499.0,2e-169,Potri.003G138300,PGSC0003DMC400021760,0.2007,1.3768,1
pt,st,67,3621.0,2e-09,Potri.001G093400,PGSC0003DMC400021760,0.4949,1.5136,1
pt,ta,37,8707.0,2e-10,Potri.001G093400,Thecc1EG016422,0.3018,0.6373,1
pt,ta,183,8064.0,4e-152,Potri.003G138300,Thecc1EG016422,0.1657,0.9201,1
pt,vv,213,3943.0,0.0,Potri.003G138300,GSVIVT01019509001,0.1477,0.9821,1
pt,vv,70,4179.0,2e-12,Potri.001G093400,GSVIVT01019509001,0.2951,1.009,1
rc,sl,622,6478.0,1e-170,30190.m010810,Solyc08g082100.2,0.1827,1.2499,1
rc,st,639,3747.0,3e-129,30190.m010810,PGSC0003DMC400021759,0.1826,1.3337,1
rc,ta,575,7676.0,6e-159,30190.m010810,Thecc1EG016422,0.1754,0.9769,1
rc,vv,650,3775.0,1e-152,30190.m010810,GSVIVT01019509001,0.1263,1.2337,1
sl,st,392,6898.0,0.0,Solyc08g082100.2,PGSC0003DMC400021760,0.0121,0.0742,1
sl,ta,424,10886.0,3e-150,Solyc08g082100.2,Thecc1EG016422,0.1792,1.0764,1
sl,vv,427,4082.0,9e-178,Solyc08g082100.2,GSVIVT01019509001,0.1575,1.2895,1
st,ta,455,4107.0,1e-145,PGSC0003DMC400021759,Thecc1EG016422,0.2865,1.1711,1
st,vv,508,4837.0,3e-140,PGSC0003DMC400021759,GSVIVT01019509001,0.1524,1.2744,1
ta,vv,233,3209.0,9e-161,Thecc1EG016422,GSVIVT01019509001,0.1374,0.7879,1
