SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,34,3831.0,0.0,16039967,16053600,0.1435,0.6561,2
al,al,83,5078.0,0.0,16062828,16064498,0.1962,0.738,4
al,al,161,1383.0,0.0,16044720,16052009,0.1678,0.6145,6
al,ar,193,378.0,0.0,16064498,scaffold00066.150,0.5383,2.6418,4
al,ar,146,285.0,0.0,16062828,scaffold00066.150,0.0,0.0,4
al,ar,52,203.0,2e-10,16039967,scaffold00044.190,0.0,0.0,2
al,ar,22,406.0,1e-08,16053600,scaffold00044.190,0.0,0.0,2
al,br,631,788.0,0.0,16044720,Brara.K00300,0.0883,0.447,6
al,br,579,938.0,4e-98,16044720,Brara.F02565,0.2155,0.7196,6
al,br,545,21871.0,0.0,16036467,Brara.A01407,0.0344,0.3796,8
al,br,541,21725.0,0.0,16044720,Brara.A00305,0.0885,0.4998,6
al,br,431,11476.0,0.0,16064498,Brara.G01851,0.1067,0.4258,4
al,br,413,2066.0,0.0,16064498,Brara.E00362,0.2083,0.8892,4
al,br,406,2245.0,0.0,16064498,Brara.D02637,0.2222,0.8,4
al,br,352,1600.0,0.0,16062828,Brara.G01851,0.2272,0.907,4
al,br,342,9533.0,0.0,16062828,Brara.E00362,0.1158,0.4511,4
al,br,328,27059.0,0.0,16062828,Brara.D02637,0.1087,0.476,4
al,br,313,255.0,0.0,16052009,Brara.K00300,0.1772,0.7291,6
al,br,255,1890.0,2e-120,16052009,Brara.F02565,0.1287,0.3774,6
al,br,213,1486.0,0.0,16052009,Brara.A00305,0.1587,0.8041,6
al,cp,133,1265.0,0.0,16039967,evm.TU.supercontig_26.187,0.3278,1.6862,2
al,cp,44,1463.0,0.0,16053600,evm.TU.supercontig_26.187,0.3174,2.1774,2
al,fv,136,232.0,0.0,16042745,mrna25113,0.3056,2.3674,1
al,mt,121,1611.0,0.0,16039967,Medtr3g115400,0.4487,2.2339,2
al,mt,41,1601.0,0.0,16053600,Medtr3g115400,0.4155,2.4402,2
al,rc,113,4113.0,0.0,16053600,30170.m014365,0.3722,2.3009,2
al,rc,173,688.0,0.0,16042745,30068.m002527,0.2906,2.0755,1
al,rc,190,4419.0,0.0,16039967,30170.m014365,0.3871,2.3176,2
al,sl,488,1533.0,4e-83,16051969,Solyc01g112190.2,0.0,0.0,3
al,sl,389,315.0,0.0,16064498,Solyc08g013900.2,0.4754,2.1591,4
