SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,133,60155.0,0.0,16043870,AT3G57130,0.0118,0.1787,1
al,at,107,54203.0,0.0,16041544,AT2G41370,0.0045,0.1247,3
al,br,438,25946.0,0.0,16043870,Brara.I03942,0.0445,0.4545,1
al,br,431,11476.0,0.0,16043870,Brara.G01726,0.064,0.4846,1
al,br,409,15189.0,0.0,16043870,Brara.D00304,0.064,0.4449,1
al,br,342,9533.0,0.0,16041544,Brara.E00218,0.0147,0.4814,3
al,br,328,27059.0,0.0,16041544,Brara.D02523,0.026,0.4429,3
al,fv,365,555.0,0.0,16043870,mrna21905,0.1857,0.0,1
al,gr,565,1107.0,0.0,16043870,Gorai.006G133600,0.163,-1.0,1
al,pt,573,782.0,0.0,16043870,Potri.016G040500,0.0,0.0,1
al,pt,521,1643.0,0.0,16043870,Potri.006G043400,0.0,0.0,1
al,sl,398,732.0,0.0,16043870,Solyc10g079750.1,0.0,0.0,1
al,st,415,787.0,4e-105,16043870,PGSC0003DMC400051982,0.2336,-1.0,1
al,ta,374,2160.0,0.0,16043870,Thecc1EG024428,0.1333,0.0,1
al,vv,502,645.0,8e-161,16043870,GSVIVT01033571001,0.1299,-1.0,1
at,br,440,27087.0,0.0,AT3G57130,Brara.I03942,0.0435,0.4892,1
at,br,421,11963.0,0.0,AT3G57130,Brara.G01726,0.0672,0.499,1
at,br,375,15959.0,0.0,AT3G57130,Brara.D00304,0.0654,0.4566,1
at,br,250,9774.0,0.0,AT2G41370,Brara.E00218,0.0174,0.4961,3
at,br,240,37626.0,0.0,AT2G41370,Brara.D02523,0.0311,0.4936,3
at,fv,332,585.0,0.0,AT3G57130,mrna21905,0.1791,0.0,1
at,gr,553,1071.0,0.0,AT3G57130,Gorai.006G133600,0.0,0.0,1
at,pt,598,783.0,0.0,AT3G57130,Potri.016G040500,0.0,0.0,1
at,pt,492,1644.0,0.0,AT3G57130,Potri.006G043400,0.0,0.0,1
at,sl,390,755.0,0.0,AT3G57130,Solyc10g079750.1,0.0,0.0,1
at,st,326,768.0,1e-131,AT3G57130,PGSC0003DMC400051982,0.0,0.0,1
