SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,218,49010.0,0.0,16039839,AT5G64870,0.0113,0.1356,2
al,at,162,65180.0,0.0,16051764,AT5G25250,0.0111,0.23,4
at,br,700,8401.0,0.0,AT5G64870,Brara.F02361,0.0364,0.5039,2
at,br,633,470.0,0.0,AT5G25250,Brara.B03656,0.041,0.4871,4
at,br,623,6708.0,0.0,AT5G64870,Brara.B03920,0.0364,0.4512,2
ar,fv,48,307.0,8e-21,scaffold00007.153,mrna13842,0.3564,1.8793,6
ar,os,170,724.0,7e-132,scaffold00029.182,LOC_Os10g34040,0.2534,0.0,5
br,br,604,212.0,0.0,Brara.F02361,Brara.G03520,0.0306,0.4396,2
br,br,213,3605.0,0.0,Brara.B03920,Brara.F02361,0.0205,0.4285,2
cp,fv,173,317.0,0.0,evm.TU.supercontig_187.23,mrna11000,0.1844,2.074,1
cp,gm,556,394.0,0.0,evm.TU.supercontig_187.23,Glyma.06G065600,0.1099,1.8058,1
cp,gm,555,393.0,6e-25,evm.TU.supercontig_187.23,Glyma.04G064400,0.4002,1.959,1
cp,md,18,357.0,0.0,evm.TU.supercontig_187.23,MDP0000167293,0.1419,1.5269,1
cp,mt,236,272.0,0.0,evm.TU.supercontig_187.23,Medtr3g106420,0.1419,0.0,1
cp,pt,358,634.0,0.0,evm.TU.supercontig_187.23,Potri.018G022900,0.0979,2.9291,1
cp,pt,357,632.0,0.0,evm.TU.supercontig_187.23,Potri.006G258900,0.0,0.0,1
cp,sl,224,229.0,0.0,evm.TU.supercontig_187.23,Solyc06g065850.2,0.0,0.0,1
cp,vv,204,550.0,0.0,evm.TU.supercontig_187.23,GSVIVT01035926001,0.1036,2.9461,1
fv,gm,223,271.0,0.0,mrna11000,Glyma.06G065600,0.1713,1.3428,1
fv,gm,194,271.0,1e-14,mrna11000,Glyma.04G064400,0.5635,1.1531,1
fv,md,7,479.0,0.0,mrna11000,MDP0000167293,0.1933,0.9295,1
fv,pt,174,396.0,0.0,mrna11000,Potri.006G258900,0.1806,2.0114,1
fv,ta,118,314.0,2e-171,mrna11000,Thecc1EG036952,0.1874,1.2892,1
fv,vv,100,396.0,0.0,mrna11000,GSVIVT01035926001,0.1868,1.3155,1
gm,gm,437,31732.0,3e-28,Glyma.04G064400,Glyma.06G065600,0.3569,0.7279,1
gm,mt,300,11614.0,0.0,Glyma.06G065600,Medtr3g106420,0.1149,1.3142,1
gm,mt,203,11375.0,5e-23,Glyma.04G064400,Medtr3g106420,0.4703,1.5493,1
gm,pt,486,2322.0,0.0,Glyma.06G065600,Potri.018G022900,0.0,0.0,1
