SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,63,2432.0,0.0,16036910,16058309,0.1075,1.4105,1
al,al,77,264.0,0.0,16038175,16056604,0.1133,0.752,7
al,al,158,1500.0,0.0,16042690,16059950,0.1377,0.7885,47
al,at,218,49010.0,0.0,16064863,AT5G55720,0.0162,0.1686,23
al,at,193,64683.0,0.0,16060790,AT4G22080,0.0111,0.1582,31
al,at,162,65180.0,0.0,16058309,AT5G15110,0.0091,0.1424,1
al,at,162,65180.0,0.0,16050286,AT5G09280,0.0276,0.1051,24
al,at,162,65180.0,0.0,16058288,AT5G04310,0.0098,0.159,18
al,at,154,1054.0,0.0,16058309,AT3G01270,0.1176,1.4531,1
al,at,133,60155.0,0.0,16060441,AT3G55140,0.004,0.1313,4
al,at,133,60155.0,0.0,16037424,AT3G54920,0.0217,0.1683,25
al,at,133,60155.0,0.0,16034273,AT3G53190,0.0154,0.1738,32
al,at,127,6327.0,0.0,16054412,AT2G02720,0.0266,0.1697,14
al,at,93,3443.0,0.0,16036910,AT5G15110,0.1145,1.3206,1
al,at,80,2980.0,0.0,16036910,AT3G01270,0.0168,0.0944,1
al,at,79,62910.0,0.0,16040976,AT3G09540,0.0144,0.1968,33
al,at,2,9189.0,0.0,16046363,AT1G30350,0.0618,0.1718,48
al,at,0,57645.0,0.0,16044567,AT1G14420,0.0252,0.1403,11
al,at,0,57645.0,0.0,16051021,AT1G11920,0.0179,0.1527,26
al,br,670,8333.0,0.0,16064863,Brara.B01305,0.0635,0.3941,23
al,br,604,1351.0,0.0,16060790,Brara.H01100,0.0457,0.4511,31
al,br,545,21871.0,0.0,16060790,Brara.A01227,0.0502,0.3769,31
al,br,537,10196.0,0.0,16058288,Brara.J02755,0.0719,0.4924,18
al,br,536,28286.0,0.0,16058309,Brara.J01981,0.0564,0.3955,1
al,br,536,28286.0,1e-180,16050286,Brara.J02392,0.137,0.5771,24
al,br,477,27039.0,0.0,16058309,Brara.C00647,0.0753,0.3781,1
al,br,462,27490.0,0.0,16058309,Brara.B00588,0.0791,0.4385,1
al,br,441,1443.0,0.0,16034922,Brara.I00287,0.0534,0.5146,3
al,br,440,1580.0,0.0,16054412,Brara.I02062,0.1108,0.5819,14
al,br,438,25946.0,0.0,16037424,Brara.I03757,0.0805,0.6725,25
al,br,438,25946.0,0.0,16034273,Brara.I03611,0.0463,0.4414,32
al,br,431,11476.0,0.0,16037424,Brara.G01649,0.0801,0.5884,25
al,br,431,11476.0,0.0,16034273,Brara.G01572,0.1258,0.5951,32
al,br,424,11528.0,0.0,16034922,Brara.F03207,0.0473,0.4926,3
al,br,424,11528.0,0.0,16054412,Brara.F03411,0.0975,0.4737,14
al,br,409,15189.0,0.0,16060441,Brara.D00425,0.0315,0.5332,4
al,br,393,8921.0,0.0,16034922,Brara.B03295,0.0574,0.5567,3
al,br,393,8921.0,0.0,16054412,Brara.B03126,0.0876,0.5937,14
al,br,310,2800.0,0.0,16036910,Brara.J01981,0.1286,1.4913,1
al,br,245,34121.0,0.0,16040976,Brara.E03083,0.0785,0.4582,33
al,br,227,2245.0,0.0,16036910,Brara.C00647,0.1559,1.5277,1
al,br,218,1633.0,0.0,16036910,Brara.B00588,0.1314,1.4484,1
al,br,143,9464.0,0.0,16037691,Brara.B01740,0.0323,0.4645,15
al,br,119,7781.0,0.0,16044567,Brara.I04991,0.0748,0.4837,11
al,br,97,32202.0,0.0,16044567,Brara.H02573,0.0845,0.4479,11
al,br,60,2708.0,0.0,16051021,Brara.F00889,0.0464,0.4084,26
al,br,52,17331.0,0.0,16044567,Brara.F00965,0.0891,0.5639,11
al,cp,452,351.0,2e-148,16050286,evm.TU.supercontig_42.183,0.2591,2.864,24
al,fv,383,780.0,2e-165,16060441,mrna23375,0.1659,2.0573,4
al,gm,1265,2119.0,7e-172,16058309,Glyma.19G020200,0.3687,0.0,1
al,gm,1252,1168.0,2e-177,16058309,Glyma.18G255900,0.3856,0.0,1
al,gm,1205,1624.0,1e-174,16058309,Glyma.13G064700,0.3646,0.0,1
al,gm,1049,420.0,0.0,16060441,Glyma.20G240800,0.1372,1.7976,4
al,gm,636,1431.0,7e-161,16036910,Glyma.19G020200,0.3724,2.7286,1
al,gm,623,1201.0,2e-159,16036910,Glyma.18G255900,0.3934,1.8054,1
al,gm,572,1317.0,5e-164,16036910,Glyma.13G064700,0.3544,3.4252,1
al,gr,38,234.0,0.0,16044567,Gorai.012G187800,0.3474,3.5272,11
al,gr,359,399.0,1e-174,16036910,Gorai.007G078600,0.3482,-1.0,1
al,gr,519,471.0,0.0,16060441,Gorai.011G245200,0.16,1.6698,4
al,gr,727,244.0,0.0,16058309,Gorai.007G078600,0.314,-1.0,1
al,lj,123,379.0,2e-163,16060441,chr5.CM0260.210.nc,0.1385,1.5192,4
al,lj,138,233.0,1e-142,16058309,chr2.CM0225.50.nc,0.3561,-1.0,1
al,mt,462,382.0,4e-167,16058309,Medtr7g009390,0.3918,1.9505,1
al,mt,449,694.0,2e-172,16058309,Medtr6g011420,0.4138,2.4953,1
al,mt,331,684.0,0.0,16060441,Medtr1g115550,0.1301,1.5083,4
al,mt,224,612.0,1e-157,16036910,Medtr6g011420,0.3904,4.2304,1
al,mt,92,309.0,0.0,16044567,Medtr8g468980,0.3596,0.0,11
al,mt,73,939.0,5e-178,16044567,Medtr5g038490,0.3773,0.0,11
al,pt,718,1528.0,0.0,16058309,Potri.017G078400,0.0,0.0,1
al,pt,632,452.0,1e-95,16050286,Potri.005G064500,0.0,0.0,24
al,pt,536,1965.0,0.0,16060441,Potri.008G048600,0.1395,1.5122,4
al,pt,378,1229.0,0.0,16036910,Potri.017G078400,0.3417,2.9417,1
al,pt,125,560.0,0.0,16051021,Potri.011G008000,0.0,0.0,26
al,pt,63,870.0,3e-176,16051021,Potri.004G007300,0.0,0.0,26
al,rc,61,577.0,3e-152,16065099,29904.m002994,0.1597,-1.0,16
al,rc,293,733.0,0.0,16038175,30204.m001796,0.1888,-1.0,7
al,rc,294,617.0,0.0,16055306,30204.m001796,0.1402,6.9566,7
al,rc,385,462.0,7e-162,16034922,29633.m000913,0.1625,-1.0,3
al,rc,669,532.0,8e-136,16064863,29629.m001376,0.3073,-1.0,23
al,rc,670,432.0,8e-136,16064863,29629.m001376,0.3073,-1.0,23
al,rc,716,1070.0,3e-149,16048739,30147.m013824,0.145,-1.0,6
al,rc,731,532.0,1e-180,16036289,30204.m001796,0.1319,-1.0,7
al,rc,735,360.0,2e-178,16056604,30204.m001796,0.1529,5.0549,7
al,sl,420,982.0,3e-143,16058309,Solyc02g067450.2,0.0,0.0,1
al,sl,417,1629.0,2e-175,16058309,Solyc02g087670.2,0.0,0.0,1
al,sl,366,418.0,0.0,16060441,Solyc04g010230.2,0.1311,1.6863,4
al,sl,201,764.0,2e-138,16036910,Solyc02g067450.2,0.4666,2.4056,1
al,sl,198,1023.0,1e-161,16036910,Solyc02g087670.2,0.3564,2.826,1
al,st,98,327.0,2e-174,16065099,PGSC0003DMC400051648,0.1613,-1.0,16
al,st,157,909.0,0.0,16037691,PGSC0003DMC400019050,0.1147,-1.0,15
al,st,203,1784.0,1e-130,16036910,PGSC0003DMC400002349,0.37,2.886,1
al,st,204,418.0,2e-131,16036910,PGSC0003DMC400012284,0.3856,2.9265,1
al,st,229,545.0,0.0,16038175,PGSC0003DMC400034980,0.168,-1.0,7
al,st,230,486.0,0.0,16055306,PGSC0003DMC400034980,0.1293,2.2531,7
al,st,360,2138.0,3e-167,16034922,PGSC0003DMC400022394,0.1744,-1.0,3
