SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,83,5078.0,6e-08,16034110,16053867,0.5801,1.971,43
al,al,93,562.0,1e-57,16036536,16057097,0.1752,0.7776,29
al,al,129,2669.0,9e-48,16046687,16055829,0.2146,1.0112,4
al,at,229,1816.0,1e-74,16040714,AT4G12880,0.0453,0.1055,99
al,at,218,49010.0,6e-78,16047545,AT5G53870,0.1522,0.5003,54
al,at,193,64683.0,2e-111,16049662,AT4G27520,0.0495,0.1704,38
al,at,193,64683.0,1e-82,16042899,AT4G28365,0.0409,0.0647,55
al,at,193,64683.0,4e-103,16053672,AT4G32490,0.0652,0.1098,100
al,at,162,65180.0,1e-86,16054246,AT5G26330,0.0276,0.194,56
al,at,162,65180.0,2e-74,16048016,AT5G20230,0.0222,0.1156,30
al,at,162,65180.0,6e-112,16046687,AT5G15350,0.0283,0.1679,4
al,at,162,65180.0,3e-132,16047763,AT5G07475,0.0446,0.1717,57
al,at,154,1054.0,1e-52,16046687,AT3G01070,0.2341,0.9509,4
al,at,133,60155.0,6e-45,16053867,AT3G60280,0.2081,0.474,43
al,at,133,60155.0,2e-71,16037293,AT3G53330,0.1344,0.2706,101
al,at,133,60155.0,2e-18,16060423,AT3G28958,0.5738,1.0309,102
al,at,133,60155.0,2e-88,16065854,AT3G27200,0.0266,0.1073,5
al,at,127,6327.0,1e-88,16038133,AT2G02850,0.0381,0.1066,58
al,at,108,16780.0,4e-101,16041784,AT2G27035,0.0307,0.1745,59
al,at,108,16780.0,2e-97,16036464,AT2G23990,0.0584,0.0728,52
al,at,107,54203.0,3e-08,16062262,AT2G44790,0.2246,0.2384,27
al,at,107,54203.0,3e-83,16058370,AT2G32300,0.028,0.0965,31
al,at,107,54203.0,3e-76,16058465,AT2G31050,0.0869,0.1667,39
al,at,93,3443.0,5e-59,16055829,AT5G15350,0.2539,1.1875,4
al,at,80,2980.0,2e-81,16055829,AT3G01070,0.0516,0.1721,4
al,at,79,62910.0,2e-110,16066043,AT3G20570,0.0223,0.0976,40
al,at,79,62910.0,8e-89,16057446,AT3G18590,0.0189,0.1362,32
al,at,79,62910.0,5e-72,16055002,AT3G17675,0.0327,0.0936,44
al,at,49,3783.0,7e-86,16061311,AT1G79800,0.0684,0.2161,76
al,at,48,11363.0,1e-107,16046829,AT1G64640,0.0188,0.1413,14
al,at,42,36370.0,3e-101,16036480,AT1G72230,0.02,0.0608,50
al,at,1,22006.0,7e-107,16040816,AT1G48940,0.0454,0.134,77
al,at,0,57645.0,8e-76,16053094,AT1G22480,0.0419,0.1046,74
al,at,0,57645.0,1e-97,16058915,AT1G17800,0.0288,0.1173,103
al,br,718,17351.0,1e-59,16047545,Brara.J00878,0.2713,0.8271,54
al,br,684,4578.0,3e-76,16043342,Brara.C01164,0.1776,0.4677,75
al,br,683,6318.0,2e-46,16047545,Brara.C01378,0.2991,1.1238,54
al,br,635,990.0,2e-74,16054273,Brara.K00539,0.1538,0.3897,53
al,br,633,742.0,2e-72,16057097,Brara.K00395,0.087,0.3265,29
al,br,630,5075.0,5e-65,16049662,Brara.K00083,0.1281,0.5577,38
al,br,596,11713.0,1e-55,16042899,Brara.H01484,0.1668,0.4599,55
al,br,596,11713.0,6e-73,16054273,Brara.H01402,0.1294,0.3946,53
al,br,596,11713.0,3e-75,16057097,Brara.H01329,0.0656,0.3303,29
al,br,553,1461.0,5e-45,16049662,Brara.B01399,0.566,1.4831,38
al,br,545,21871.0,9e-62,16049662,Brara.A01722,0.2491,0.6901,38
al,br,545,21871.0,3e-60,16042899,Brara.A01807,0.1555,0.6168,55
al,br,541,21725.0,8e-78,16057097,Brara.A00593,0.0575,0.3294,29
al,br,536,28286.0,5e-61,16048016,Brara.J01589,0.1088,0.3901,30
al,br,536,28286.0,1e-83,16046687,Brara.J01957,0.0758,0.5122,4
al,br,531,1665.0,1e-106,16047763,Brara.J02519,0.1397,0.4367,57
al,br,521,4095.0,4e-80,16054246,Brara.I00510,0.0741,0.4303,56
al,br,521,4095.0,5e-74,16052143,Brara.I00555,0.1123,0.5609,51
al,br,503,8976.0,2e-73,16052143,Brara.F02711,0.0909,0.3997,51
al,br,477,27039.0,4e-90,16046687,Brara.C00667,0.0803,0.4073,4
al,br,477,27039.0,1e-107,16047763,Brara.C00299,0.1233,0.3733,57
al,br,465,701.0,5e-82,16054246,Brara.B03593,0.0874,0.3428,56
al,br,462,27490.0,3e-48,16048016,Brara.B00874,0.1812,0.4938,30
al,br,438,25946.0,3e-65,16041972,Brara.I04374,0.1447,0.487,78
al,br,424,11528.0,4e-82,16065854,Brara.F03225,0.079,0.3664,5
al,br,424,11528.0,1e-62,16038133,Brara.F03401,0.1496,0.434,58
al,br,393,8921.0,7e-71,16065854,Brara.B03278,0.1018,0.3193,5
al,br,393,8921.0,4e-82,16038133,Brara.B03132,0.0938,0.4271,58
al,br,383,292.0,2e-60,16036536,Brara.K00395,0.2499,0.8347,29
al,br,374,4955.0,1e-54,16036464,Brara.I04512,0.2402,0.4857,52
al,br,348,4178.0,1e-29,16058465,Brara.E01257,0.5194,1.697,39
al,br,336,693.0,6e-26,16033773,Brara.D01952,0.6543,1.6424,31
al,br,329,4823.0,7e-55,16036464,Brara.D01435,0.2744,0.592,52
al,br,322,21403.0,5e-79,16058370,Brara.C01645,0.0866,0.4675,31
