SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,129,2669.0,7e-137,16039694,16040835,0.172,0.9904,165
al,al,177,359.0,5e-134,16042141,16043549,0.2502,1.7884,2
al,al,188,721.0,2e-162,16043549,16064320,0.115,0.8346,2
al,al,196,454.0,2e-06,16043549,16048040,0.5402,3.9346,2
al,al,198,1330.0,4e-154,16035901,16053653,0.1424,1.9147,32
al,at,222,14739.0,0.0,16060169,AT5G42180,0.0195,0.2055,166
al,at,218,49010.0,0.0,16036477,AT5G64100,0.0243,0.136,167
al,at,218,49010.0,4e-57,16056041,AT5G58390,0.1617,0.4825,41
al,at,218,49010.0,0.0,16042378,AT5G51890,0.018,0.1342,4
al,at,198,9330.0,0.0,16059810,AT5G39580,0.0342,0.1552,168
al,at,193,64683.0,0.0,16057603,AT4G16270,0.0184,0.1715,124
al,at,193,64683.0,0.0,16062585,AT4G21960,0.0066,0.1555,91
al,at,193,64683.0,0.0,16060794,AT4G25980,0.0188,0.1511,169
al,at,193,64683.0,0.0,16055689,AT4G31760,0.0551,0.1689,90
al,at,193,64683.0,0.0,16060888,AT4G33420,0.008,0.1661,69
al,at,193,64683.0,0.0,16035557,AT4G33870,0.0592,0.1462,125
al,at,162,65180.0,0.0,16050897,AT5G24070,0.0171,0.1655,92
al,at,162,65180.0,0.0,16037946,AT5G22410,0.0691,0.2236,126
al,at,162,65180.0,0.0,16034480,AT5G19890,0.0335,0.1575,93
al,at,162,65180.0,0.0,16036314,AT5G05340,0.0138,0.1214,23
al,at,108,16780.0,0.0,16062740,AT2G24800,0.0177,0.1643,122
al,at,108,16780.0,0.0,16045202,AT2G22420,0.012,0.1278,94
al,at,108,16780.0,6e-33,16036540,AT2G21290,0.0328,0.0952,59
al,at,107,54203.0,0.0,16041550,AT2G43480,0.0171,0.1498,42
al,at,107,54203.0,0.0,16065578,AT2G41480,0.0164,0.139,170
al,at,107,54203.0,0.0,16039510,AT2G37130,0.0093,0.13,95
al,at,79,62910.0,0.0,16048425,AT3G17070,0.0237,0.1898,127
al,at,42,36370.0,0.0,16040815,AT1G71695,0.0236,0.1739,96
al,at,42,36370.0,0.0,16066239,AT1G68850,0.0131,0.2077,24
al,at,2,9189.0,0.0,16052230,AT1G30870,0.0331,0.1946,70
al,at,1,22006.0,0.0,16053402,AT1G49570,0.014,0.1362,128
al,at,0,57645.0,0.0,16034128,AT1G14540,0.0176,0.2265,47
al,ar,38,320.0,1e-152,16066239,scaffold00006.238,0.0,0.0,24
al,br,718,17351.0,0.0,16042378,Brara.J00752,0.0711,0.4907,4
al,br,710,3084.0,0.0,16035901,Brara.I01964,0.0476,0.6168,32
al,br,691,4673.0,0.0,16035901,Brara.F03578,0.0484,0.5294,32
al,br,684,4578.0,3e-43,16056041,Brara.C01139,0.222,1.6041,41
al,br,680,402.0,0.0,16035901,Brara.C04566,0.1568,1.9149,32
al,br,670,8333.0,2e-48,16056041,Brara.B01148,0.2362,1.3033,41
al,br,666,433.0,0.0,16035901,Brara.B02959,0.0551,0.5642,32
al,br,661,1163.0,0.0,16042378,Brara.B01517,0.0408,0.3582,4
