SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,al,41,368.0,0.0,16052643,16062185,0.2239,0.9015,35
al,al,63,2432.0,7e-30,16061929,16062562,0.2533,1.8452,43
al,al,177,359.0,5e-98,16053100,16065109,0.2749,5.1646,5
al,at,228,319.0,0.0,16036246,AT4G12710,0.0253,0.1163,16
al,at,222,14739.0,0.0,16051082,AT5G42340,0.0273,0.231,103
al,at,218,49010.0,0.0,16048536,AT5G65920,0.0119,0.1544,73
al,at,218,49010.0,0.0,16065018,AT5G65200,0.018,0.2037,54
al,at,218,49010.0,0.0,16038464,AT5G64660,0.016,0.1305,37
al,at,218,49010.0,0.0,16046875,AT5G62560,0.0211,0.1647,53
al,at,218,49010.0,0.0,16057364,AT5G58680,0.0435,0.1579,75
al,at,198,9330.0,0.0,16036269,AT5G40140,0.0197,0.1477,76
al,at,193,64683.0,0.0,16039209,AT4G16490,0.0095,0.2012,55
al,at,193,64683.0,0.0,16048989,AT4G21350,0.0242,0.1835,77
al,at,193,64683.0,0.0,16050587,AT4G36550,0.0521,0.1516,2
al,at,162,65180.0,0.0,16052678,AT5G18320,0.0449,0.1596,56
al,at,162,65180.0,0.0,16046941,AT5G14510,0.015,0.1067,8
al,at,162,65180.0,0.0,16035257,AT5G09800,0.0386,0.1751,102
al,at,148,2675.0,3e-35,16062562,AT3G03440,0.2591,1.9782,43
al,at,133,60155.0,0.0,16043819,AT3G61390,0.1152,0.1777,36
al,at,133,60155.0,0.0,16052652,AT3G54850,0.0162,0.1551,104
al,at,133,60155.0,0.0,16034200,AT3G49810,0.0069,0.1147,72
al,at,133,60155.0,0.0,16064644,AT3G47820,0.0182,0.1862,74
al,at,133,60155.0,0.0,16042208,AT3G46510,0.0107,0.1487,105
al,at,107,54203.0,0.0,16055609,AT2G45920,0.0352,0.0902,78
al,at,107,54203.0,0.0,16044424,AT2G28830,0.0474,0.1829,79
al,at,79,62910.0,0.0,16054210,AT3G19380,0.0092,0.1487,51
al,at,79,62910.0,0.0,16048349,AT3G18710,0.0412,0.204,44
al,at,79,62910.0,0.0,16061929,AT3G03440,0.0178,0.1397,43
al,at,54,415.0,0.0,16052643,AT1G10560,0.2333,0.8277,35
al,at,48,11363.0,0.0,16052643,AT1G60190,0.0341,0.2284,35
al,at,42,36370.0,0.0,16064541,AT1G71020,0.0295,0.1558,69
al,at,42,36370.0,0.0,16057092,AT1G67530,0.0186,0.132,70
al,at,12,3258.0,0.0,16059233,AT1G01660,0.014,0.1029,81
al,at,12,3258.0,0.0,16053075,AT1G01680,0.034,0.0836,50
al,at,11,4656.0,0.0,16045677,AT1G24330,0.0227,0.1502,49
al,at,6,2284.0,0.0,16062185,AT1G60190,0.2217,0.9638,35
al,at,5,3124.0,0.0,16036781,AT1G56030,0.1467,0.2466,82
al,at,2,9189.0,0.0,16038159,AT1G27910,0.0143,0.0991,57
al,at,1,22006.0,0.0,16054255,AT1G49780,0.0075,0.1434,71
al,at,0,57645.0,0.0,16048160,AT1G23030,0.0094,0.163,100
al,at,0,57645.0,0.0,16062185,AT1G10560,0.0424,0.1598,35
al,at,0,57645.0,0.0,16038219,AT1G08315,0.0421,0.1741,58
al,ar,335,214.0,2e-29,16065018,scaffold00135.63,1.2578,2.5479,54
al,ar,332,259.0,4e-64,16065109,scaffold00086.9,0.5666,0.0,5
al,br,708,8480.0,0.0,16065109,Brara.I00856,0.1123,0.677,5
al,br,708,8480.0,0.0,16048536,Brara.I00836,0.0914,0.9614,73
al,br,708,8480.0,0.0,16046875,Brara.I00695,0.0731,0.7452,53
al,br,699,3046.0,0.0,16065109,Brara.G01167,0.2017,0.3703,5
al,br,690,8747.0,0.0,16038464,Brara.F02339,0.059,0.4619,37
al,br,670,8333.0,3e-160,16057364,Brara.B01140,0.1397,0.7998,75
al,br,659,5878.0,0.0,16065018,Brara.B03939,0.0923,1.4816,54
al,br,659,5878.0,0.0,16046875,Brara.B03825,0.0815,0.92,53
al,br,619,274.0,7e-120,16053100,Brara.I00856,0.2793,2.7452,5
al,br,602,4943.0,0.0,16050587,Brara.H01675,0.1802,0.531,2
al,br,588,429.0,5e-80,16053100,Brara.G01167,0.3899,3.2602,5
al,br,570,5153.0,0.0,16036269,Brara.D01033,0.0769,0.6882,76
al,br,561,3490.0,0.0,16039209,Brara.C04503,0.0672,0.6365,55
al,br,547,619.0,0.0,16050587,Brara.A00227,0.1527,0.4907,2
al,br,545,21871.0,0.0,16048989,Brara.A01171,0.0656,0.7937,77
