SP1,SP2,BLOCK_NO,BLOCK_SCORE,E_VALUE,LOCUS_1,LOCUS_2,Ka,Ks,CLUSTER
al,at,218,49010.0,0.0,16058106,AT5G49960,0.0109,0.1985,4
al,br,672,1359.0,0.0,16058106,Brara.B01595,0.0512,0.3788,4
at,br,642,1409.0,0.0,AT5G49960,Brara.B01595,0.0619,0.5013,4
ar,cp,250,398.0,0.0,scaffold00066.172,evm.TU.supercontig_9.371,0.2561,1.3855,2
ar,gr,434,252.0,0.0,scaffold00066.172,Gorai.005G009000,0.2275,1.7859,2
ar,os,111,361.0,0.0,scaffold00017.65,LOC_Os01g64980,0.2811,2.4077,5
ar,ta,319,695.0,0.0,scaffold00066.172,Thecc1EG019847,0.2266,1.8325,2
ar,vv,291,536.0,0.0,scaffold00066.172,GSVIVT01038181001,0.1998,1.5218,2
ar,zm,95,410.0,0.0,scaffold00017.65,GRMZM2G110897,0.2781,2.3848,5
cp,gm,154,548.0,0.0,evm.TU.supercontig_113.49,Glyma.16G003300,0.1895,1.1222,1
cp,gm,153,507.0,0.0,evm.TU.supercontig_113.49,Glyma.12G167300,0.1846,1.0774,1
cp,gr,105,224.0,0.0,evm.TU.supercontig_113.49,Gorai.005G265200,0.157,0.7792,1
cp,mt,67,429.0,0.0,evm.TU.supercontig_113.49,Medtr2g005870,0.1981,1.2215,1
cp,pt,1040,307.0,2e-40,evm.TU.supercontig_9.374,Potri.019G113900,0.2656,1.418,3
cp,pt,99,706.0,0.0,evm.TU.supercontig_113.49,Potri.004G223400,0.1656,1.0157,1
cp,pt,97,698.0,0.0,evm.TU.supercontig_113.49,Potri.003G008800,0.171,1.0584,1
cp,rc,56,634.0,0.0,evm.TU.supercontig_113.49,29765.m000755,0.144,0.9353,1
cp,ta,527,2100.0,0.0,evm.TU.supercontig_9.371,Thecc1EG019847,0.1142,0.9814,2
cp,ta,44,898.0,0.0,evm.TU.supercontig_113.49,Thecc1EG006180,0.1475,0.7437,1
cp,vv,550,2353.0,0.0,evm.TU.supercontig_9.371,GSVIVT01038181001,0.1357,1.0282,2
cp,vv,53,746.0,0.0,evm.TU.supercontig_113.49,GSVIVT01023259001,0.1247,0.9137,1
